year,grands_ADJ arts_NOUN,grands_ADJ bars_NOUN
1800,9.432493897065797e-09,0.0
1801,1.904946067554647e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,1.950339223455444e-09,0.0
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,1.0668832484128643e-08,0.0
1813,1.150296680130225e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,3.5763532135746345e-09,0.0
1819,7.245735234029382e-09,0.0
1820,0.0,0.0
1821,2.7612166775270452e-08,0.0
1822,0.0,0.0
1823,6.917880934764753e-09,0.0
1824,8.421112696055388e-10,0.0
1825,8.805443041381977e-10,0.0
1826,0.0,0.0
1827,2.1199728195142598e-08,0.0
1828,2.2013523448549677e-08,8.255071293206129e-09
1829,1.714635211591542e-09,0.0
1830,1.3567886369969528e-08,0.0
1831,1.091384405071949e-08,0.0
1832,1.3529969367098715e-09,0.0
1833,5.560141858040879e-08,0.0
1834,3.9205030333278046e-08,0.0
1835,1.8151411040889798e-08,0.0
1836,2.2178475944656384e-08,0.0
1837,4.383471363667013e-08,0.0
1838,2.7142295522253335e-08,0.0
1839,3.0063343814390464e-08,0.0
1840,5.987507023519356e-08,0.0
1841,4.044945711711989e-08,0.0
1842,5.1653639587811995e-08,0.0
1843,4.3120451209688326e-08,0.0
1844,3.1833653935109396e-08,0.0
1845,7.812318791877715e-09,2.7901139176833567e-09
1846,1.5221703009160592e-08,0.0
1847,1.941560512364049e-08,0.0
1848,9.65426583121598e-09,0.0
1849,2.513824526317876e-08,8.379414939696517e-10
1850,8.146795238417326e-09,0.0
1851,2.4507867735223954e-08,0.0
1852,1.3021090872200602e-08,0.0
1853,2.09017620989016e-08,0.0
1854,3.117398605922972e-08,0.0
1855,1.9104973603134567e-08,0.0
1856,2.019103817474388e-08,0.0
1857,1.0739319655783675e-08,0.0
1858,2.300027723833864e-08,0.0
1859,3.208069188076479e-08,0.0
1860,2.471679233506663e-08,0.0
1861,2.5466203368296192e-08,0.0
1862,1.0843167252971853e-08,0.0
1863,1.39849385405455e-08,0.0
1864,3.404256787575832e-08,0.0
1865,3.812543880599151e-08,0.0
1866,1.216403244796993e-08,0.0
1867,2.426405742994575e-08,0.0
1868,3.013323279787983e-08,0.0
1869,5.3718711257033647e-08,0.0
1870,3.55511033944822e-08,0.0
1871,2.8677177965619194e-08,0.0
1872,3.205089882385437e-08,0.0
1873,1.6760813181804224e-08,0.0
1874,3.1067965977626955e-08,0.0
1875,2.0597497041308088e-08,0.0
1876,6.227395488167531e-08,0.0
1877,3.216104360603822e-08,0.0
1878,2.8383716710322915e-08,0.0
1879,3.604501941367744e-08,0.0
1880,1.0910338410496934e-08,0.0
1881,4.113779411563101e-08,0.0
1882,2.3959387362992857e-08,0.0
1883,4.233957034971425e-08,0.0
1884,2.772712726084592e-08,6.601696966868076e-10
1885,3.674012216681177e-08,6.445635691854079e-10
1886,1.8069698626277386e-08,0.0
1887,2.285123557044244e-08,0.0
1888,2.599652049184442e-08,1.268122939990235e-09
1889,2.6313573542324775e-08,6.265136742733546e-10
1890,8.520702365899524e-09,0.0
1891,1.211101796627645e-08,0.0
1892,1.1910173958185055e-08,0.0
1893,1.7243566574620672e-08,0.0
1894,1.3233232287745977e-08,0.0
1895,2.2870734417423932e-08,4.213029924926559e-09
1896,1.592197840238896e-08,0.0
1897,1.4566784223291052e-08,2.9133566670225264e-09
1898,1.3014216371232123e-08,3.3950129374460403e-09
1899,1.4371703827009696e-08,2.3768587098516036e-08
1900,1.142031713641245e-08,1.7130474816440255e-08
1901,1.3412973842719111e-08,1.4530721514915967e-08
1902,1.5712908307818907e-08,1.3257766440233354e-08
1903,1.296052865029651e-08,1.3500550899436803e-08
1904,1.9348650681649815e-08,1.3974025492302644e-08
1905,1.3934049469810361e-08,1.0837593933388234e-08
1906,2.3148830408104004e-08,8.230695236477459e-09
1907,1.337139288182243e-08,1.9542804707839423e-08
1908,2.2101250385375693e-08,1.2278472460991452e-08
1909,2.3654230019154454e-08,1.4302557360679202e-08
1910,1.870452770447173e-08,9.619471441624228e-09
1911,1.276889793899727e-08,8.51259862599818e-09
1912,1.4586379215586476e-08,1.8753915753677575e-08
1913,1.4318072560914885e-08,1.113627856597077e-08
1914,1.4063162190325329e-08,1.9420557606508737e-08
1915,1.1780761921542648e-09,3.534228465440492e-09
1916,7.69122365795738e-09,1.648119329900055e-08
1917,7.676496771580332e-09,1.973956464951243e-08
1918,1.1486376294556067e-08,1.1486376294556067e-08
1919,1.749491218561161e-08,1.1970202606903513e-08
1920,9.086678076641874e-09,1.0601124422748853e-08
1921,8.330022005509363e-09,1.2116395886607734e-08
1922,2.2133805899215986e-08,7.377935595798135e-09
