year,mêmes_ADJ boîtes_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,5.685755422035754e-09
1806,8.645007376628655e-09
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.0130190847567064e-08
1814,0.0
1815,0.0
1816,9.270415546325239e-09
1817,0.0
1818,9.536941902865692e-09
1819,8.69488232524418e-08
1820,1.1866481131050932e-09
1821,4.930744257336528e-09
1822,6.015369535816717e-09
1823,8.894418535021487e-09
1824,2.5263338088166165e-09
1825,7.044354433105582e-09
1826,8.807984341885344e-10
1827,6.452091305675367e-09
1828,4.677873732816806e-08
1829,0.0
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,6.950177322551099e-09
1834,0.0
1835,1.5126175867408165e-09
1836,0.0
1837,1.3915781860163179e-09
1838,1.8936485712828244e-09
1839,4.194885327990505e-09
1840,6.369688665408546e-10
1841,1.926164561183441e-09
1842,6.037438549100216e-09
1843,1.1813822142769936e-09
1844,3.2931368743049916e-09
1845,1.1160455892778032e-09
1846,5.854501328173001e-10
1847,5.393223645455691e-10
1848,0.0
1849,0.0
1850,2.0366988096043315e-09
1851,1.2898877521649865e-09
1852,6.510545436100301e-10
1853,8.957897534855874e-09
1854,1.558699391779328e-09
1855,0.0
1856,0.0
1857,1.4644527812635033e-09
1858,0.0
1859,1.5276520048956854e-09
1860,3.204028820036342e-09
1861,1.8863854922557266e-09
1862,2.2589932147099034e-09
1863,2.0477944673302773e-08
1864,3.3563094525845827e-09
1865,3.294791106611683e-09
1866,3.8924903300596725e-09
1867,0.0
1868,1.0373735648272486e-08
1869,3.906815315701806e-09
1870,5.734048791339319e-10
1871,4.248470908407853e-09
1872,2.4189357183956872e-09
1873,4.190203295451056e-09
1874,5.974609140757536e-10
1875,3.432916173551348e-09
1876,5.441413541973361e-09
1877,4.329371083855449e-09
1878,1.1474268646338714e-08
1879,6.720257683667796e-09
1880,3.8507077526617195e-09
1881,6.972507571312292e-10
1882,0.0
1883,2.5277355764075082e-09
1884,1.9805090900604227e-09
1885,5.80107206715752e-09
1886,0.0
1887,1.3057849246322917e-09
1888,8.242799331981132e-09
1889,9.397704836544563e-09
1890,4.5880703680722945e-09
1891,7.0116419337296065e-09
1892,5.014809900671935e-09
1893,7.390100087434348e-09
1894,2.520615716150587e-09
1895,3.611168697403855e-09
1896,7.66613794667137e-09
1897,4.078699600285063e-09
1898,2.8291773368493978e-09
1899,5.527578395003729e-09
1900,7.786579381274805e-09
1901,1.1177477832191585e-09
1902,1.1293653123800595e-08
1903,5.400220270956879e-10
1904,1.6123875568041512e-09
1905,2.580379465655369e-09
1906,2.0576738091193647e-09
1907,2.5714217422034835e-09
1908,5.40252820258047e-09
1909,3.850688656825696e-09
1910,8.01622590529405e-09
1911,1.5961122423746588e-09
1912,1.0418842455450772e-09
1913,2.6514948014977335e-09
1914,3.3483718020477227e-09
1915,0.0
1916,1.3184954461564757e-08
1917,8.773139548168274e-09
1918,4.594550517822427e-09
1919,6.4454939163738345e-09
1920,3.028892692213958e-09
1921,7.572747429129834e-10
1922,2.2133805899215986e-09
1923,1.0615948120573648e-09
1924,2.578324886925998e-09
1925,0.0
1926,3.343841648018042e-09
1927,4.4596899506643695e-09
1928,6.8556245125250825e-09
1929,6.684243825105796e-09
1930,4.201441416995522e-09
1931,1.1405356659111021e-09
1932,2.1919073223131136e-09
