year,nos_DET boîtes_NOUN
1800,9.432493897065797e-09
1801,1.4287095950749062e-08
1802,0.0
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,0.0
1806,0.0
1807,4.839823830593559e-08
1808,2.7192887941396293e-08
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,4.3136125782439194e-08
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,9.270415546325239e-09
1817,4.670620334934483e-09
1818,9.536941902865692e-09
1819,3.1053151161586356e-09
1820,2.1359666035891678e-08
1821,1.1833785507064931e-08
1822,7.017931125119503e-09
1823,9.882686891060644e-10
1824,8.421112696055388e-10
1825,7.924898959288385e-09
1826,6.1655889282974385e-09
1827,6.452091305675367e-09
1828,3.668920500743411e-09
1829,8.573175946935407e-09
1830,1.6698937344017395e-08
1831,3.741889287312006e-08
1832,1.352996914505411e-08
1833,9.266902800675325e-09
1834,7.467624740797874e-09
1835,1.1344631900556124e-08
1836,6.048674894287842e-09
1837,6.957890930081589e-10
1838,3.1560809521380406e-09
1839,2.6567605448946097e-08
1840,1.4013314952876499e-08
1841,1.2841097074556274e-09
1842,1.2074877098200432e-08
1843,2.008349753168659e-08
1844,6.037417232818143e-09
1845,1.8414752223083752e-08
1846,1.4050803187615202e-08
1847,1.240441438454809e-08
1848,3.218088684420195e-09
1849,1.1731181359664333e-08
1850,3.394498016007219e-09
1851,5.159551230704551e-09
1852,2.278690836021724e-08
1853,1.851298847554972e-08
1854,1.7145692865483397e-08
1855,1.1144567935161831e-08
1856,7.765783904822854e-09
1857,2.2943092758964667e-08
1858,1.1255455178993401e-08
1859,1.5276520048956854e-08
1860,2.4716793944890014e-08
1861,8.960331143725853e-09
1862,1.2650361674859667e-08
1863,1.748117206545885e-08
1864,3.0686259089307555e-08
1865,2.07101151783462e-08
1866,2.335494220240264e-08
1867,1.649955905236311e-08
1868,2.2723420034509445e-08
1869,1.70923168951731e-08
1870,2.121598052795548e-08
1871,2.2304472935275044e-08
1872,4.716924595360439e-08
1873,5.6268441905871214e-08
1874,4.301718625754347e-08
1875,4.233929951080739e-08
1876,3.62760870231682e-08
1877,4.2056747417973384e-08
1878,3.38188961279684e-08
1879,3.97106150185067e-08
1880,3.786529134686134e-08
1881,2.719277958362909e-08
1882,3.0614770718528916e-08
1883,5.434631589196215e-08
1884,2.77271263726675e-08
1885,2.90053603357876e-08
1886,3.226731948302586e-08
1887,2.8727268341910417e-08
1888,3.5507443207905e-08
1889,3.571127993318157e-08
1890,5.636772382189292e-08
1891,3.505821055682645e-08
1892,5.453605655958427e-08
1893,4.495644057023185e-08
1894,5.041231521119016e-08
