year,plusieurs_DET aveux_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,0.0
1807,3.701041606518629e-08
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,1.0028307073639553e-08
1812,1.0668832928217853e-08
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,1.3905623319487859e-08
1817,9.341240669868967e-09
1818,4.768470951432846e-09
1819,1.3456364911235141e-08
1820,2.0173018810965004e-08
1821,7.88919063410276e-09
1822,6.015369535816717e-09
1823,2.9648061783404955e-09
1824,0.0
1825,7.044354433105582e-09
1826,2.642395191543301e-09
1827,0.0
1828,2.7516904310687096e-09
1829,6.858540846366168e-09
1830,6.262101504006523e-09
1831,1.091384405071949e-08
1832,1.7588959622116818e-08
1833,0.0
1834,1.3068342852307069e-08
1835,3.025235173481633e-09
1836,1.3441500135158435e-09
1837,6.957891152126194e-09
1838,1.009945904684173e-08
1839,3.4957374772659477e-09
1840,1.0828470564661075e-08
1841,2.5682194149112547e-08
1842,6.708265054555795e-10
1843,1.4767278067040479e-08
1844,2.744280691580059e-09
1845,1.1160455892778032e-09
1846,1.7563503984519002e-09
1847,6.47186837454683e-09
1848,3.218088684420195e-09
1849,2.513824481908955e-09
1850,7.467895635215882e-09
1851,1.9348316282474798e-09
1852,1.9531636308300904e-09
1853,2.388772735173461e-09
1854,8.313063237785911e-09
1855,7.429711956774554e-09
1856,3.1063134287023786e-09
1857,6.345961978126979e-09
1858,2.300027723833864e-08
1859,1.833182383670362e-08
1860,3.204028820036342e-09
1861,1.4147891747029462e-09
1862,6.77697964412971e-09
1863,1.548332484446746e-08
1864,8.151037178549814e-09
1865,9.41368871743009e-10
1866,2.919367858567057e-09
1867,2.91168689159349e-09
1868,5.4338614718929534e-09
1869,7.325278494896281e-09
1870,3.4404292748035914e-09
1871,1.8056001360733376e-08
1872,3.6284036886158333e-09
1873,1.2570609442263958e-08
1874,2.3898436563030145e-09
1875,1.0298748964743254e-08
1876,4.836811839936672e-09
1877,7.421779302241305e-09
1878,4.831270883354222e-09
1879,1.0385853066452455e-08
1880,2.6954953824542827e-08
1881,2.0917522713936876e-09
1882,1.8635078147255513e-08
1883,4.423537369735442e-09
1884,9.902545450302114e-09
1885,0.0
1886,7.098810206329631e-09
1887,1.828098916689669e-08
1888,3.1703073499755874e-09
1889,1.0650732296113574e-08
1890,5.898947996740844e-09
1891,1.2111018299343357e-08
1892,8.149066310636499e-09
1893,1.847525021858587e-09
1894,8.822155006527055e-09
1895,1.4444674567570814e-08
1896,2.1229303648340192e-08
1897,4.661370844871726e-09
1898,5.6583546736987955e-09
1899,3.3165470370022376e-09
1900,6.22926377147337e-09
1901,3.912117185755903e-09
1902,3.928227132465878e-09
1903,4.860198243861191e-09
1904,5.374625189347171e-10
1905,1.0321518084666081e-09
1906,5.658602919567102e-09
1907,4.114274698707732e-09
1908,3.929111258571538e-09
1909,5.5009836685826485e-09
1910,4.275320542035388e-09
1911,2.128149656499545e-09
1912,3.125652625612929e-09
1913,4.242391771214216e-09
1914,8.705766774141921e-09
1915,4.712304768617059e-09
1916,2.197492410260793e-09
1917,3.289927441585405e-09
1918,3.44591288836682e-09
1919,7.366278698128781e-09
1920,1.514446346106979e-09
1921,7.572747762196741e-09
1922,5.902348387820666e-09
1923,2.1231896241147297e-09
1924,3.867487219366694e-09
1925,3.299453377181294e-09
1926,3.343841648018042e-09
1927,2.2298449753321847e-09
1928,0.0
1929,1.1140406375176326e-09
1930,0.0
1931,2.2810713318222042e-09
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,0.0
1935,3.590485242455088e-09
1936,6.0623572828433225e-09
1937,0.0
1938,0.0
1939,1.5294050470515685e-09
1940,1.0143131667916805e-08
1941,0.0
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,0.0
1946,1.3921104269343232e-09
1947,2.3841741914054637e-09
1948,1.0871887834440486e-09
1949,0.0
1950,2.1270722960764488e-09
1951,0.0
1952,1.0544803918932644e-09
1953,2.1547654771580937e-09
1954,1.9545072227344917e-09
1955,4.6928039232341234e-09
1956,2.616342476002842e-09
