year,quels_PRON ont_VERB,quels_DET bons_NOUN
1800,5.973912564627426e-07,2.5153315874604232e-08
1801,8.000773732419475e-07,2.3811825844433088e-09
1802,5.102275508761522e-07,6.713520406265161e-09
1803,4.5637936807452206e-07,7.801356671777171e-09
1804,5.413353534322596e-07,2.4718509461507665e-09
1805,4.0368863096773566e-07,0.0
1806,6.426122070024576e-07,6.339671898558663e-08
1807,5.01064093327841e-07,0.0
1808,4.940041264944739e-07,0.0
1809,4.7439640837865227e-07,3.614448673694426e-08
1810,6.996979351470145e-07,0.0
1811,4.613021360455605e-07,0.0
1812,5.147711874542438e-07,0.0
1813,4.6011867027573317e-07,2.8757416448144113e-09
1814,6.38775475181319e-07,0.0
1815,4.693168875746778e-07,0.0
1816,5.029200593753558e-07,4.6352077731626196e-09
1817,4.7017577031738256e-07,3.113746815941454e-09
1818,5.722165212773689e-07,3.5763532135746345e-09
1819,5.154822915187651e-07,1.8631890696951814e-08
1820,5.363649577816432e-07,9.493184904840746e-09
1821,6.429690273535016e-07,1.2819934891439289e-08
1822,5.734652290811937e-07,1.2030739071633434e-08
1823,6.937646332971781e-07,2.964806067318193e-09
1824,5.498986723750932e-07,2.273700427934955e-08
1825,5.071935262890293e-07,4.490776106536032e-08
1826,5.205518789352936e-07,2.6423953025656033e-09
1827,6.45209127014823e-07,4.608636583469661e-09
1828,5.118144059679253e-07,3.6689205562545624e-09
1829,6.146967166387185e-07,8.57317605795771e-10
1830,6.710885571692415e-07,2.0873671680021744e-09
1831,5.753154965759677e-07,1.4032085715598441e-08
1832,5.006088770187489e-07,2.705993873419743e-09
1833,4.587117032883725e-07,2.3167257001688313e-09
1834,5.992768663531933e-07,1.1201437333241415e-08
1835,6.753837240580651e-07,2.2689263801112247e-09
1836,5.746241313886458e-07,3.3603750337896088e-09
1837,6.679575363932599e-07,5.5663127440652715e-09
1838,5.863998566724149e-07,5.04972974546547e-09
1839,6.348259660171607e-07,1.1885507689157748e-08
1840,6.427015932786162e-07,9.554533331179726e-09
1841,6.29213772640469e-07,7.704658244733764e-09
1842,5.661775688281523e-07,8.720744570922534e-09
1843,7.448614951499621e-07,8.269675610961258e-09
1844,5.274507515196092e-07,6.586273526565378e-09
1845,7.070148839716239e-07,5.022205318283568e-09
1846,6.949293265279266e-07,7.610851504580296e-09
1847,7.199953699910111e-07,1.0786447290911383e-08
1848,7.771684238377929e-07,1.4481398968868575e-08
