year,deux_DET arts_NOUN,deux_DET barres_NOUN
1800,1.3834323731032327e-07,3.364255860560661e-07
1801,3.333655484993869e-08,4.0718221505642305e-07
1802,1.096541666356643e-07,3.0434625841735397e-07
1803,1.3847407842604298e-07,1.0921899473714802e-07
1804,1.3347995775347954e-07,2.0021992064300775e-07
1805,7.675770063997334e-08,1.4214388577293846e-07
1806,9.797675204481493e-08,2.2765186535878001e-07
1807,2.1921555060089304e-07,2.818485604905163e-07
1808,1.0423940155490641e-07,3.467093105946617e-07
1809,6.551188591608081e-08,2.7786076572944296e-07
1810,1.2168659324629516e-07,2.667744460893573e-07
1811,1.2535384108502967e-07,1.9304490983529377e-07
1812,1.0135391326215881e-07,3.920796158851658e-07
1813,7.189353823378042e-08,2.3581081975976304e-07
1814,2.8320094713762956e-08,2.3285410577500443e-07
1815,1.8880564667256294e-08,1.2137505578380114e-07
1816,4.4034472068688046e-08,1.7382029682266875e-07
1817,7.161617721074265e-08,2.2107602148935257e-07
1818,1.2517236314124602e-07,2.360393169809072e-07
1819,7.866798057420965e-08,2.69127296448346e-07
1820,1.1273156985680544e-07,2.2783644482160526e-07
1821,1.065040748926549e-07,1.34116234562498e-07
1822,9.323822780515911e-08,2.0753024898567674e-07
1823,1.1365089847004128e-07,2.539850658678233e-07
1824,1.271587990459011e-07,3.2505494829138115e-07
1825,6.42797326477762e-08,2.7649091971504447e-07
1826,6.253669226907732e-08,4.853199406795738e-07
1827,6.54426368096317e-08,2.46101196310633e-07
1828,5.503380623439469e-08,3.191960709081343e-07
1829,8.401712392469562e-08,2.117574489091112e-07
1830,4.383470941782264e-08,2.5883351639777175e-07
1831,5.3010101197514814e-08,2.697278542740378e-07
1832,8.38858085216998e-08,3.3148425870876963e-07
1833,6.370995575544214e-08,2.571565538289633e-07
1834,7.187588568768888e-08,3.1364023289626175e-07
1835,8.470658485748572e-08,2.1403538852382553e-07
1836,6.183090306421946e-08,1.7003497720935457e-07
1837,8.34946876082654e-08,1.9551673169360129e-07
1838,6.185918977053007e-08,2.0956377699832274e-07
1839,6.292327392465324e-08,2.5169311657080584e-07
1840,5.4142353878017246e-08,1.8026218384648018e-07
1841,5.3290552415319326e-08,1.5922959661907043e-07
1842,1.0599058697380315e-07,1.7240241767524367e-07
1843,8.033399012674636e-08,1.8547700086912755e-07
1844,8.342613450063041e-08,2.0527218991261975e-07
1845,9.98860830714321e-08,1.9251785765561635e-07
1846,7.610852037487348e-08,2.552562570201644e-07
1847,5.3932236454556914e-08,2.4970624323827906e-07
1848,6.194820856286753e-08,1.4079138366263066e-07
1849,3.351765842651844e-08,1.558571134374631e-07
1850,6.85688590351674e-08,1.398533164831406e-07
1851,5.224045551699419e-08,2.7861574913856657e-07
1852,1.3346618432663604e-07,1.9206109413971717e-07
1853,6.987159983928848e-08,2.2335024763009415e-07
1854,6.910233790735631e-08,2.0886571139300258e-07
1855,7.164365101175463e-08,2.2660621112891022e-07
1856,1.1545132083679022e-07,1.9155599506603949e-07
1857,7.712784366731285e-08,1.8012768610020657e-07
1858,9.493731573106956e-08,1.5708700518146657e-07
1859,9.827894476011068e-08,1.7364311233336593e-07
1860,7.872756668803049e-08,1.4097726408479616e-07
1861,1.0563758534587464e-07,2.2495147433687634e-07
1862,7.861296347222435e-08,1.8297844750492231e-07
1863,1.243660608385433e-07,2.0078375584375863e-07
1864,1.0404559547261272e-07,2.2487273731996993e-07
1865,7.719224726088214e-08,1.9345130120029808e-07
1866,8.174229337853944e-08,2.491193882292464e-07
1867,7.667442503134225e-08,4.168565190809659e-07
1868,7.26161495379074e-08,3.097301055632329e-07
1869,7.47178409143956e-08,2.7640718336385817e-07
1870,6.422134646300037e-08,2.40256641248493e-07
1871,3.186353225714811e-08,2.580946052432864e-07
1872,7.982487915114689e-08,1.8807225510286685e-07
1873,7.721946104766175e-08,2.3405278071209068e-07
1874,5.01867165603187e-08,2.4675135623652977e-07
1875,7.380770256082414e-08,2.3401046211901644e-07
1876,7.980739469282128e-08,2.4002679221979406e-07
1877,6.494056881134469e-08,2.368784519646283e-07
1878,9.239805764948983e-08,2.2103063868073036e-07
1879,7.270097057698877e-08,1.661736459546148e-07
1880,7.508880250917116e-08,1.5017760945923442e-07
1881,7.809208313336313e-08,2.6007452857967905e-07
1882,8.785108107645101e-08,2.5822895577398697e-07
1883,8.847074745021999e-08,4.32242778458658e-07
1884,8.978307697304899e-08,2.3634074963752028e-07
1885,6.767917792860345e-08,2.662047489110364e-07
1886,7.163344711846875e-08,3.0266744932561096e-07
1887,4.635536360320103e-08,2.5723963847923415e-07
1888,8.115986549483978e-08,2.5425865146644355e-07
1889,8.95914575860246e-08,2.537380403566658e-07
1890,7.078737507271171e-08,2.6807440889342615e-07
1891,4.716922674674606e-08,3.193484232610899e-07
1892,7.208788876944539e-08,2.6766547911449834e-07
1893,6.8358424809567e-08,2.728178580824192e-07
1894,7.68787788985037e-08,2.968025070160252e-07
1895,5.9584283951252814e-08,3.304219440281031e-07
1896,7.607167379353186e-08,2.8010887564988707e-07
1897,5.7684462984042284e-08,3.163905368808173e-07
1898,9.166534642446322e-08,3.2931624360799105e-07
1899,7.517506261933704e-08,2.802482210739754e-07
1900,9.603448158923555e-08,2.699347501078364e-07
1901,1.0003842754180425e-07,2.5596423558482684e-07
1902,6.039649003142245e-08,1.0164287260749916e-06
1903,5.238213662828173e-08,2.1222865242975786e-07
1904,6.449550404852289e-08,2.6496903160477814e-07
1905,9.392581223899299e-08,2.2449301972926605e-07
1906,6.173021177557914e-08,2.453775884703191e-07
1907,5.451413809254291e-08,1.8977092519634198e-07
1908,6.090122517399266e-08,2.1953908468930194e-07
1909,8.086445618671334e-08,2.7394898616250885e-07
1910,6.306098043751263e-08,2.0681862888949354e-07
1911,6.863282675517723e-08,2.984729761124072e-07
1912,6.147117193044949e-08,2.922485347056636e-07
1913,6.469647362283837e-08,2.5507380918554645e-07
1914,4.352883264946428e-08,2.0893840524394136e-07
1915,2.94519039156782e-08,1.967387230905615e-07
1916,4.944358011904626e-08,1.9777431492506992e-07
1917,6.68951898319392e-08,2.5003447490234976e-07
1918,9.533692502117219e-08,1.895252088601751e-07
1919,4.6960025201769895e-08,2.053350183217617e-07
1920,7.49650914677602e-08,1.9384913763076383e-07
1921,9.996026761882604e-08,2.1355147872270663e-07
