year,quelques_DET oies_NOUN,quelques_DET bois_NOUN
1800,5.0306631749208464e-08,1.9493819269911228e-07
1801,1.6668277424969347e-08,1.8335106233280385e-07
1802,2.9091921760482364e-08,1.6112448975036386e-07
1803,4.4857802805609026e-08,3.452100436618366e-07
1804,2.4718509905596875e-08,3.0156582075946403e-07
1805,5.4014676953428875e-08,2.0753007845542015e-07
1806,5.76333825108577e-09,1.0374009207225754e-07
1807,5.693910232196231e-09,1.5658253005312872e-07
1808,3.852325747288887e-08,2.0621273222332093e-07
1809,3.162642769893864e-08,2.801197833690594e-07
1810,1.2870697219113936e-07,1.4976811435474247e-07
1811,0.0,1.4541044990323826e-07
1812,0.0,1.2535878646247056e-07
1813,0.0,1.2078115219082974e-07
1814,0.0,2.234140765722259e-07
1815,4.315557688983063e-08,3.506390555685357e-08
1816,1.8540831092650478e-08,1.1356258866612734e-07
1817,1.2454987263765815e-08,1.55687345682054e-07
1818,3.695565098382758e-08,7.510341948346877e-08
1819,1.035105001712111e-09,9.108924103884419e-08
1820,3.5599443393152796e-09,9.611849804969097e-08
1821,9.861488514673056e-09,1.558115099165036e-07
1822,1.804610860745015e-08,9.925359734097583e-08
1823,8.894418535021487e-09,9.28972589964161e-08
1824,1.431589158329416e-08,1.1705346469881306e-07
1825,3.522177216552791e-09,6.427973597844527e-08
1826,1.8496766784892316e-08,2.1315321774295626e-07
1827,1.013900030599757e-08,1.2996355192029796e-07
1828,1.0089530988466322e-08,7.613009711526786e-08
1829,9.430493552731178e-09,1.251683672265358e-07
1830,9.39315203396518e-09,1.2941676330591179e-07
1831,3.1182412207897414e-09,2.5725489649630617e-07
1832,1.0823975493678972e-08,2.191855001942855e-07
1833,2.0850531967653296e-08,1.7027934262614508e-07
1834,1.8669061851994684e-08,3.6591359986459793e-07
1835,7.563087933704082e-09,1.0588323107185715e-07
1836,1.949017514046858e-08,1.5659347663010692e-07
1837,1.7394727436226276e-08,7.097048815296603e-08
1838,3.787297142565649e-09,9.657607868973628e-08
1839,4.894032734625853e-09,1.3913035878942992e-07
1840,4.458782232319436e-09,8.91756437582103e-08
1841,4.494383976094696e-09,1.14285762187194e-07
1842,6.708265054555795e-10,9.928232014289051e-08
1843,1.594865972620596e-08,9.805472211965593e-08
1844,4.9397050894128824e-09,9.440325726695065e-08
1845,1.562463802784464e-08,9.709596648921348e-08
1846,8.196302303531411e-09,7.493761478016836e-08
1847,1.0786447290911383e-08,8.844887133818702e-08
1848,1.6090443422100975e-09,1.4079137944378317e-07
1849,4.189707469848258e-09,1.6758830057028717e-07
1850,1.8330290174617403e-08,7.332115625757751e-08
1851,9.029214709244116e-09,1.1480000861041617e-07
1852,1.9531636308300904e-09,8.268392548416159e-08
1853,2.388772735173461e-09,7.524634071387482e-08
1854,8.832629572186335e-09,6.390667106614956e-08
1855,2.1227748447927297e-09,9.552486446295916e-08
1856,3.1063135952358323e-09,7.921099776098117e-08
1857,0.0,1.2545478078607175e-07
1858,8.80861672492017e-09,6.753272785431363e-08
1859,3.055304009791371e-09,8.605772805481138e-08
1860,1.327383358784573e-08,1.4692759719991955e-07
1861,1.8863854922557266e-09,8.347255509022489e-08
1862,4.066187636597718e-09,9.578131043852522e-08
1863,6.493007298491449e-09,9.68956417324307e-08
1864,1.102787461348953e-08,1.0068928979478642e-07
1865,0.0,9.22541496528595e-08
1866,8.758103242634263e-09,5.936047875465533e-08
1867,5.338092634588065e-09,1.1209994354999253e-07
1868,2.3711396401893126e-08,9.336361905809554e-08
1869,9.767038400276817e-09,9.278686619040855e-08
1870,3.4404292748035914e-09,8.429051989722325e-08
1871,8.496941816815706e-09,1.1258447596418364e-07
1872,5.442605477412599e-09,1.1308524516806528e-07
1873,5.986004469882289e-10,1.3348789296152574e-07
1874,6.572069888299836e-09,1.0156835728025726e-07
1875,5.721527251978387e-09,8.639505733043507e-08
1876,3.02300739996042e-09,9.069022222085721e-08
