year,étais_VERB à_ADP,étais_VERB a_ADP,etais_VERB à_ADP
1800,9.432493186523061e-08,0.0,0.0
1801,7.857902772911984e-08,0.0,7.143547975374531e-09
1802,8.727576528144709e-08,0.0,0.0
1803,7.606323038089613e-08,0.0,0.0
1804,1.0628959046243835e-07,0.0,0.0
1805,6.822906328807221e-08,0.0,2.842877711017877e-09
1806,7.492339904047185e-08,0.0,0.0
1807,6.263301344233696e-08,0.0,0.0
1808,5.4385775882792586e-08,0.0,0.0
1809,1.0843346842648316e-07,0.0,0.0
1810,1.1700633706368535e-07,0.0,0.0
1811,5.766276700569506e-08,0.0,5.0141535368197765e-09
1812,6.668020802180763e-08,0.0,0.0
1813,9.777521370324394e-08,0.0,2.8757416448144113e-09
1814,5.034683425719777e-08,3.1466771410748606e-09,0.0
1815,1.1867783911156948e-07,0.0,2.697223555614414e-09
1816,8.57513455798653e-08,0.0,0.0
1817,7.161617787687646e-08,0.0,4.670620334934483e-09
1818,9.298518222067287e-08,0.0,2.384235475716423e-09
1819,9.212434548544479e-08,0.0,1.035105001712111e-09
1820,1.2222476186707354e-07,0.0,0.0
1821,2.406203236660076e-07,0.0,9.86148829262845e-10
1822,1.664252238242625e-07,0.0,0.0
1823,2.441023525534547e-07,9.882686891060644e-10,1.4824030003524058e-08
1824,1.8021181347194215e-07,0.0,1.6842225392110777e-09
1825,1.7434777532798762e-07,0.0,0.0
1826,1.3123896280831104e-07,0.0,4.403992281964975e-09
1827,1.6683264902894734e-07,0.0,4.608636583469661e-09
1828,2.2472137573004147e-07,0.0,7.337841001486822e-09
1829,2.357623429816158e-07,8.57317605795771e-10,8.573175946935407e-09
1830,2.870129947041278e-07,0.0,7.305785310052215e-09
1831,2.510184060611209e-07,0.0,1.091384405071949e-08
1832,2.043025375542129e-07,0.0,6.764984572527055e-09
1833,3.567757573819108e-07,0.0,1.2741991461950875e-08
1834,2.1469421085384965e-07,0.0,2.8003592777992026e-09
1835,1.8000149282215716e-07,0.0,4.5378527602224494e-09
1836,1.7473949753821216e-07,0.0,6.048674894287842e-09
1837,2.261314620000121e-07,0.0,2.7831563720326358e-09
1838,1.4833580053164042e-07,6.312161904276081e-10,0.0
1839,2.048502238949368e-07,0.0,4.194885327990505e-09
1840,1.7835128574006376e-07,0.0,3.1848443882154243e-09
1841,1.7271275964958477e-07,6.420548537278137e-10,3.852329122366882e-09
1842,1.8112315558482805e-07,0.0,2.683306021822318e-09
1843,1.5180761181454727e-07,1.1813822142769936e-09,1.1813822142769936e-09
1844,1.51484286448067e-07,0.0,2.7442805805577564e-09
1845,1.6405870439939463e-07,0.0,1.1160455892778032e-09
1846,1.2177362407328474e-07,1.1709002656346001e-09,1.7563503984519002e-09
1847,1.4723499930369144e-07,5.393223645455691e-10,0.0
1848,1.7860392631519062e-07,0.0,1.6090443422100975e-09
