year,anciens_ADJ ans_NOUN,anciens_ADJ bancs_NOUN
1800,0.0,0.0
1801,0.0,9.524730337773235e-09
1802,4.475680270843441e-09,3.3567602031325805e-08
1803,0.0,1.950339223455444e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,3.458002950651462e-08
1807,0.0,3.701041606518629e-08
1808,0.0,4.758755522971114e-08
1809,2.259030518203531e-09,4.518061036407062e-09
1810,0.0,0.0
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,8.627225156487839e-09
1814,0.0,0.0
1815,0.0,1.3486118000116676e-08
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,0.0,1.4305412854298538e-08
1819,1.035105001712111e-09,1.1386155129855524e-08
1820,3.5599443393152796e-09,1.6613073583471305e-08
1821,0.0,9.861488514673056e-09
1822,0.0,9.023054303725075e-09
1823,4.941343334508019e-09,0.0
1824,0.0,3.3684450784221553e-09
1825,0.0,1.7610886970942374e-08
1826,0.0,8.80798456392995e-09
1827,0.0,1.1982455028203276e-08
1828,0.0,1.1006761724274838e-08
1829,0.0,1.3717081692732336e-08
1830,0.0,1.7742621594152297e-08
1831,0.0,0.0
1832,0.0,4.058990921151917e-09
1833,0.0,1.2741991461950875e-08
1834,0.0,8.401078055442213e-09
1835,0.0,1.4369867074037757e-08
1836,6.720750067579218e-10,1.1425274948351216e-08
1837,6.957890930081589e-10,1.461157062010443e-08
1838,6.312161904276081e-10,1.4517972601879592e-08
1839,0.0,1.11863602825224e-08
1840,0.0,8.917564464638872e-09
1841,0.0,1.219904177673925e-08
1842,0.0,5.366612043644636e-09
1843,0.0,5.31621990873532e-09
1844,0.0,1.756339607084101e-08
1845,0.0,8.928364714222425e-09
1846,0.0,5.269050973311096e-09
1847,0.0,3.775256551818984e-09
1848,0.0,3.218088684420195e-09
1849,0.0,1.1731181359664333e-08
1850,0.0,4.752297222410107e-09
1851,0.0,2.0638204034639784e-08
1852,0.0,2.278690836021724e-08
1853,5.971931837933653e-10,4.777545470346922e-09
1854,1.0391328908454511e-09,1.2469595134234623e-08
1855,5.306937111981824e-10,1.326734277995456e-08
1856,0.0,6.212626857404757e-09
1857,0.0,1.8549734193129552e-08
1858,0.0,5.3830437884982985e-09
1859,0.0,3.5645213447565993e-09
1860,0.0,3.204028820036342e-09
1861,4.715963730639317e-10,5.187560159214399e-09
1862,0.0,6.325180823552046e-09
1863,0.0,1.4484400345793347e-08
1864,0.0,7.671564716815737e-09
1865,0.0,1.3179164426446732e-08
1866,0.0,1.6056523222118813e-08
1867,4.85281148598915e-10,1.1161466417775046e-08
1868,4.93987406535723e-10,8.397785578040384e-09
1869,4.883519144627257e-10,1.2697149998075474e-08
1870,0.0,6.880858549607183e-09
1871,0.0,1.0621176826930423e-08
1872,0.0,1.5118347462816928e-08
