year,les_DET ailes_NOUN,les_DET belles_ADJ
1800,1.8475111232874042e-05,7.850978704482259e-06
1801,1.1441582614679646e-05,8.043634636578645e-06
1802,1.4664566151623148e-05,8.087554192570678e-06
1803,3.2675984812158276e-05,8.366955341898574e-06
1804,1.1432310998316098e-05,8.940684494973539e-06
1805,7.857714081183076e-06,8.935164601098222e-06
1806,8.941819430674514e-06,9.189642469209502e-06
1807,5.258326098100952e-06,9.369329632136214e-06
1808,8.434327696704713e-06,9.2433159011307e-06
1809,8.308714143367979e-06,7.897570583281777e-06
1810,7.5141470574635605e-06,8.244266723522742e-06
1811,8.428791886672116e-06,9.326325141501002e-06
1812,5.035689184751391e-06,8.63108618887054e-06
1813,4.468902290000187e-06,9.0815924522758e-06
1814,3.6186786189773557e-06,7.844666356504604e-06
1815,4.890066520601977e-06,7.0208729425758065e-06
1816,1.8174650563196337e-05,7.763972860175272e-06
1817,2.5939067199942656e-05,9.138847246958903e-06
1818,1.7289283334775973e-05,7.869169053265068e-06
1819,9.65338972491736e-06,8.146276229581417e-06
1820,7.814077662260388e-06,8.062087488269754e-06
1821,8.51342321084303e-06,9.463083870286937e-06
1822,8.333292271345272e-06,8.589947469772596e-06
1823,1.447813610866433e-05,8.219430867484334e-06
1824,5.645513965646387e-06,7.849319274555455e-06
1825,8.09308278348908e-06,7.95747894244414e-06
1826,1.0075453246827237e-05,6.990897077230329e-06
1827,7.177490374488116e-06,7.472443087408465e-06
1828,1.1165442629135214e-05,6.5600300445112225e-06
1829,9.187015621137107e-06,7.228044580642745e-06
1830,9.887858368529123e-06,7.0813930506119505e-06
1831,7.533670782322588e-06,6.978623673603579e-06
1832,9.918820978782605e-06,8.12745258826908e-06
1833,7.698479521422996e-06,7.93941887877736e-06
1834,1.1200503877262236e-05,7.48722709431604e-06
1835,1.0076302487505018e-05,7.399725404866331e-06
1836,1.0169839242735179e-05,7.529928268468211e-06
1837,8.309809231832332e-06,7.660637891149236e-06
1838,9.506747346677002e-06,8.06504914407924e-06
1839,8.365999065063079e-06,7.6165131304151146e-06
1840,6.221911803550029e-06,6.899009747485252e-06
1841,7.749601991235977e-06,7.4504044391687785e-06
1842,6.1253166450114804e-06,7.316704568438581e-06
1843,6.828389132351731e-06,7.690798270232335e-06
1844,5.756951964031032e-06,7.372235529601312e-06
1845,6.118719852565846e-06,7.476389612293133e-06
1846,9.569182566337986e-06,7.006667090081464e-06
1847,4.578846755975974e-06,6.654698609054321e-06
1848,5.280883613067999e-06,6.179534921102459e-06
1849,6.573651148755744e-06,6.785650441543112e-06
1850,7.061234668981342e-06,7.372170955477486e-06
1851,4.839013911350776e-06,7.720623273144156e-06
1852,9.334169135399861e-06,7.369286322500557e-06
1853,7.545535709141404e-06,7.736637655852974e-06
1854,6.589661325051566e-06,8.02522350795698e-06
1855,7.1574659159523435e-06,8.374877268124692e-06
1856,5.612590967984943e-06,7.9190285759978e-06
1857,7.68544794027548e-06,7.883637238137453e-06
1858,5.307680908117618e-06,7.809817645920702e-06
1859,5.8514164607004204e-06,7.981981752891443e-06
1860,8.621583560852741e-06,8.23664242943778e-06
1861,6.140184893865808e-06,8.158617447406868e-06
1862,5.444625173822715e-06,7.860844164042646e-06
1863,5.5799906135689525e-06,7.785115542446874e-06
1864,5.629010729535366e-06,8.161585924426618e-06
1865,5.142698398685752e-06,7.406219424410665e-06
1866,5.4587310955867e-06,7.407895509459195e-06
1867,7.226321713460493e-06,8.100312982151081e-06
1868,6.345268047880381e-06,7.453281853031513e-06
1869,6.588355574876914e-06,7.986995399278385e-06
1870,6.169263258470892e-06,7.664702934562229e-06
1871,5.990343993289571e-06,5.839523453232687e-06
1872,5.863500348368689e-06,6.883686126002431e-06
1873,6.050054878414812e-06,6.7121067672815116e-06
1874,9.975207376555772e-06,6.955639776151656e-06
1875,5.0835768661272596e-06,7.630228708421782e-06
1876,5.468015842780005e-06,7.443248875915742e-06
1877,6.557141773555486e-06,7.388381050077442e-06
1878,7.665415182600555e-06,7.113442734407727e-06
