year,les_DET eaux_NOUN,les_DET beaux_ADJ
1800,6.798626600357238e-05,1.1734021541087714e-05
1801,5.570538405663683e-05,1.1277280520971544e-05
1802,6.57835489619174e-05,1.0757297559393919e-05
1803,6.877285841255798e-05,1.120079855354561e-05
1804,6.552382501467946e-05,1.2102181813133939e-05
1805,6.032870669514523e-05,1.2448961228983535e-05
1806,5.051277844358992e-05,1.2304727533773985e-05
1807,5.490352896231343e-05,1.29109417912332e-05
1808,5.092548053653445e-05,1.2687748608186666e-05
1809,5.907139029659447e-05,1.0499973541300278e-05
1810,5.2238649459468434e-05,1.0715440737385507e-05
1811,5.3568709972751094e-05,1.1835909845103743e-05
1812,5.794242997581023e-05,1.186640963624086e-05
1813,4.849650667893002e-05,1.3498730822902871e-05
1814,4.401571959533612e-05,1.3401697628978582e-05
1815,5.169229098100914e-05,9.723490620672237e-06
1816,5.242188080956112e-05,9.240286942713283e-06
1817,4.4865978225061554e-05,1.170457437638106e-05
1818,5.1160924613213865e-05,9.961336218111683e-06
1819,4.7381931381096365e-05,1.0045693784377363e-05
1820,3.839281180262333e-05,1.1906827353413973e-05
1821,3.80860542463779e-05,1.2309109592933964e-05
1822,4.8787653213366866e-05,1.0275253316649469e-05
1823,3.7892198633926455e-05,9.946924478754227e-06
1824,4.0812080214891466e-05,1.007249318263348e-05
1825,4.547130765786278e-05,1.1447075564774423e-05
1826,4.5599815848618164e-05,8.876686990788585e-06
1827,4.266859968993231e-05,8.678983874688129e-06
1828,4.227238491694152e-05,8.05603207254535e-06
1829,4.606024685926968e-05,1.0604161161609227e-05
1830,4.466026530280942e-05,1.0311593769074534e-05
1831,4.8145645450858865e-05,1.0332292390557996e-05
1832,4.258693161318661e-05,1.120687363709294e-05
1833,5.670186237693997e-05,1.1106383169590117e-05
1834,4.441183205017296e-05,9.879667857148888e-06
1835,5.218606474954868e-05,8.88435909018881e-06
1836,4.175064509581716e-05,8.884831970590312e-06
1837,4.713414455181919e-05,8.721716142190417e-06
1838,4.5350988330028486e-05,8.910879159884644e-06
1839,4.228024772601202e-05,8.34991891451864e-06
1840,4.3711350599551224e-05,8.218809284699091e-06
1841,4.367578185338061e-05,8.97656912002276e-06
1842,3.850678172057087e-05,8.913942963317822e-06
1843,4.213517991047411e-05,8.967281814875605e-06
1844,4.2020973978651455e-05,8.140085185459611e-06
1845,4.3623432247841265e-05,8.027158003187651e-06
1846,4.385255556371703e-05,8.390085497467226e-06
1847,3.948055450564425e-05,7.398424202165188e-06
1848,4.3825539705721894e-05,7.395972204449208e-06
1849,4.31640432907443e-05,7.800397327173414e-06
1850,3.981474583270028e-05,7.937694022075448e-06
1851,4.472298724067514e-05,7.917976120097592e-06
1852,4.753544521918229e-05,8.341961859059666e-06
1853,4.7953417379176244e-05,8.696924453488464e-06
1854,4.652613529287919e-05,8.792622622877388e-06
1855,4.722218659480859e-05,9.623599737551558e-06
1856,4.4654809698840836e-05,9.079237031528464e-06
