year,les_DET heures_NOUN
1800,5.1501412201560015e-06
1801,5.2433641855031965e-06
1802,7.490050990099917e-06
1803,5.041627026969309e-06
1804,6.172211939770023e-06
1805,6.117873017075226e-06
1806,6.04286017846789e-06
1807,5.118825498584556e-06
1808,5.384191780422043e-06
1809,6.0135394477356385e-06
1810,6.7606260074626334e-06
1811,4.989082860618055e-06
1812,5.577132249356964e-06
1813,5.167707683995104e-06
1814,6.183220641275966e-06
1815,4.6715912409567295e-06
1816,5.091775763688133e-06
1817,5.6545644300243225e-06
1818,5.135643203146856e-06
1819,5.5709349355836935e-06
1820,5.208198512463014e-06
1821,5.0145666570244884e-06
1822,4.783221143611627e-06
1823,5.33368610788898e-06
1824,5.114983927967387e-06
1825,5.429436296111589e-06
1826,5.362300903755113e-06
1827,5.213289428596113e-06
1828,4.772348323633935e-06
1829,4.902999499734051e-06
1830,6.070063641061552e-06
1831,5.42418045768045e-06
1832,6.09119202721331e-06
1833,6.690703763467809e-06
1834,6.1253192100707565e-06
1835,7.16375685527737e-06
1836,5.873935373656991e-06
1837,6.097895472123582e-06
1838,6.224422747891367e-06
1839,6.165083050291287e-06
1840,6.0435606989983626e-06
1841,6.27223388960374e-06
1842,6.101837698224699e-06
1843,6.986694494059975e-06
1844,6.675188458871162e-06
1845,6.876515069365041e-06
1846,6.685255044658334e-06
1847,6.348363658759126e-06
1848,7.173119708880904e-06
1849,8.210988589496537e-06
1850,6.918665839350524e-06
1851,6.4391195166990656e-06
1852,7.386864815828176e-06
1853,7.470289396849239e-06
1854,7.495785226296903e-06
1855,7.290139492965864e-06
1856,6.76813934319398e-06
1857,7.710831667395723e-06
1858,6.957339408586449e-06
1859,7.661684136905933e-06
1860,7.932717643654996e-06
1861,7.15883297530695e-06
1862,7.215223874368348e-06
1863,7.513907753775584e-06
1864,7.314357304721852e-06
1865,7.418457268926204e-06
1866,6.775365889666318e-06
1867,7.470903426565201e-06
1868,6.9780660716389775e-06
1869,7.115287253611768e-06
1870,6.620532566614656e-06
1871,7.398712003947594e-06
1872,7.273739637270182e-06
1873,7.0491186647814175e-06
1874,7.238238847406819e-06
1875,6.710779302920855e-06
1876,6.504302810128593e-06
1877,7.648762025525002e-06
1878,7.24509447991295e-06
