year,trois_DET eaux_NOUN,trois_DET beaux_ADJ
1800,9.432493897065797e-09,1.540640539587912e-07
1801,8.096020565062645e-08,6.191074763961524e-08
1802,1.1189200677108602e-08,5.818384352096473e-08
1803,2.3404069793286908e-08,1.3457340308775656e-07
1804,1.730295728918918e-08,1.458392091535643e-07
1805,2.842877755426798e-08,8.24434565060983e-08
1806,5.76333825108577e-09,1.5561012656206685e-07
1807,1.9928686256776018e-08,7.402083657126468e-08
1808,2.2660739062985158e-08,1.382305079289381e-07
1809,5.421673421324158e-08,1.2424668227595248e-07
1810,9.594519667643908e-08,6.084329839950442e-08
1811,7.019814773912003e-08,1.5042460077552278e-07
1812,1.600324850414836e-08,1.4402924497503022e-07
1813,3.738464116054274e-08,4.313612333994854e-08
1814,4.090680150170556e-08,5.97868634599763e-08
1815,3.506390555685357e-08,6.473336622292436e-08
1816,2.3176038865813098e-09,1.1819779643928996e-07
1817,2.1796227045456362e-08,9.029865832843598e-08
1818,2.6226590676969863e-08,8.821671571013212e-08
1819,1.2421260464634543e-08,7.245734945371396e-08
1820,3.5599443393152796e-09,8.42520151422832e-08
1821,5.9168927535324656e-09,1.0749022449907386e-07
1822,2.7069162911175226e-08,1.2632276025215106e-07
1823,7.609668595254249e-08,1.1068609051534395e-07
1824,5.221090049190025e-08,9.515857346542589e-08
1825,3.874394849390228e-08,1.0654586191094495e-07
1826,2.906634755106552e-08,1.1450379888700013e-07
1827,2.949527377893446e-08,1.124507345018344e-07
1828,4.219258542548232e-08,8.6219628769868e-08
1829,2.8291481157793896e-08,8.658907679759409e-08
1830,5.844628248041772e-08,8.766942194426974e-08
1831,4.053713453799901e-08,8.73107515175775e-08
1832,3.111892965534935e-08,2.2324448778476835e-07
1833,5.21263281427764e-08,1.0193593391605305e-07
1834,3.733812370398937e-09,1.036132935006151e-07
1835,6.806779140333674e-09,6.277362984974388e-08
1836,1.6129799718100912e-08,1.2836632468093967e-07
1837,5.5663127440652715e-09,8.349469382551433e-08
1838,1.2624323364462953e-08,1.4265485859255023e-07
1839,1.8876983531868063e-08,1.0557127172461378e-07
1840,5.732719632334238e-09,1.0509986569928742e-07
1841,0.0,1.2905303137245028e-07
1842,1.8783142152756227e-08,1.2678621530426426e-07
1843,4.843666989717832e-08,1.216823664051958e-07
1844,1.8112252364588244e-08,1.27883479805746e-07
1845,1.5066614622583074e-08,7.477505514774663e-08
1846,1.6978054517835517e-08,1.586569853273545e-07
1847,2.9662729161827883e-08,1.2350482148093533e-07
1848,2.333114323960217e-08,8.045221422392501e-08
1849,4.189707314417035e-08,1.4328799480267662e-07
1850,2.2403686017469226e-08,1.2695422579867e-07
1851,1.096404567135778e-08,1.1286517853648093e-07
1852,4.427170807730363e-08,1.1979403646833475e-07
1853,5.971931837933653e-09,1.0032845754182063e-07
1854,4.208488119106235e-08,1.080698197597485e-07
1855,5.837630823180007e-08,1.050773583699538e-07
1856,5.3842768188427925e-08,1.848256525605052e-07
1857,2.0502338549110988e-08,1.5864904501228239e-07
1858,2.6425849952715907e-08,1.2381000491501482e-07
1859,4.226503946824778e-08,1.4003476689339323e-07
1860,5.0806741119791e-08,1.4875848108886203e-07
1861,5.234719679947375e-08,1.325185881029256e-07
1862,5.737842562192341e-08,1.4638276102374448e-07
1863,4.9946207170137313e-08,1.3835099466064094e-07
1864,3.068625842317374e-08,1.424034188346468e-07
1865,2.729969672543575e-08,1.2237795310454658e-07
1866,1.0217787504984699e-08,1.9024546027424094e-07
1867,4.610170911689693e-08,1.737306565274821e-07
1868,5.532658775564414e-08,1.264607760731451e-07
