year,tes_DET eaux_NOUN,tes_DET beaux_ADJ
1800,9.118076960135113e-08,4.7162465932615305e-08
1801,8.09602078710725e-08,3.5717739876872656e-08
1802,7.161088433349505e-08,5.594600338554301e-08
1803,4.290746247193056e-08,5.460949736857401e-08
1804,1.1864884319479074e-07,5.9324420931261557e-08
1805,5.1171799242411e-08,7.960057502032214e-08
1806,1.613734639249742e-07,2.0171682990621775e-08
1807,7.686778946691675e-08,4.555128185756985e-08
1808,7.93125889408941e-08,5.211970233176544e-08
1809,7.228897924704825e-08,5.1957702140725814e-08
1810,4.680253340438867e-08,6.552355102940055e-08
1811,1.2033968488367464e-07,1.579458341893769e-07
1812,8.801787032552966e-08,2.1337665856435706e-08
1813,3.738464204872116e-08,6.901780125190271e-08
1814,6.293354060105116e-08,2.2026739543434815e-08
1815,4.315557666778602e-08,2.697223555614414e-09
1816,4.4034475621401725e-08,4.6352077731626196e-09
1817,6.538868291272593e-08,3.42512151974006e-08
1818,8.821671082515081e-08,1.4305412854298538e-08
1819,1.3870406911919986e-07,4.34744116262209e-08
1820,9.849179338772274e-08,2.610625848831205e-08
1821,8.678109963966563e-08,3.0570614484304315e-08
1822,9.825103575167304e-08,3.308453244699194e-08
1823,6.226093063332883e-08,2.4706716672540097e-08
1824,6.821101017351339e-08,6.231623217445303e-08
1825,5.3713204550831506e-08,4.842993561737785e-08
1826,6.253668771716292e-08,5.549030035467695e-08
1827,3.8712546668318026e-08,2.949527377893446e-08
1828,7.796455747666187e-08,4.219258542548232e-08
1829,4.029392802751275e-08,2.4862210068476998e-08
1830,8.036363396968227e-08,4.4878394334091354e-08
1831,9.822459645647541e-08,4.365537620287796e-08
1832,1.1500473662273691e-07,4.19429042608499e-08
1833,1.042526562855528e-07,4.51761508202253e-08
1834,9.241185949804276e-08,3.173740381612333e-08
1835,7.865611451052246e-08,4.689114518896531e-08
1836,1.1290860368884381e-07,5.2421849972006385e-08
1837,5.0096812920230605e-08,4.5922078584226256e-08
1838,6.627769821854201e-08,4.86036455527028e-08
1839,5.523265422802126e-08,5.663094881924735e-08
1840,5.6690230731959446e-08,2.293087852933695e-08
1841,9.759233554618163e-08,5.8426991245141835e-08
1842,9.324488292605793e-08,5.769107858100142e-08
1843,8.44688284873385e-08,2.5990408047960045e-08
1844,7.354671988091255e-08,4.8848196598783034e-08
1845,3.9061594403477784e-08,3.627148004170522e-08
1846,6.088681048233013e-08,2.2832555401919308e-08
1847,5.8786138623645456e-08,2.588747349818732e-08
1848,5.3098462293732496e-08,3.781254065415851e-08
1849,7.960444037280467e-08,4.524883934209356e-08
1850,8.554135177973876e-08,4.752297400045791e-08
1851,6.513933392682247e-08,3.998652076120379e-08
1852,7.877760155317048e-08,3.841221740685796e-08
1853,8.360704462084811e-08,2.269334054005867e-08
1854,4.9358813924982314e-08,3.065441944727354e-08
1855,8.384960636931282e-08,4.351688431825096e-08
1856,9.16362518088576e-08,2.7956822634678247e-08
1857,9.763017866371015e-08,4.490988203542656e-08
1858,7.732008361349685e-08,3.1808895073481835e-08
1859,1.0591720789321357e-07,4.7357211485632433e-08
1860,1.0664838567819857e-07,5.034902272882391e-08
1861,7.215424258077974e-08,3.159695793897299e-08
1862,7.951656066929047e-08,4.608346060308577e-08
1863,7.541877578010059e-08,5.993545215687845e-08
1864,8.198985135265957e-08,3.5001512799226475e-08
1865,7.578019589615792e-08,3.7654753981541944e-08
1866,7.68766869052584e-08,4.5736761933312664e-08
1867,7.4248015735634e-08,3.591080499631971e-08
1868,4.791677987725507e-08,3.507310708528166e-08
1869,6.299739396808945e-08,2.7347706321734222e-08
1870,6.651496553544689e-08,5.390005952676802e-08
1871,6.797553542270407e-08,1.0621176826930423e-08
1872,5.0797650197331734e-08,4.354084381930079e-08
1873,4.250063090349698e-08,2.3944018323618366e-08
1874,4.480956938834879e-08,3.345781252050983e-08
1875,5.4926659998066896e-08,2.1741803024610817e-08
1876,5.441413430951059e-08,3.748529309177684e-08
1877,5.2570936381890476e-08,5.751878973114799e-08
1878,4.1065803202400275e-08,1.7513357875031943e-08
1879,4.215434479259983e-08,4.520900631632685e-08
1880,7.63723717600584e-08,3.5939940801199555e-08
1881,3.067903492359747e-08,4.183504387356152e-08
1882,4.5256619785050134e-08,4.059785041476971e-08
1883,4.7395041335995813e-08,3.917990198942789e-08
1884,5.3473745431631414e-08,6.205595326491675e-08
1885,5.1565084646654213e-08,3.287274097374393e-08
1886,6.13079063072064e-08,2.774989482645651e-08
1887,5.549585813113822e-08,2.8727267675776602e-08
1888,4.5652425617603853e-08,2.8532765483646472e-08
1889,5.388017676466461e-08,4.009687515349469e-08
1890,4.063719782898545e-08,1.3764211992395303e-08
1891,4.971891587324251e-08,4.270727416155751e-08
1892,3.322311670217459e-08,4.0745330665004076e-08
1893,3.879802457085191e-08,3.87980243488073e-08
1894,3.7179081591176555e-08,4.0329851458409394e-08
1895,2.9491210584708938e-08,2.7083764564395096e-08
1896,5.48423693125244e-08,1.7101383420481397e-08
1897,3.787363744844896e-08,3.088158351260972e-08
1898,3.3384293107729945e-08,2.6028432742464247e-08
1899,5.30647525920358e-08,2.819064981451902e-08
1900,3.8932899570909285e-08,3.1665425836990835e-08
1901,3.632680295462265e-08,2.1237207548097103e-08
1902,4.075535509073802e-08,2.356936334990678e-08
1903,5.508224765193859e-08,3.564145245604777e-08
1904,4.407192566446838e-08,2.042357571951925e-08
1905,2.7868098273486908e-08,1.3934049469810361e-08
1906,4.3211151101729683e-08,1.9547901075611662e-08
1907,4.577130496841164e-08,3.188563013623025e-08
1908,5.255186374952814e-08,2.7503778810000767e-08
1909,3.135560788791736e-08,3.190570296851547e-08
1910,5.557916726850465e-08,4.80973554317643e-08
1911,6.916486583463666e-08,2.8197982615552064e-08
1912,6.720153034045495e-08,3.80287765722187e-08
1913,7.106006372215035e-08,1.7499866444836698e-08
1914,6.830678656033484e-08,2.4108278040557707e-08
1915,2.7095752974659604e-08,3.534228554258334e-08
1916,7.031975557403314e-08,3.076489463182952e-08
1917,4.934891040253575e-08,2.52227767560953e-08
1918,1.2405286398120552e-07,2.986458014220261e-08
1919,8.655377492505778e-08,4.511845830279526e-08
1920,7.117897693476039e-08,2.5745588771997063e-08
1921,9.541661505352295e-08,5.9067428281878165e-08
