year,mêmes_ADJ ans_NOUN,mêmes_ADJ bancs_NOUN
1800,0.0,6.917161954334006e-08
1801,1.4287095950749062e-08,7.381665767525192e-08
1802,0.0,8.503792514602537e-08
1803,0.0,1.2287136996746995e-07
1804,2.4718509461507665e-09,1.2359254952798437e-08
1805,0.0,4.264316544322355e-08
1806,0.0,8.06867319624871e-08
1807,5.693910232196231e-09,1.4234775136401367e-08
1808,0.0,7.024829073998262e-08
1809,4.518061036407062e-09,8.132509776714869e-08
1810,2.3401267590372754e-09,9.360507036149102e-09
1811,2.5070767684098882e-09,2.5070768572277302e-08
1812,0.0,1.600324850414836e-08
1813,2.8757416448144113e-09,8.052076339026826e-08
1814,0.0,8.496028414128887e-08
1815,0.0,1.1867783911156948e-07
1816,2.3176038865813098e-09,4.4034472068688046e-08
1817,0.0,1.2610674104962527e-07
1818,5.960588467246453e-09,5.6029534789558966e-08
1819,1.035105001712111e-09,8.073818946741085e-08
1820,1.0679833017945839e-08,2.8479554714522237e-08
1821,4.930744257336528e-09,7.198886464721e-08
1822,1.0025615893027862e-09,9.524335098376469e-08
1823,1.9765373782121287e-09,8.499110748516614e-08
1824,8.421112696055388e-10,5.136878655775945e-08
1825,1.7610886082763955e-09,1.0302368025350006e-07
1826,2.642395191543301e-09,1.1802698907104059e-07
1827,1.8434546111834038e-09,7.834682236307344e-08
1828,1.8344602503717056e-09,5.595103758082587e-08
1829,8.57317605795771e-10,7.887322084343396e-08
1830,2.0873671680021744e-09,8.871310797076148e-08
1831,1.5591206103948707e-09,7.016042502527853e-08
1832,1.3529969367098715e-09,5.276687886635045e-08
1833,1.1583628500844156e-09,6.950177322551099e-08
1834,9.334530925997342e-10,7.000897994657862e-08
1835,1.5126175867408165e-09,6.352993864311429e-08
1836,1.3441500135158435e-09,8.938597773067158e-08
1837,2.7831562610103333e-09,8.488626690450474e-08
1838,3.1560809521380406e-09,6.56464820281144e-08
1839,6.9914751765765e-10,7.341049013120937e-08
1840,1.2739377330817092e-09,8.089504888175725e-08
1841,1.2841097074556274e-09,6.741576186186649e-08
1842,2.0124795163667386e-09,1.1001554867107188e-07
1843,3.544146642830981e-09,9.569195924541418e-08
1844,1.6465683816413446e-09,9.714753446132818e-08
1845,1.674068439427856e-09,5.747634901354104e-08
1846,5.854501328173001e-10,1.0655192284048098e-07
1847,2.1572894581822766e-09,1.6988654749638954e-07
1848,0.0,8.286578179195203e-08
1849,0.0,1.2820504480259842e-07
1850,6.788996032014438e-10,1.2355972955901962e-07
1851,1.9348316282474798e-09,1.289887734401418e-07
1852,4.557381805270211e-09,1.354193415181726e-07
1853,3.5831591027601917e-09,9.077336216023468e-08
1854,6.754363734984281e-09,7.741540031247496e-08
1855,2.653468555990912e-09,6.315255518529739e-08
1856,2.5885946164372342e-09,9.526028321715785e-08
1857,1.9526036343364694e-09,1.713409716330716e-07
1858,2.446837954472869e-09,1.1157581525367277e-07
1859,1.5276520048956854e-09,8.453007893649556e-08
1860,3.661747072225552e-09,1.1168328484245649e-07
1861,2.3579819208308095e-09,1.565699960792699e-07
1862,1.8071945051545413e-09,1.0526908056363027e-07
1863,3.4962345241140724e-09,1.0288918872447539e-07
1864,2.8768367688059016e-09,1.3185501757106977e-07
1865,3.765475597994339e-09,1.0966947172619257e-07
1866,9.731225825149181e-10,1.3429091438865726e-07
1867,9.7056229719783e-10,2.1061201493921544e-07
1868,2.9639244392143382e-09,3.250437146107288e-07
1869,4.8835191446272574e-09,2.2464188020876463e-07
1870,4.587239033071455e-09,2.2190768333985034e-07
1871,4.248470908407853e-09,4.960089654559852e-07
1872,1.2094678591978436e-09,4.5294572714738024e-07
1873,5.986004469882289e-10,6.530730729537026e-07
1874,0.0,6.183720415720018e-07
1875,1.716458086775674e-09,4.51428491032857e-07
1876,6.04601479992084e-10,4.6614775328635005e-07
1877,1.2369631985365004e-09,3.809846589319932e-07
1878,6.039088673581716e-10,4.052228632644983e-07
1879,5.498392741110081e-09,4.0993572270053846e-07
1880,6.417846254436199e-10,5.551436856876535e-07
1881,0.0,1.781475702955504e-06
1882,0.0,6.622108230658341e-07
1883,1.8958017378167824e-09,9.68754648056347e-07
1884,1.3203393933736152e-09,9.328197734248533e-07
1885,1.9336907075562237e-09,8.276196012957371e-07
1886,1.2906927748801422e-09,7.460204187736963e-07
1887,0.0,4.99462714742549e-07
1888,0.0,7.532649988206686e-07
1889,2.5060546970934183e-09,6.183689720273833e-07
1890,6.554386478008212e-10,4.25379681701088e-07
1891,5.0993759215245404e-09,4.213359545701678e-07
1892,1.8805537127519756e-09,4.663773154334194e-07
1893,4.310891532632866e-09,7.10065421571926e-07
1894,6.301539290376468e-10,8.318031632370548e-07
