year,plusieurs_DET os_NOUN
1800,1.0690159513160324e-07
1801,1.166779455274991e-07
1802,7.161088433349505e-08
1803,3.569120767821232e-07
1804,1.5572661382634578e-07
1805,2.64387618464923e-07
1806,2.132435161783519e-07
1807,1.9074599677537663e-07
1808,7.704651494577774e-08
1809,1.106924951699284e-07
1810,5.8503168531842675e-08
1811,3.7606150637969904e-08
1812,2.7205524855133945e-07
1813,2.2143210998137874e-07
1814,9.125363931161701e-08
1815,1.1598061178119679e-07
1816,1.9931393069327896e-07
1817,1.0431051578052575e-07
1818,1.3828565670337412e-07
1819,1.6665190827325205e-07
1820,9.018525659598708e-08
1821,6.804426611051184e-08
1822,1.5840473110984021e-07
1823,1.452754903041864e-07
1824,1.052639104770492e-07
1825,2.0956954926987237e-07
1826,1.109806011534431e-07
1827,9.217273300166084e-08
1828,1.797770985412228e-07
1829,1.6117570567075745e-07
1830,1.4194096564779102e-07
1831,6.860130952190957e-08
1832,1.867135736022263e-07
1833,2.2124731025030542e-07
1834,2.3803054460813655e-07
1835,2.38993578705049e-07
1836,1.9086929592404545e-07
1837,2.4491777494972666e-07
1838,1.3255540132206534e-07
1839,1.0137639083751537e-07
1840,1.1019561296787828e-07
1841,1.7913331129548737e-07
1842,7.64742233982929e-08
1843,1.0750578316454096e-07
1844,6.970472932188443e-08
1845,1.4117976654404174e-07
1846,1.0538102657164927e-07
1847,8.25163226636505e-08
1848,8.608387552788699e-08
1849,1.6423653459440857e-07
1850,9.91193420674108e-08
1851,1.4059777075914326e-07
1852,1.1979403313766568e-07
1853,8.420423647237385e-08
1854,5.819144277552368e-08
1855,1.2895857182115833e-07
1856,5.953767584498948e-08
1857,6.687667597482516e-08
1858,5.13835968773968e-08
1859,5.0412516827691434e-08
1860,9.65785771356309e-08
1861,1.1082515039007035e-07
1862,7.725756756560287e-08
1863,7.941446994452761e-08
1864,1.903507005351912e-07
1865,1.289675384263944e-07
1866,7.930949408319066e-08
1867,1.0870297373344329e-07
1868,1.299186855874268e-07
1869,1.416220563044135e-07
1870,1.0206606715357225e-07
1871,1.6675248293296363e-07
1872,1.1187577753091205e-07
1873,1.2331169330082048e-07
1874,9.917850940510675e-08
1875,7.724061656944059e-08
1876,8.948101903882844e-08
1877,9.400920486513087e-08
1878,1.3104823048948333e-07
1879,1.0813505557649705e-07
1880,7.95812948872765e-08
1881,8.785359373320034e-08
1882,1.0515508264141715e-07
1883,9.352621344049794e-08
1884,7.591951867169655e-08
1885,1.2504533275503604e-07
1886,8.324968203687888e-08
1887,9.532229860997887e-08
1888,8.686642472000017e-08
1889,7.392861567367959e-08
1890,7.537544410851638e-08
1891,5.4818291683744746e-08
1892,5.2655505733412156e-08
1893,8.313862354114576e-08
1894,4.222031479983457e-08
1895,4.092657901466623e-08
1896,6.427761523042363e-08
1897,7.632994858397524e-08
1898,7.186110617674046e-08
1899,4.753717242067523e-08
1900,4.152842469906659e-08
1901,4.918090135141995e-08
1902,1.9641134940684424e-08
1903,5.400220159934577e-08
1904,4.998401248457185e-08
1905,4.902721073563043e-08
1906,7.510509103525465e-08
1907,3.239991208658921e-08
1908,4.813161380567976e-08
1909,6.931239049379201e-08
1910,3.4202564336283103e-08
1911,5.320374063533251e-08
1912,3.5945006970905524e-08
1913,3.2878535061175995e-08
1914,4.888622839871459e-08
1915,9.188994365416647e-08
1916,2.6369908923129515e-08
1917,3.3995917192441993e-08
1918,5.3985966808056673e-08
1919,1.3811772170413406e-08
1920,4.467616587788825e-08
1921,2.9533714140939082e-08
1922,1.9920426197472807e-08
1923,2.653987030143412e-08
1924,3.9964035636330664e-08
1925,4.7292163962708855e-08
1926,2.452150482668003e-08
1927,3.121782932158368e-08
1928,1.8281665847830197e-08
1929,2.6736975300423182e-08
1930,1.995684684175103e-08
1931,2.8513391647777553e-08
1932,3.6166470818166374e-08
1933,4.473558146145251e-08
1934,5.2718952758823434e-08
1935,2.154291145473053e-08
1936,1.8187071404440758e-08
1937,1.6368453703563546e-08
1938,3.5006078036303734e-08
1939,3.364691103513451e-08
1940,2.5357828725702802e-08
1941,3.246652768851277e-08
1942,3.6410540360520827e-08
1943,1.4516175816936538e-08
1944,1.2852744646352221e-08
1945,2.178504132643866e-08
1946,3.480275978517966e-08
1947,2.8610091185043984e-08
1948,6.74057041294418e-08
1949,1.2762110479513922e-08
1950,2.0207187478860078e-08
1951,4.584402679697064e-08
1952,9.173979709231617e-08
1953,3.9863160883335524e-08
1954,2.5408594117592997e-08
1955,3.2849627018549654e-08
1956,3.8373023869553435e-08
1957,2.3854601849393475e-08
1958,5.046068363157019e-08
1959,1.9376869886400527e-08
1960,2.076250027460702e-08
1961,2.848745372929784e-08
1962,4.819886784135363e-08
1963,1.875155397623729e-08
1964,3.224503147825075e-08
1965,2.9549033997433582e-08
1966,3.101881862477285e-08
1967,1.972134211492005e-08
1968,1.7965663151597866e-08
1969,4.2238347264245135e-08
1970,2.2993625503620052e-08
1971,2.8261186280076345e-08
1972,2.0007572487656944e-08
1973,1.8193572093316845e-08
1974,2.0252057142400304e-08
1975,1.884788369821422e-08
1976,2.2854107717407146e-08
1977,1.5279633225340206e-08
1978,1.3663359665905261e-08
1979,1.2874341370761044e-08
1980,2.956278433163817e-08
1981,2.1506868064236073e-08
1982,1.5518755391852324e-08
1983,1.5156758292889094e-08
1984,1.6817123971168968e-08
1985,2.1054452403745927e-08
1986,1.3187867908825979e-08
1987,1.4054878705316298e-08
1988,1.739000632383636e-08
1989,2.030605150693532e-08
1990,1.6345952147389653e-08
1991,9.37834432335194e-09
1992,1.76318211142501e-08
1993,1.4401939640862338e-08
1994,1.2659824244476425e-08
1995,1.2471636501310002e-08
1996,2.348760630432878e-08
1997,1.198723642570343e-08
1998,1.2873949239988747e-08
1999,2.879226779217703e-08
2000,1.943933924941632e-08
2001,1.3581756164171566e-08
2002,1.9715496790695397e-08
2003,2.7918383160852045e-08
2004,1.629772783395822e-08
2005,2.2969123714133843e-08
2006,2.5530916936133963e-08
2007,2.9559148906344035e-08
2008,1.9584223354129904e-08
2009,2.3840961871357536e-08
2010,2.1257068549829228e-08
2011,3.4033350304607524e-08
2012,3.131912573728357e-08
2013,2.8449075761827203e-08
2014,2.4252986507988794e-08
2015,2.2165754787195624e-08
2016,2.278474076078396e-08
2017,2.7671724467381864e-08
2018,2.6847253253858838e-08
2019,2.627517448061667e-08
