year,mêmes_ADJ arts_NOUN,mêmes_ADJ barres_NOUN
1800,1.3519907327008696e-07,2.2009151834367913e-08
1801,1.9287579178239866e-07,2.1430643926123594e-08
1802,1.6112448975036386e-07,4.475680270843441e-09
1803,1.501761204281138e-07,1.950339223455444e-09
1804,1.5325475999361515e-07,0.0
1805,1.506725197941705e-07,2.55858996212055e-08
1806,1.671368039524168e-07,4.034336598124355e-08
1807,1.537355700520493e-07,0.0
1808,1.3823051858707913e-07,2.2660739951163578e-09
1809,7.002994495408643e-08,0.0
1810,1.4040760731859336e-07,0.0
1811,1.579458341893769e-07,1.7549536934780008e-08
1812,1.2535878113340004e-07,0.0
1813,5.1763349606659403e-08,6.614205716459765e-08
1814,6.922689443911167e-08,0.0
1815,1.0519171667056071e-07,0.0
1816,6.952811304472561e-08,4.6352077731626196e-09
1817,9.963989811012652e-08,2.490997452753163e-08
1818,1.0013788909191135e-07,1.7881765401739358e-08
1819,9.108924103884419e-08,6.210630232317271e-09
1820,8.06920743556816e-08,4.746592452420373e-09
1821,1.311577904061778e-07,7.88919063410276e-09
1822,1.31335568198665e-07,9.023054303725075e-09
1823,8.301457210535546e-08,1.9765373338032077e-08
1824,8.084268099395331e-08,5.052667617633233e-09
1825,1.0654586324321258e-07,2.8177417732422327e-08
1826,1.435701397767275e-07,1.5854372037438225e-08
1827,1.308852830561591e-07,5.530363722527909e-09
1828,5.961995697134626e-08,7.337841001486822e-09
1829,1.5603180258949578e-07,2.571952872898464e-09
1830,9.184415716845251e-08,3.1310507520032616e-09
1831,5.7687463472788636e-08,3.897801548191637e-08
1832,1.0282776508052649e-07,1.2176972319366541e-08
1833,8.224376557564028e-08,4.6334514003376626e-09
1834,4.947301235347368e-08,3.733812370398937e-09
1835,4.386591001548368e-08,4.5378527602224494e-09
1836,5.779845224651581e-08,3.36037508930076e-09
1837,4.6617870452791976e-08,1.1828414692161004e-08
1838,3.787297231383491e-08,8.2058102535143e-09
1839,3.495737610492711e-08,1.3283802502428443e-08
1840,3.184844388215424e-08,5.732719632334238e-09
1841,2.43980835534785e-08,1.2841097074556274e-09
1842,6.976596012009395e-08,4.024959032733477e-09
1843,7.560846171372759e-08,1.1813821920725331e-08
1844,6.421616660645668e-08,2.7442805805577564e-09
1845,6.305657507255091e-08,1.1160455892778032e-09
1846,7.083946940156238e-08,1.5807152919933287e-08
1847,8.143767615820252e-08,5.3932236454556914e-09
1848,2.011305433313737e-08,1.6090443422100975e-09
1849,1.8434713311421547e-08,9.217356655710773e-09
1850,1.425689166723032e-08,8.82569484161877e-09
1851,2.0638204034639784e-08,3.8696632564949596e-09
1852,2.7344290387532055e-08,5.859490670445666e-09
1853,3.4637203327747557e-08,1.1346670270029335e-08
1854,3.636965217879151e-08,2.182179059673217e-08
1855,3.449509122788186e-08,5.306937111981824e-10
1856,1.604928606679934e-08,6.73034605824796e-09
1857,2.8312753475034924e-08,1.513267733344037e-08
