year,six_DET ailes_NOUN,six_DET belles_ADJ
1800,5.0306631749208464e-08,4.7162465932615305e-08
1801,3.5717739876872656e-08,2.3811825400343878e-08
1802,4.2518962573012686e-08,1.3427040812530322e-08
1803,6.046051481689574e-08,1.9503391568420625e-08
1804,5.19088700912107e-08,4.2021465418429216e-08
1805,9.665784261869703e-08,2.842877711017877e-09
1806,8.645007376628655e-09,4.610670423232932e-08
1807,3.9857372513552036e-08,1.7081731584767113e-08
1808,8.611080914988634e-08,6.798221985349073e-09
1809,4.0662548883574345e-08,3.388545621874073e-08
1810,3.978215445954447e-08,1.6380887757350138e-08
1811,1.3287507272252697e-07,7.521230305229665e-09
1812,3.7340914360584065e-08,5.3344164641089264e-09
1813,3.163315653864629e-08,1.7254449646841863e-08
1814,1.2586708564299443e-08,4.72001566720337e-08
1815,1.780167533382837e-07,0.0
1816,1.1356259221884102e-07,3.012885052555703e-08
1817,9.808302792180257e-08,2.9580593974287694e-08
1818,6.556647713651387e-08,9.536941902865692e-09
1819,4.554462107453361e-08,4.140420095666286e-08
1820,3.0852850052554004e-08,3.5599443393152796e-09
1821,2.2681422962023134e-08,1.2819934447350079e-08
1822,6.015369535816717e-08,8.02049271442229e-09
1823,7.412015112784331e-08,1.1859224269272772e-08
1824,4.547400767052068e-08,2.5263338088166165e-09
1825,4.490776106536032e-08,7.044354433105582e-09
1826,4.492072036565986e-08,1.4973573381205085e-08
1827,4.3321183085254233e-08,1.3825909306319772e-08
1828,4.219258542548232e-08,1.4675682002973645e-08
1829,5.3153691226270894e-08,2.914879893012312e-08
1830,7.827626546941246e-08,1.461157062010443e-08
1831,6.080570358335535e-08,1.2472964883158966e-08
1832,1.1635773511375902e-07,1.352996914505411e-08
1833,6.023486887052343e-08,1.7375443306377747e-08
1834,4.6672655740209734e-08,3.267085690872307e-08
1835,6.655517381659593e-08,1.5126175867408165e-08
1836,8.400937401287223e-08,2.8899225401612938e-08
1837,4.453050106434375e-08,1.18284144701164e-08
1838,5.680945891484157e-08,2.840472923537618e-08
1839,4.6842884238174065e-08,1.3283802946517653e-08
1840,3.885510002632486e-08,2.5478755105723394e-08
1841,5.714288064950779e-08,1.733548105065097e-08
1842,9.794066979651461e-08,1.7441490030023488e-08
1843,1.0041748876865597e-07,1.7720733325177207e-08
1844,1.201994876964818e-07,1.5367972006075092e-08
1845,1.065823534429633e-07,2.0646843568172812e-08
1846,5.620321119614857e-08,2.2832555623963913e-08
1847,6.14827504463733e-08,3.5595276060007564e-08
1848,8.849743998728954e-08,1.0458788279876785e-08
1849,5.027649052635752e-08,1.256912263158938e-08
1850,1.1201843364005981e-07,1.425689166723032e-08
