year,les_DET arrières_NOUN,les_DET barrières_NOUN
1800,6.917161821107243e-08,1.9022194805984327e-06
1801,4.048010393553625e-08,2.416900329649252e-06
1802,4.0281122437590966e-08,2.3765861953961576e-06
1803,8.581492494386112e-08,2.2350887576294554e-06
1804,4.2021466750696845e-08,1.7080489982390645e-06
1805,6.538618513296512e-08,2.0298147731523386e-06
1806,5.763338428721454e-08,2.158370122629094e-06
1807,6.547996633798903e-08,1.8533678058929581e-06
1808,6.345007363961486e-08,1.7426108946949626e-06
1809,4.743964066022954e-08,1.9743926884530083e-06
1810,6.552355102940055e-08,1.5047015509139783e-06
1811,5.515568801683912e-08,1.2359888614810188e-06
1812,1.0402112016194565e-07,1.8990522647754915e-06
1813,1.0640243885973177e-07,1.7369479508033692e-06
1814,1.888006266881348e-07,2.6337687586419634e-06
1815,7.012781289006398e-08,3.128779340499932e-06
1816,9.733936323641501e-08,2.3315094423992377e-06
1817,1.0898113522728181e-07,2.3944712523871203e-06
1818,1.323250695683953e-07,2.3413192522525605e-06
1819,3.622867394970086e-08,2.212019424518985e-06
1820,4.034603762193001e-08,2.7174240813110373e-06
1821,2.2681422962023134e-08,2.6635879706304877e-06
1822,6.015369535816717e-08,2.007128244940759e-06
1823,4.34838209883992e-08,1.9893848275387427e-06
1824,5.642145417539268e-08,3.3356027984154935e-06
1825,6.516027806213742e-08,2.512193006509733e-06
1826,4.844391454650321e-08,1.9148558010328998e-06
1827,3.871254694587378e-08,2.0831035953960964e-06
1828,1.6510142586412258e-08,2.6040163589868826e-06
1829,2.743416338546467e-08,1.8595218591599405e-06
1830,3.026682549034376e-08,1.8681935571862596e-06
1831,9.35472388441383e-09,2.3184123989494765e-06
1832,5.141388381701972e-08,2.080909354162941e-06
1833,5.6759779543114064e-08,1.990067417523278e-06
1834,2.893704542650255e-08,2.649139901222952e-06
1835,2.2689263801112247e-08,2.3785912475204896e-06
1836,2.35226247369269e-08,2.4026681302302677e-06
1837,3.478945309609571e-08,2.1694703065122667e-06
1838,3.850418650586107e-08,2.1896889990102864e-06
1839,1.8876982199600434e-08,2.045705656428254e-06
1840,1.5924221219432155e-08,2.5580670666158767e-06
1841,2.760835782211757e-08,2.056501642755393e-06
1842,1.609983657502312e-08,2.7007474159290723e-06
1843,1.358589518662967e-08,2.163701481094904e-06
1844,3.7322215762358724e-08,2.3694118169714784e-06
1845,4.352577964716886e-08,2.825827436936379e-06
1846,2.4003455445509303e-08,2.502213860111624e-06
1847,2.2651538422735484e-08,2.7025442932426813e-06
1848,3.298541073615269e-08,2.637223715851178e-06
1849,1.256912218750017e-08,2.2624420807915158e-06
1850,1.3577992064028876e-08,2.3720752722056204e-06
1851,1.5478653025979838e-08,2.524310346530001e-06
1852,3.190167108257924e-08,2.3340305688179797e-06
1853,2.9859658745579054e-08,2.2675425555007678e-06
1854,8.832629572186335e-09,2.2169899978052854e-06
1855,2.0166361025530932e-08,2.100485687606124e-06
1856,9.836659209394583e-09,2.1340374871670065e-06
1857,1.3668225773422193e-08,2.245494101771328e-06
1858,1.5170396494568195e-08,2.3298792655168654e-06
1859,1.6804172275897145e-08,2.657605350009362e-06
1860,3.524431591017674e-08,2.820918524548688e-06
1861,1.5562680255598593e-08,2.369771692656286e-06
1862,2.078273733663316e-08,2.4528147548608104e-06
1863,1.8480097452311384e-08,2.5917088635196706e-06
1864,4.6029387856805215e-08,2.3676365614733186e-06
1865,2.3534221682552925e-08,2.6170055491547828e-06
1866,1.8489328568183083e-08,2.196824141265097e-06
1867,1.844068364675877e-08,2.571504779780298e-06
