year,trois_DET ailes_NOUN,trois_DET belles_ADJ
1800,2.829747991484055e-08,1.9808236828566805e-07
1801,4.524246932646747e-08,1.4763332467637724e-07
1802,1.2979472785445978e-07,1.8350289110458107e-07
1803,3.21805970315836e-07,1.579774746574003e-07
1804,8.898663206302615e-08,1.9033252840472414e-07
1805,1.2224374312808095e-07,1.0802935390685775e-07
1806,2.1036184705280903e-07,1.5561013455567263e-07
1807,2.8469551160981155e-09,9.964342595480957e-08
1808,6.798222074166915e-08,2.039466551195801e-07
1809,1.8072244145628247e-08,2.1460789612071096e-07
1810,3.042164919975221e-08,1.0296557917399696e-07
1811,1.1281845502253418e-07,1.027901510575191e-07
1812,1.8670457180292033e-08,2.0270781853071185e-07
1813,0.0,1.0352670187785407e-07
1814,2.5173417128598885e-08,1.3845379953636439e-07
1815,7.821948599939788e-08,9.170560133497929e-08
1816,1.0892738089296472e-07,1.0429217844887262e-07
1817,7.628679554727569e-08,1.2299299889662052e-07
1818,6.556647491606782e-08,1.2040389130163476e-07
1819,1.1386155307491208e-07,1.1489665752151268e-07
1820,5.933240565525466e-09,1.4358441458028892e-07
1821,5.0293590514449704e-08,1.4200543718700942e-07
1822,3.8097340393505874e-08,1.4336630727029842e-07
1823,2.7671523739059012e-08,1.1661570464838178e-07
1824,3.789500624407083e-08,1.3979047253087629e-07
1825,4.754939197937347e-08,1.761088581631043e-07
1826,1.6735169472426037e-08,9.864942795978493e-08
1827,1.2904182500328432e-07,9.217273344575005e-08
1828,1.7885987801946612e-07,8.897132391938456e-08
1829,8.573175946935407e-09,1.8003670065880328e-07
1830,3.757260813586072e-08,1.3985360713952844e-07
1831,2.494593065449635e-08,7.951514957582617e-08
1832,2.841293600397421e-08,1.0012177398266431e-07
1833,2.3167256557599103e-08,1.4942880532942127e-07
1834,1.9602515166639023e-08,1.1761509277619098e-07
1835,2.4958190181223472e-08,1.3386665642656226e-07
1836,3.76361994902652e-08,1.2567802309959575e-07
1837,2.5048406460115302e-08,1.4681149984596686e-07
1838,2.8404729457420785e-08,1.6348499976004405e-07
1839,4.4046294167543465e-08,1.1535933897022232e-07
1840,2.8663598772293852e-08,1.4777677481703222e-07
1841,4.8154113585496816e-08,1.5088288796150096e-07
1842,1.2074877542289641e-08,1.0531975913607994e-07
1843,2.4218335115122613e-08,1.3704033552386363e-07
1844,2.5796237201891614e-08,1.5148429000078067e-07
1845,4.631589334280761e-08,1.205329258624488e-07
1846,2.751615646445771e-08,9.952652568756548e-08
1847,1.9954927488186058e-08,8.521293537455676e-08
1848,2.976732055293141e-08,7.401603796530765e-08
1849,3.6869426622843093e-08,1.5837093614301523e-07
1850,2.4440385715251978e-08,1.3034871759742828e-07
1851,2.96674187438839e-08,1.7864945078827077e-07
1852,5.4688582773465555e-08,1.087261072285628e-07
1853,5.01642281047765e-08,1.4929829328380606e-07
1854,2.6497888327980945e-08,1.3872424364791414e-07
1855,2.600399184871094e-08,1.5708534206737568e-07
1856,4.400610875698874e-08,1.2787657510671124e-07
1857,4.3445432140742923e-08,1.3131259013476893e-07
1858,3.670256892851498e-08,1.1744822181469772e-07
1859,4.1246604132183506e-08,1.7771685367762302e-07
1860,2.0139609091529564e-08,1.638631879075092e-07
1861,3.536972875695099e-08,1.405357132888696e-07
1862,3.614389165740306e-08,1.7168348342977424e-07
1863,2.447364266799923e-08,9.190102012723855e-08
1864,3.2604148714199255e-08,9.157930325187635e-08
1865,3.0594488331647796e-08,1.393225952384114e-07
1866,2.8220554781910323e-08,1.2796562565142722e-07
1867,3.34843974769683e-08,1.703336884872897e-07
1868,2.420538258718352e-08,1.1509906627793498e-07
1869,4.3463320054115684e-08,1.4552886540286636e-07
1870,4.472558146062511e-08,1.1353416340398326e-07
1871,2.6552942955504477e-08,1.5825554200432634e-07
1872,2.2979889990892843e-08,1.517882175505747e-07
1873,3.052862140862089e-08,1.44861313167155e-07
1874,4.899179595341252e-08,1.1949217970652626e-07
1875,3.318485752856759e-08,1.5047616397367847e-07
1876,6.106474947920049e-08,1.5477798220864258e-07
1877,4.3293710283442977e-08,1.2617024758299067e-07
1878,2.4760263173106978e-08,1.1051531934036518e-07
1879,2.077170657699412e-08,1.2646302760543904e-07
1880,2.9522093214495726e-08,1.5595366864573634e-07
1881,2.5798277292210514e-08,1.3735839798911798e-07
1882,2.994923242738423e-08,1.0914831349850829e-07
1883,3.5388296737437486e-08,1.624070122829835e-07
1884,5.41339142401398e-08,1.5844073253390434e-07
1885,4.769770578505472e-08,1.295572804593803e-07
1886,6.195325141788999e-08,1.7747025538028538e-07
1887,3.852065688647599e-08,1.384132009007999e-07
1888,5.706553252160518e-08,1.3061666592761867e-07
1889,4.1976415676714396e-08,1.190375948922906e-07
1890,3.9326319978272295e-08,1.2322246334406373e-07
1891,3.952016447428264e-08,1.2174760488647962e-07
1892,5.578975859066304e-08,1.3038506008200557e-07
1893,6.343169189904074e-08,1.1208317918232069e-07
1894,5.797416080532969e-08,1.1594832360906082e-07
1895,4.2130302579934664e-08,1.306039303372586e-07
1896,9.081424895418522e-08,1.2796552351090895e-07
1897,6.176316347250577e-08,1.2993571196773246e-07
1898,6.054439438685222e-08,8.657282979385172e-08
1899,5.140648084989152e-08,9.783813759156601e-08
1900,5.8139793979172794e-08,9.343895346347608e-08
1901,9.277306434185562e-08,1.3412973576265586e-07
1902,7.26722014232628e-08,9.722361848929495e-08
1903,2.6461078661554893e-08,1.1718478276634414e-07
1904,6.180818878931404e-08,9.83556400768748e-08
1905,3.973784501454247e-08,1.1921353504362742e-07
1906,4.629765992802959e-08,1.1059996563034247e-07
1907,4.731416031189539e-08,1.1828539570046814e-07
1908,4.2237945585554826e-08,1.247492811273787e-07
1909,4.125737590454648e-08,9.901770425813083e-08
1910,3.794347047669788e-08,1.2772520285864175e-07
1911,3.724261965487585e-08,1.0161914421047413e-07
1912,3.438217888174222e-08,9.376958143292313e-08
1913,5.886318477088537e-08,1.1401427979507162e-07
1914,2.343860217024485e-08,1.0446919951334621e-07
1915,2.0027295377644805e-08,6.832841759063513e-08
1916,1.538244731591476e-08,3.515987700986045e-08
1917,8.773139548168274e-09,6.360526327853222e-08
1918,4.2499593178035866e-08,6.432370547315713e-08
1919,1.9336480860943084e-08,1.0312789910926767e-07
1920,3.9375606775138294e-08,1.2569904939141452e-07
1921,1.9689142760626055e-08,7.042654859290565e-08
1922,3.9103056792555435e-08,1.1804696953277016e-07
1923,4.0340601970001444e-08,1.0934426253328411e-07
1924,3.9964035636330664e-08,9.024136771174085e-08
1925,1.5397448649423495e-08,8.688560448888438e-08
1926,4.458455293843144e-08,8.136681017845149e-08
1927,3.9022287179335535e-08,1.1706686464663107e-07
1928,3.085031208271971e-08,1.1654562381835376e-07
1929,2.785101571589621e-08,1.247725531783317e-07
