year,vos_DET ailes_NOUN,vos_DET belles_NOUN
1800,2.7354229814591235e-07,3.772997558826319e-08
1801,1.4763331535050384e-07,8.334138823506976e-08
1802,1.2531904758361634e-07,2.0140561218795483e-08
1803,6.436119548425268e-08,2.9255089017965474e-08
1804,1.3100809592714313e-07,5.438072037122765e-08
1805,1.3645812657614442e-07,5.685755510853596e-08
1806,1.2967511509032192e-07,3.458002950651462e-08
1807,1.7366426163789583e-07,2.8469550272802735e-08
1808,2.039466551195801e-07,4.305540457494317e-08
1809,1.3102376783535874e-07,4.969867006821005e-08
1810,3.065566054338831e-07,3.978215445954447e-08
1811,1.6045291317823285e-07,3.760615285841595e-08
1812,1.0668833283489221e-07,2.6672083208723052e-08
1813,1.9555042740648787e-07,2.8757416004054903e-08
1814,1.321604372606089e-07,1.5733386149463513e-08
1815,6.74305908887618e-08,3.236668177919455e-08
1816,8.806894413737609e-08,4.4034472068688046e-08
1817,8.749628364057571e-07,4.981994905506326e-08
1818,2.932609675099229e-07,6.079800130009971e-08
1819,2.3393373282942775e-07,4.34744116262209e-08
1820,3.9040722299432673e-07,5.22125169766241e-08
1821,1.9653946310427273e-06,6.7058117281249e-08
1822,4.351117297574092e-07,6.717162648328667e-08
1823,3.24152125585897e-07,7.708495530778237e-08
1824,5.162141860637348e-07,4.378978601948802e-08
1825,2.896990736189764e-07,3.434122675116669e-08
1826,1.4885493726524146e-07,2.1139161532346407e-08
1827,3.94499295452988e-07,2.3964910056406552e-08
1828,5.824411459798284e-07,2.8434133270138773e-08
1829,2.323330699494086e-07,2.6576845613135447e-08
1830,4.665265578296385e-07,1.1480519646056564e-08
1831,7.842376521516314e-07,2.0268567268999504e-08
1832,1.830604817509851e-06,2.841293600397421e-08
1833,6.68375378154451e-07,4.170106393530659e-08
1834,5.031312415582079e-07,2.9870498963191494e-08
1835,2.843721063072735e-07,4.386591001548368e-08
1836,2.6748586134939245e-07,2.083432448785061e-08
1837,4.404345079755956e-07,1.8090515752078318e-08
1838,3.080334889382641e-07,2.398621568033832e-08
1839,3.9851409117108716e-07,3.2859932108664225e-08
1840,3.140256609190928e-07,2.3567847395877806e-08
1841,1.6243987177588792e-07,3.146068650039524e-08
1842,1.636816620020909e-07,2.4820581145945653e-08
1843,2.551785512339144e-07,9.451057714215949e-09
1844,1.7234082794193029e-07,2.195424464446205e-08
1845,1.4117976832039858e-07,1.2276501593078137e-08
1846,3.594663751105287e-07,2.0490753982471688e-08
1847,9.923531507638472e-08,2.0494249852731627e-08
1848,1.3033259449457546e-07,7.24069959545659e-09
1849,1.1898769258777975e-07,1.5920887719289567e-08
1850,1.7379829841956962e-07,1.6972489191857676e-08
1851,1.6510563072280604e-07,1.7413483988093503e-08
1852,1.4323199737376058e-07,2.6042181744401205e-08
1853,2.4126604980523325e-07,1.4332636411040767e-08
1854,2.3692230399774417e-07,1.922395914677466e-08
1855,3.444202185676204e-07,2.2819829581521844e-08
1856,2.158887960623801e-07,1.501384794266869e-08
1857,1.9867742162560376e-07,2.0990489346672803e-08
1858,2.1434300911948867e-07,2.0064071293290908e-08
1859,1.7109702699080742e-07,2.7497735644033128e-08
1860,2.3618269562319938e-07,1.4189270203246451e-08
1861,3.4992449848836316e-07,9.903524222920623e-09
1862,2.0737556427619097e-07,3.659569006164709e-08
1863,1.8480097541129226e-07,2.1976331865403154e-08
1864,1.7500757509836262e-07,1.8699438775193755e-08
1865,1.7321187251173598e-07,8.943004559114343e-09
1866,1.3039842272632995e-07,2.5301186923343266e-08
1867,2.1255314130996794e-07,1.067618526917613e-08
1868,1.2744875466097483e-07,9.385760613156435e-09
1869,4.0093693209897197e-07,2.0999133099053324e-08
1870,3.016109531017719e-07,9.17447806614291e-09
