year,leurs_DET heures_NOUN
1800,1.2891074341325748e-07
1801,8.572257526040516e-08
1802,5.594600338554301e-08
1803,1.09218993626925e-07
1804,1.359518086996303e-07
1805,1.2224374756897305e-07
1806,7.492339726411501e-08
1807,1.9359294345377975e-07
1808,1.1783584952240744e-07
1809,1.423189246452239e-07
1810,1.5678848797051614e-07
1811,1.3287506384074277e-07
1812,1.2535878601838135e-07
1813,9.777521592368998e-08
1814,1.0069366851439554e-07
1815,9.979726911524267e-08
1816,7.648092648082638e-08
1817,8.562803732736768e-08
1818,1.0252212234718172e-07
1819,1.345636526650651e-07
1820,1.3053128622431132e-07
1821,9.762873609542311e-08
1822,1.59407292699143e-07
1823,1.8777104848766157e-07
1824,8.336901657912676e-08
1825,1.2063457122124532e-07
1826,1.2419258199614092e-07
1827,9.401618683568813e-08
1828,8.438517318243299e-08
1829,1.0459274601970492e-07
1830,1.0854309251406846e-07
1831,1.8397622625343502e-07
1832,9.200379180729357e-08
1833,2.328309358645697e-07
1834,1.6522120249717887e-07
1835,1.7697626475410289e-07
1836,1.962458999749117e-07
1837,2.0873672612609084e-07
1838,1.8052782357891317e-07
1839,1.6989284734592047e-07
1840,1.7835127719134647e-07
1841,2.093098752098399e-07
1842,1.5496091609890073e-07
1843,2.2446262226694103e-07
1844,1.860622252380928e-07
1845,1.7466113871877909e-07
1846,1.7270779140154957e-07
1847,1.6449332385093385e-07
1848,2.0756671925692416e-07
1849,1.9440242171597788e-07
1850,2.0366987740771947e-07
1851,1.2640899682558882e-07
1852,1.8034210880202295e-07
1853,2.0065691574977507e-07
1854,1.7821129194572904e-07
1855,1.7406753727300384e-07
1856,2.034635382397454e-07
1857,2.0941674128138743e-07
1858,2.0113008125655085e-07
1859,2.3576762764321302e-07
1860,2.114658939067482e-07
1861,2.381561667874621e-07
1862,2.2544750843955796e-07
1863,2.3374826102484647e-07
1864,2.579563611604385e-07
1865,2.3722496145239802e-07
1866,2.194391453547162e-07
1867,2.513756260924538e-07
1868,2.2278831846023195e-07
1869,2.3587397668389798e-07
1870,1.7546189567951842e-07
1871,1.4126166081318559e-07
1872,2.0137639766826254e-07
1873,2.2986257253165832e-07
1874,2.837939360733621e-07
1875,1.859496260858684e-07
1876,2.2309794722730203e-07
1877,2.473926326018727e-07
1878,2.004977452951806e-07
1879,2.3948555205599575e-07
1880,1.918936050060438e-07
1881,2.572855430926779e-07
1882,3.21455100760204e-07
1883,2.388710070855282e-07
1884,2.356805763881198e-07
1885,2.3010919636412552e-07
1886,2.2780727548799007e-07
1887,2.7617352182929267e-07
1888,2.5616084675661455e-07
1889,2.637622570911269e-07
1890,2.6872985370296476e-07
1891,2.56881076743376e-07
1892,2.733071322591485e-07
1893,3.4548716626447984e-07
1894,2.3630772494342978e-07
1895,3.177828538092342e-07
1896,2.6241780315405805e-07
1897,2.8842231669656826e-07
1898,2.5349430055054967e-07
1899,2.8135373320026247e-07
1900,2.8550792030568317e-07
1901,3.286178409389606e-07
1902,2.700656214216224e-07
1903,2.700110239839404e-07
1904,2.8969229148856357e-07
1905,3.106777046735232e-07
1906,3.1945385658982417e-07
1907,3.20913437490411e-07
1908,2.8436942667298126e-07
1909,2.788998670899545e-07
1910,2.87515299901564e-07
1911,3.154981761399611e-07
1912,3.3340296934358804e-07
1913,3.505276227055987e-07
1914,3.2211336975507265e-07
1915,2.921629013163951e-07
1916,3.494012950078229e-07
1917,4.233039817558293e-07
1918,3.56077671348487e-07
1919,3.7752177661776187e-07
1920,3.725538122445471e-07
1921,2.817061943716226e-07
1922,3.2094018304063e-07
1923,3.577574489987967e-07
1924,3.326039104134537e-07
1925,3.409435231915836e-07
1926,2.708511581683837e-07
1927,2.597769386269988e-07
1928,2.81080624331409e-07
1929,2.907645959560057e-07
1930,3.298131447948549e-07
1931,2.69166412714128e-07
1932,2.476855401889466e-07
1933,2.672664274339098e-07
1934,2.8036897781191783e-07
1935,2.956166138545768e-07
1936,3.807160493529693e-07
1937,2.996686183642794e-07
1938,3.07275575095467e-07
1939,2.67645877904954e-07
1940,2.6625721116779744e-07
1941,2.626837205532695e-07
1942,3.0342116996706636e-07
1943,2.670976471108588e-07
1944,3.3738455584853e-07
1945,3.7905969341167634e-07
1946,2.603246622712163e-07
1947,3.0398220984828583e-07
1948,3.1963349567121213e-07
1949,3.2297956753524204e-07
1950,2.5418514448816154e-07
1951,2.4841066403880063e-07
1952,2.2038640046240232e-07
1953,2.4779803364793906e-07
1954,2.7363101207100726e-07
1955,2.8438391108664973e-07
1956,2.53785207071644e-07
1957,2.376625098943208e-07
1958,2.3410449201399786e-07
1959,2.1469571942489551e-07
1960,2.733729260739892e-07
1961,2.9321231798107306e-07
1962,2.479705025759671e-07
1963,2.5540910630894587e-07
1964,2.49442701605318e-07
1965,2.5061959973982084e-07
1966,2.431653793877331e-07
1967,2.479958771672841e-07
1968,2.6679009734742465e-07
1969,2.302671227027986e-07
1970,2.5338973941302356e-07
1971,2.810703362277067e-07
1972,2.7189779805425474e-07
1973,2.6022322352492466e-07
1974,2.8352881797921725e-07
1975,2.6786841100800984e-07
1976,2.7710606514963487e-07
1977,2.3859733994102683e-07
