year,toutes_DET ailes_NOUN,toutes_DET belles_NOUN
1800,0.0,2.2009151834367913e-08
1801,0.0,2.3811825400343878e-08
1802,0.0,4.923248297927785e-08
1803,0.0,1.1702034896643454e-08
1804,0.0,2.4718509905596875e-08
1805,0.0,8.528632911009026e-09
1806,0.0,2.881669214360727e-08
1807,0.0,8.540865792383556e-09
1808,0.0,1.8128591960930862e-08
1809,0.0,2.9367397402779716e-08
1810,0.0,2.106114038724627e-08
1811,0.0,2.5070768572277302e-08
1812,0.0,4.800974906515876e-08
1813,0.0,3.738464116054274e-08
1814,0.0,9.440030979135372e-09
1815,0.0,2.1577788444915313e-08
1816,0.0,9.270415546325239e-09
1817,0.0,3.269434079022915e-08
1818,0.0,2.026600220972341e-08
1819,0.0,3.622867339458935e-08
1820,0.0,3.44127952800477e-08
1821,0.0,4.043210299897737e-08
1822,0.0,2.7069162911175226e-08
1823,0.0,1.7788837070042973e-08
1824,0.0,2.3579115548955087e-08
1825,0.0,9.68598712347557e-09
1826,0.0,1.4973572604048968e-08
1827,0.0,6.452091305675367e-09
1828,0.0,1.7427371545863934e-08
1829,0.0,4.886710219809132e-08
1830,0.0,1.8786303845885755e-08
1831,1.7150327380477393e-08,3.585977381703742e-08
1832,1.3529969367098715e-09,5.0060886991332154e-08
1833,0.0,3.475088417026484e-08
1834,7.467624740797874e-09,4.760610661236342e-08
1835,0.0,4.689114518896531e-08
1836,0.0,2.4866774861465046e-08
1837,0.0,2.1569461661208322e-08
1838,6.312161904276081e-10,4.734121294980298e-08
1839,4.194885327990505e-09,3.5656524954852387e-08
1840,0.0,2.6752692505738196e-08
1841,0.0,2.8250413119934592e-08
1842,7.379091560011375e-09,3.085801836277824e-08
1843,3.5441467538532834e-09,3.5441465762175994e-08
1844,1.097712254427563e-09,1.701453911095996e-08
1845,3.9061593959388574e-09,2.28789339695723e-08
1846,1.7563503984519002e-09,2.1661655580373917e-08
1847,1.6179670936367074e-09,1.6179670936367074e-08
1848,0.0,5.14894179515224e-08
1849,1.005529792763582e-08,1.5920887719289567e-08
1850,6.788996032014438e-09,1.5614691761811628e-08
1851,6.449438760824933e-10,1.5478653025979838e-08
1852,1.3021090872200602e-09,3.5156944022674e-08
1853,2.388772735173461e-09,1.3138250265498641e-08
1854,2.0782657816909023e-09,1.7665259310906123e-08
1855,5.306937111981824e-09,3.661786607267459e-08
1856,2.0708756931497874e-09,2.174419444500586e-08
1857,1.4156376515472857e-08,2.0502338549110988e-08
1858,5.872411001917044e-09,2.9851423999360804e-08
1859,0.0,1.884104072757964e-08
1860,4.577183909670879e-10,3.753290656050012e-08
1861,2.8295783494058924e-09,3.30117455593637e-08
1862,4.066187830886747e-09,3.4336697041226216e-08
1863,1.4983863039219614e-09,3.146611105009356e-08
1864,3.356309563606885e-09,4.554991450689272e-08
1865,4.706844247692743e-09,1.694463946932956e-08
1866,1.4596839292835284e-09,2.1408696593283594e-08
1867,4.85281148598915e-09,2.8631587767335986e-08
1868,0.0,1.3831647383000245e-08
1869,5.860222973552709e-09,3.271957771389111e-08
1870,2.8670243956696595e-09,2.064257520473234e-08
