year,énormes_ADJ barres_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,1.1502966579257645e-08
1814,2.8320094713762956e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,6.210630232317271e-09
1820,1.0679833017945839e-08
1821,4.930744257336528e-09
1822,1.0025615893027862e-09
1823,0.0
1824,0.0
1825,0.0
1826,4.403992281964975e-09
1827,1.2904182611350734e-08
1828,2.7516904310687096e-09
1829,4.286587973467704e-09
1830,7.305785310052215e-09
1831,0.0
1832,1.3529969367098715e-09
1833,1.2741991461950875e-08
1834,2.8003592777992026e-09
1835,1.8907719834260206e-08
1836,1.747394939854985e-08
1837,1.8090515752078318e-08
1838,9.468243078458727e-09
1839,1.0487212875887053e-08
1840,1.0828470564661075e-08
1841,2.6966304744746594e-08
1842,4.024959032733477e-09
1843,1.7720733769266417e-09
1844,9.330554107123135e-09
1845,1.1160455670733427e-08
1846,9.952652035849496e-09
1847,5.9325460100012606e-09
1848,8.84974404868899e-09
1849,2.8490010350878947e-08
1850,9.504594444820214e-09
1851,5.159551008659946e-09
1852,2.6042181744401205e-09
1853,1.6721408258035808e-08
1854,5.195664343204953e-09
1855,2.653468555990912e-09
1856,2.0708756931497874e-09
1857,7.322263684272912e-09
1858,8.31924928945682e-09
1859,8.147477359443656e-09
1860,5.492620580582752e-09
1861,7.073945429425521e-09
1862,5.873382225018986e-09
1863,2.4973103585068657e-09
1864,3.835782358407869e-09
1865,1.2237795665726026e-08
1866,1.5083399418358567e-08
1867,3.88224918879132e-09
1868,7.903798504571569e-09
1869,8.790334682373668e-09
1870,1.204150201772336e-08
1871,1.4869648623516696e-08
1872,3.0236697590169115e-09
1873,4.190203295451056e-09
1874,2.3898436563030145e-09
1875,6.293679799540541e-09
1876,6.04601479992084e-09
1877,6.80329748092845e-09
1878,3.6234530931267273e-09
1879,6.720257683667796e-09
1880,9.626769603698904e-09
1881,4.8807553554297556e-09
1882,6.655385131892899e-09
1883,5.687405213450347e-09
1884,3.9610181801208455e-09
1885,7.090199094506033e-09
1886,6.4534639854230136e-09
1887,6.528924623161458e-10
1888,3.1703073499755874e-09
1889,7.51816386923565e-09
1890,1.0487018364813139e-08
1891,1.2748440081367107e-09
1892,1.0656471260972467e-08
1893,6.158416554491453e-10
1894,2.520615716150587e-09
1895,2.4074457982692365e-09
1896,3.5382172747233653e-09
1897,6.409385022720926e-09
1898,7.921697076085366e-09
1899,1.1055156790007459e-09
1900,1.5573159428683425e-09
1901,2.794369402536745e-09
1902,3.928227076954727e-09
1903,5.940242076007962e-09
1904,7.524475265086039e-09
1905,9.28936660926638e-09
1906,2.0576738091193647e-09
1907,0.0
1908,1.964555629285769e-09
1909,4.950885035270858e-09
1910,1.068830135508847e-09
1911,1.5961122423746588e-09
1912,7.814131564032323e-09
1913,3.181793939432964e-09
1914,8.036092680185902e-09
1915,0.0
1916,4.394984820521586e-09
1917,4.386569774084137e-09
1918,0.0
1919,8.287063479883727e-09
1920,1.514446346106979e-09
1921,7.572747429129834e-10
1922,6.640141769764796e-09
1923,2.1231896241147297e-09
1924,1.289162443462999e-09
1925,3.299453377181294e-09
1926,2.229227691330493e-09
1927,4.4596899506643695e-09
1928,1.1426041224282812e-09
