year,trois_DET ans_NOUN,trois_DET bancs_NOUN
1800,1.93460442687865e-05,6.288328968651058e-09
1801,1.921852387454237e-05,1.904946067554647e-08
1802,1.812650532428961e-05,4.0281122437590966e-08
1803,1.9860304064422962e-05,6.0460517481431e-08
1804,1.925324747276136e-05,1.730295728918918e-08
1805,1.8291075008392e-05,1.9900143755080535e-08
1806,1.8307243692561315e-05,1.4408345627714425e-08
1807,2.1013375345546592e-05,3.701041606518629e-08
1808,2.1681795999484166e-05,4.985362789255987e-08
1809,2.4754456489972654e-05,2.936739762482432e-08
1810,1.842849906097399e-05,9.360507036149102e-09
1811,2.4130613496708975e-05,7.77193824852418e-08
1812,1.9804021121672122e-05,3.200649700829672e-08
1813,2.2189222022461763e-05,6.039057609541487e-08
1814,1.9811480115095037e-05,8.810695817373926e-08
1815,1.827638595841563e-05,9.710004889029733e-08
1816,1.7952158827938547e-05,3.0128852301913867e-08
1817,1.7735900939896965e-05,2.490997452753163e-08
1818,2.3205764250633365e-05,7.27191817873063e-08
1819,2.2830276066088118e-05,3.726378139390363e-08
1820,2.1085551111355016e-05,3.441279616822612e-08
1821,2.109963963903283e-05,2.070912508145284e-08
1822,1.938653258548584e-05,2.5064039732569654e-08
1823,1.908445744902565e-05,4.4472091786929013e-08
1824,1.858034329416114e-05,2.6105450245950124e-08
1825,2.2171224827616243e-05,6.692136622632461e-08
1826,2.0900465926843026e-05,6.34174881497529e-08
1827,2.194909291119984e-05,4.5164638917682964e-08
1828,1.975897180273023e-05,2.8434133270138773e-08
1829,2.0981134241537802e-05,4.800978620211893e-08
1830,1.92455246406098e-05,3.548524252217078e-08
1831,2.031845974670432e-05,3.274153215215847e-08
1832,2.134758483407495e-05,3.6530916958099624e-08
1833,2.0980268345738295e-05,7.066013063550258e-08
1834,2.182319985877257e-05,7.094243792415966e-08
1835,1.990907207982673e-05,3.100866052818674e-08
1836,2.112533366016578e-05,3.629205025390547e-08
1837,2.2794051346863853e-05,2.5048407792382932e-08
1838,2.111228877765825e-05,2.9035945203759184e-08
1839,2.050669559139351e-05,8.879173329923162e-08
1840,2.202765739411916e-05,5.223144583510475e-08
1841,2.1867745886083867e-05,3.788123681403022e-08
1842,2.238548006516794e-05,3.957876471005761e-08
