year,ces_DET arrières_NOUN,ces_DET barrières_NOUN
1800,6.288328968651058e-09,2.861189578595713e-07
1801,0.0,2.690736380372982e-07
1802,0.0,2.64065135979763e-07
1803,0.0,2.6719648005268937e-07
1804,2.4718509461507665e-09,2.9415027391621607e-07
1805,0.0,2.4733036241286754e-07
1806,0.0,2.362968647418029e-07
1807,1.1387820464392462e-08,1.9359294256560133e-07
1808,1.3596443970698147e-08,2.288734766153766e-07
1809,1.581321384946932e-08,2.1008983264181325e-07
1810,4.680253518074551e-09,2.644343268798366e-07
1811,0.0,1.5794584129480427e-07
1812,0.0,2.480503660251543e-07
1813,2.8757416448144113e-09,3.6234343525620716e-07
1814,9.440030979135372e-09,4.027746669521548e-07
1815,1.8880564667256294e-08,3.371529326834377e-07
1816,4.6352077731626196e-09,1.2746821909104256e-07
1817,0.0,2.740097082565285e-07
1818,2.5034472272977837e-08,2.8610825264507866e-07
1819,0.0,2.701624097767308e-07
1820,0.0,3.3107481556271523e-07
1821,0.0,2.021605034485674e-07
1822,0.0,3.288402155021686e-07
1823,2.9648061783404955e-09,1.5515819029587874e-07
1824,1.6842225392110777e-09,2.7031771310248587e-07
1825,2.1133063299316746e-08,2.1925553284063426e-07
1826,0.0,2.3076919219988667e-07
1827,2.7651818612639545e-09,2.2858837134265286e-07
1828,6.420610709767516e-09,1.9537001583191937e-07
1829,0.0,2.0747085915928665e-07
1830,3.1310507520032616e-09,2.8388193662465255e-07
1831,0.0,2.0580391968394451e-07
1832,1.0823975493678972e-08,2.0430254110692658e-07
1833,0.0,2.6410672404608704e-07
1834,5.600718555598405e-09,2.2589564352415437e-07
1835,0.0,3.312632514962388e-07
1836,1.3441500135158435e-09,2.755507484408781e-07
1837,6.957890930081589e-10,2.804030012626413e-07
1838,1.2624323808552163e-09,2.3291877049302911e-07
1839,1.3982950353153e-09,2.705700996585847e-07
1840,1.2739377330817092e-09,3.0510809345685175e-07
1841,8.988767952189392e-09,2.7929386181568816e-07
1842,0.0,3.6492963229051156e-07
1843,0.0,2.888479437856972e-07
