year,avons_VERB eu_VERB,avons_VERB bu_VERB
1800,5.4959996305115055e-06,1.2576657937302116e-08
1801,5.162403795111459e-06,1.2382149350287364e-07
1802,4.486869329412002e-06,9.398928568771225e-08
1803,4.0976628952194005e-06,1.3652374342143503e-08
1804,4.130462912144139e-06,6.426812149129546e-08
1805,5.134237198944902e-06,1.7057265822018053e-08
1806,5.795036486233585e-06,6.627838899930794e-08
1807,4.939467089570826e-06,1.9928686256776018e-08
1808,4.4551015889737755e-06,2.2660739951163578e-09
1809,4.897578037343919e-06,4.743964154840796e-08
1810,5.06169408254209e-06,4.44624070894406e-08
1811,5.011646408092929e-06,7.52123057168319e-08
1812,5.035689355281647e-06,8.00162425207418e-09
1813,5.521424100152217e-06,6.901780125190271e-08
1814,5.893726211070316e-06,1.2586708564299443e-08
1815,4.8711858653405216e-06,1.3486118000116676e-08
1816,5.242419774731388e-06,2.5493642752394408e-08
1817,5.352530934032984e-06,6.85024303948012e-08
1818,5.480165327753639e-06,3.814776761146277e-08
1819,5.4943375289440155e-06,5.693077653745604e-08
1820,5.676924502040492e-06,5.577246042776096e-08
1821,6.042133918526815e-06,1.1636556251914953e-07
1822,6.078530986997066e-06,8.421517350143404e-08
1823,5.089583737571957e-06,9.38855251320092e-08
1824,5.3575117817672435e-06,2.6105450245950124e-08
1825,5.124767994857393e-06,7.13240879690602e-08
1826,5.075160515843891e-06,3.170874407487645e-08
1827,5.169046744413208e-06,3.502563927781921e-08
1828,5.734522801503772e-06,4.677873732816806e-08
1829,5.930923180130776e-06,5.829759786024624e-08
1830,6.597123956453288e-06,6.992679857376061e-08
1831,6.5701342464308254e-06,8.419251429359065e-08
1832,7.41171743356972e-06,7.84738247716632e-08
1833,6.281801688601263e-06,7.52935847003755e-08
1834,6.373617907229345e-06,7.000897994657862e-08
1835,5.749459432990989e-06,1.1269001021219083e-07
1836,5.705916919396259e-06,6.72075017860152e-08
1837,6.503540589619661e-06,7.792837664055696e-08
1838,5.803401563753141e-06,4.7341213615936795e-08
1839,6.423068043659441e-06,4.334714631681891e-08
1840,6.347394901240477e-06,2.4841785517537573e-08
1841,6.819264399382519e-06,7.640452537316378e-08
1842,6.369497896230314e-06,4.293289634915709e-08
