year,deux_DET ailes_NOUN,deux_DET belles_ADJ
1800,1.0375742718338188e-06,3.521464151390319e-07
1801,1.5168133558063346e-06,3.5003385079335203e-07
1802,1.3292770120187924e-06,3.737193026154273e-07
1803,2.94891282237586e-06,4.1737260403351684e-07
1804,1.0628959479230815e-06,5.190886938066797e-07
1805,1.083136410784391e-06,4.5770330459049546e-07
1806,8.472107424495334e-07,4.091970025044134e-07
1807,6.491057717994408e-07,3.6156330907033407e-07
1808,8.860349289818714e-07,5.937113591869547e-07
1809,7.951787637239249e-07,5.918660122006258e-07
1810,6.552354747668687e-07,4.7036546879652974e-07
1811,6.117267048466601e-07,3.68540294282127e-07
1812,4.1341727730070943e-07,3.8407799252127006e-07
1813,4.428642150777762e-07,5.176334880729883e-07
1814,4.090680283397319e-07,5.632552202428087e-07
1815,5.93389177794279e-07,2.9130014489453515e-07
1816,1.9166584337426684e-06,2.7579487138496006e-07
1817,2.0986654121202264e-06,3.1448842074954797e-07
1818,7.987188901381614e-07,3.850540188921059e-07
1819,8.539616018765628e-07,3.923047868781282e-07
1820,4.4261975506998397e-07,3.856606358709769e-07
1821,6.123984395145499e-07,4.93074423957296e-07
1822,6.416394029429284e-07,2.9274796986555884e-07
1823,5.682544674812107e-07,4.2693207547017664e-07
1824,7.065313667453665e-07,3.317918313427981e-07
1825,8.012953003344592e-07,4.376305167141936e-07
1826,5.85730944635543e-07,4.571343801273997e-07
1827,5.530363971217866e-07,3.3090010731484654e-07
1828,6.438955555410075e-07,3.118582370120748e-07
1829,5.392527819836346e-07,4.0465391215604996e-07
1830,7.357969238341866e-07,4.393908028532678e-07
1831,4.6305881440389385e-07,3.913392845333874e-07
1832,7.130294026325146e-07,4.3566502405667507e-07
1833,5.710729098495904e-07,5.96556894549849e-07
1834,6.226132391873307e-07,4.209873569749334e-07
1835,9.363103075088475e-07,4.515163496421337e-07
1836,7.62805150600343e-07,4.193747962233374e-07
1837,6.582165070767587e-07,3.9868714551971607e-07
1838,6.791886129065006e-07,5.2075333556445e-07
1839,6.760756576795757e-07,3.7544222486474155e-07
1840,5.809155929625831e-07,3.6816801340933125e-07
1841,6.516856601024301e-07,4.3210290456840994e-07
1842,5.49406912853101e-07,3.4480481403420526e-07
1843,6.62755434532869e-07,3.343311707482144e-07
1844,5.334881301166661e-07,4.3140092742532943e-07
1845,6.182892455797173e-07,3.8224562359800984e-07
1846,6.264316283477456e-07,4.455275615100618e-07
1847,5.301538976709708e-07,3.2898663171465614e-07
1848,4.3766007173928756e-07,3.45944529911435e-07
1849,6.670014300880212e-07,4.4243311592140344e-07
1850,6.028628725118779e-07,4.2431224045458293e-07
1851,6.952494793210917e-07,3.959955279242422e-07
1852,8.17073445347205e-07,3.6979896833599923e-07
1853,6.891609523052011e-07,3.9713345501013464e-07
1854,4.733250253963206e-07,3.8915527866834054e-07
1855,6.920246065078572e-07,5.604125448144259e-07
