year,nos_DET eaux_NOUN,nos_DET beaux_ADJ
1800,1.6978488170948935e-07,4.0245305044095403e-07
1801,2.5240534040626983e-07,4.738553229799436e-07
1802,5.572221937200084e-07,4.609950678968744e-07
1803,5.558466682487051e-07,4.329753053866625e-07
1804,1.9033252907085796e-07,4.770672248355368e-07
1805,2.4448747981686836e-07,5.572040535639644e-07
1806,1.123850950079941e-07,4.783570730637621e-07
1807,1.7366425675291453e-07,4.669006514745888e-07
1808,2.1074488509853495e-07,4.2602190575280474e-07
1809,3.4789070069152217e-07,2.8463785639587513e-07
1810,6.248138508802015e-07,4.6334509917755895e-07
1811,2.0307322312618226e-07,2.0558029012462953e-07
1812,5.521120840512594e-07,7.948280718039769e-07
1813,2.5594099395398473e-07,5.693968603281974e-07
1814,1.5733385794192145e-07,4.877349546461573e-07
1815,2.0498898534171417e-07,2.454473477797592e-07
1816,2.0394914201915526e-07,1.9004351159424004e-07
1817,4.125714561098448e-07,5.044269926202105e-07
1818,9.393887872022333e-07,3.7194073243540515e-07
1819,2.950049129424315e-07,4.7407808168031806e-07
1820,2.7530235424677585e-07,4.426197577345192e-07
1821,4.4376696273218386e-07,4.3883623845886177e-07
1822,3.258325307342602e-07,3.689426506525706e-07
1823,2.2137218458340158e-07,3.547884599441886e-07
1824,2.206331588539001e-07,4.0926608591007607e-07
1825,1.6994505336320742e-07,4.622857687763826e-07
1826,1.8849086469430176e-07,3.364649909798345e-07
1827,5.382887540150705e-07,3.410390974067923e-07
1828,4.797113555277122e-07,3.4579574759163734e-07
1829,9.199018062844289e-07,3.9179415800560946e-07
1830,3.965997514843167e-07,4.153860579947377e-07
1831,3.710706950599274e-07,3.5547950005820894e-07
1832,3.0983630083802893e-07,4.22135048694372e-07
1833,1.646033624069787e-06,4.285942498682971e-07
1834,4.060521003879103e-07,2.977715460872332e-07
1835,4.250455489795968e-07,2.873973485861825e-07
1836,3.75017862097593e-07,3.064662017493447e-07
1837,4.049492597912874e-07,2.0734514372122703e-07
