year,des_DET eaux_NOUN,des_DET beaux_ADJ
1800,1.2161627836348998e-05,1.1507641630714716e-06
1801,1.0810568916497232e-05,8.334138996701768e-07
1802,1.0750584408469877e-05,1.1345848918153933e-06
1803,1.2193521158110343e-05,9.459145218215781e-07
1804,1.1934096463050992e-05,7.811049087536048e-07
1805,1.0493061409988513e-05,1.245180492048803e-06
1806,8.725694257805117e-06,1.0431642465391633e-06
1807,1.0451171831959982e-05,1.1017715877414958e-06
1808,9.442730757314166e-06,1.1239726802614314e-06
1809,1.143069447095968e-05,6.935223950677027e-07
1810,9.154575806746834e-06,9.477513387423642e-07
1811,1.0775416043884434e-05,7.721796677628845e-07
1812,1.0788856940280311e-05,1.1415651499646629e-06
1813,9.303023773554742e-06,1.0697758483502184e-06
1814,7.325464238761015e-06,1.34363117609837e-06
1815,9.127404766218206e-06,7.579197927043424e-07
1816,8.081484850208653e-06,5.724481511037993e-07
1817,7.968077664344264e-06,1.0477758252136482e-06
1818,8.528410489816451e-06,8.738222945225971e-07
1819,8.172153641794466e-06,1.0061220763191159e-06
1820,7.181594508409717e-06,1.039503743527348e-06
1821,6.7215905588113856e-06,1.0265809322618225e-06
1822,8.149823329972605e-06,1.0947972981512066e-06
1823,6.7113327801848754e-06,8.726412303872166e-07
1824,7.527632703840936e-06,9.111643777259815e-07
1825,7.487268231187727e-06,8.673361477917751e-07
1826,8.103345280119356e-06,6.96711587977461e-07
1827,7.783987014065019e-06,8.231025034888262e-07
1828,7.69739506267797e-06,6.56736794724111e-07
1829,8.64176151793572e-06,8.135943900811071e-07
1830,8.167867537878237e-06,7.869374201163737e-07
1831,8.966502967666656e-06,8.559572250987912e-07
1832,8.223515258976022e-06,9.430388914211107e-07
1833,9.679280147167901e-06,1.0622187573972042e-06
1834,8.237723786663764e-06,7.084909086074731e-07
1835,8.491078808958719e-06,6.042907116921015e-07
1836,6.8820482610476574e-06,8.427820787915152e-07
1837,7.70795137583491e-06,5.921165318056865e-07
1838,7.458450674846517e-06,8.24999549564609e-07
1839,6.9446324175714835e-06,7.69761435037708e-07
1840,7.442981001304361e-06,6.643585024335152e-07
1841,7.3110786047436704e-06,7.03050083927792e-07
1842,6.6042869377724855e-06,6.594224437606044e-07
1843,7.415536231292208e-06,6.509415726441148e-07
1844,7.332169111862186e-06,5.98802053275449e-07
1845,7.733079932847886e-06,5.965263412122113e-07
1846,7.986125666548105e-06,7.201036495985136e-07
1847,6.925438384541849e-06,5.749176388292199e-07
1848,6.943831074579521e-06,7.240699559929453e-07
1849,7.152668619170299e-06,6.460529178298202e-07
