year,sommes_VERB aux_ADP,sommes_VERB beaux_ADJ
1800,8.489244152087849e-08,9.432493897065797e-09
1801,2.1906879510424915e-07,4.7623651688866175e-09
1802,1.320325679898815e-07,0.0
1803,9.55666195068261e-08,1.755305234496518e-08
1804,9.640218934237055e-08,0.0
1805,9.665784261869703e-08,0.0
1806,1.7290014397985942e-07,2.881669125542885e-09
1807,1.0249038240317532e-07,0.0
1808,7.251436784372345e-08,4.5321479902327155e-09
1809,1.0165637576164954e-07,2.259030518203531e-09
1810,2.0125089861267043e-07,0.0
1811,9.526891631139733e-08,5.0141535368197765e-09
1812,1.1735716043403954e-07,0.0
1813,7.189353823378042e-08,2.8757416448144113e-09
1814,6.293354459785405e-08,6.293354282149721e-09
1815,5.3944472000466703e-08,0.0
1816,7.879853569647821e-08,0.0
1817,1.401186011662503e-07,1.556873407970727e-09
1818,1.1086694939876907e-07,4.768470951432846e-09
1819,9.729986771844779e-08,1.449147024601416e-08
1820,9.255855104584043e-08,1.4239777357261119e-08
1821,1.617284084431958e-07,1.97229765852569e-09
1822,1.2933044502005941e-07,1.5038423839541792e-08
1823,1.2056878517796576e-07,1.9765373782121287e-09
1824,8.168479581627253e-08,8.421112696055388e-09
1825,8.365170600654892e-08,3.522177216552791e-09
1826,1.2243097557984584e-07,5.284790383086602e-09
1827,1.2258972503786936e-07,9.217273055917019e-10
1828,9.355747465633613e-08,1.8344602503717056e-09
1829,1.6803424784939125e-07,0.0
1830,1.356788601469816e-07,0.0
1831,9.666548095310645e-08,9.354723218280014e-09
1832,1.1365174401589684e-07,1.3529969367098715e-09
1833,1.4247862623051333e-07,1.1583628500844156e-09
1834,1.0267984151823839e-07,0.0
1835,1.5882484660778573e-07,2.2689263801112247e-09
1836,1.2702217588866915e-07,4.704525213838906e-09
1837,1.0019363116953173e-07,1.3915781860163179e-09
1838,2.0072674544735492e-07,6.312161904276081e-09
1839,1.3353717065456294e-07,6.292327547896548e-09
1840,1.3949617994057917e-07,6.3696887764308485e-09
1841,1.3290535605392506e-07,1.2841097074556274e-09
1842,1.6569414640343894e-07,1.341653010911159e-09
1843,1.1577545677710077e-07,1.1223130869097986e-08
1844,9.330554462394502e-08,7.683985892015244e-09
1845,1.3392546804880112e-07,6.696273757711424e-09
1846,1.229445274475438e-07,5.854501328173001e-10
1847,1.4615636700909818e-07,5.393223645455691e-10
1848,1.456185145798372e-07,3.218088684420195e-09
1849,1.9105065973690216e-07,4.1897072478036534e-09
1850,1.0183494225657341e-07,6.788996032014438e-10
1851,1.1544495492898932e-07,6.449438760824933e-10
1852,9.830923630715915e-08,9.114764054629632e-09
1853,1.379516305632933e-07,1.7915795513800958e-09
1854,1.257350845662586e-07,1.558699391779328e-09
1855,1.209981661531856e-07,1.5920811335945473e-09
1856,1.3874867477170483e-07,3.6240324075009767e-09
1857,1.2643108959764504e-07,8.298565390418844e-09
1858,1.2332063192843634e-07,5.872411001917044e-09
1859,1.5480206627671578e-07,3.055304009791371e-09
1860,1.5928600305414875e-07,9.154367819341758e-10
1861,1.9476929935535736e-07,1.4147890858851042e-08
1862,1.7349067604754964e-07,1.3553959066214816e-09
1863,1.3335638016087614e-07,4.994620717013731e-09
1864,1.7117179140768712e-07,6.712618905169165e-09
1865,1.845082948648269e-07,2.3534221238463715e-09
1866,1.8829922510121833e-07,5.352174259343201e-09
1867,1.5917221674044413e-07,3.396968040192405e-09
1868,1.8129337320260674e-07,4.93987406535723e-10
1869,1.4357546262999676e-07,5.860222973552709e-09
1870,1.4449803131810768e-07,2.2936195165357276e-09
1871,1.8162212711558823e-07,0.0
1872,1.7355863235479774e-07,1.8142017887967654e-09
1873,1.568333232171426e-07,2.3944017879529156e-09
1874,1.5533983344084845e-07,2.9873046258899194e-09
1875,1.676407492823273e-07,2.8607636259891933e-09
1876,1.692884126214267e-07,6.04601479992084e-10
1877,1.6513459399902786e-07,1.8554447978047506e-09
1878,1.3044432023434638e-07,4.22736201599605e-09
1879,1.435691387996485e-07,5.498392852132383e-09
1880,1.3926725728197198e-07,3.8507077526617195e-09
1881,1.9313846166824078e-07,4.183504653809678e-09
1882,1.2778339453234366e-07,1.9966155395678697e-09
1883,1.4660867009297363e-07,2.5277355764075082e-09
1884,1.716441175858563e-07,6.601696966868076e-10
1885,1.6952022008354106e-07,1.2891271383708158e-09
1886,2.2458054615981382e-07,6.453463874400711e-10
1887,1.462479133351735e-07,5.223139698529167e-09
1888,1.4139570225779607e-07,6.340614699951175e-10
1889,1.7166475174690277e-07,6.265136742733546e-10
1890,1.5927159324746754e-07,1.9663159989136147e-09
1891,1.7146652453448041e-07,1.2748440081367107e-09
1892,1.7301094601407385e-07,4.387958441043338e-09
1893,1.656614045941751e-07,6.774258043407144e-09
1894,1.789637167348701e-07,3.150769645188234e-09
1895,2.0222545060732955e-07,6.018614495673091e-09
1896,1.515536496299319e-07,3.5382172747233653e-09
1897,1.928642205939468e-07,2.330685422435863e-09
1898,2.1728082799654658e-07,3.3950129374460403e-09
1899,1.6306356087625318e-07,3.8693048765026106e-09
1900,1.5002143527453882e-07,5.19105292084987e-09
1901,1.4977820228523342e-07,1.5648469187112823e-08
1902,1.3208664029207284e-07,5.892340837476695e-09
1903,2.0682843171471177e-07,4.320176216765503e-09
1904,1.311408510673573e-07,2.1498500757388683e-09
1905,1.3934050002717413e-07,6.192911072844254e-09
1906,1.2397484283610538e-07,1.5432553013283723e-09
1907,1.352567835510854e-07,3.599990305858114e-09
1908,1.9694670072567533e-07,3.929111258571538e-09
1909,1.7768176974186645e-07,4.400786846048277e-09
1910,1.7742580382673623e-07,6.412980813053082e-09
1911,1.8834124659861118e-07,5.3203743632934675e-09
1912,1.4898944300512085e-07,6.772247651554153e-09
1913,1.9249853266956052e-07,2.6514948014977335e-09
1914,2.055900267805555e-07,3.3483718020477227e-09
1915,2.1912217107455945e-07,2.0027295377644805e-08
1916,2.84575264686282e-07,5.493730803607377e-09
1917,2.631941811159777e-07,3.289927441585405e-09
1918,2.527002891383745e-07,1.722956355365568e-08
1919,2.51374274284899e-07,8.287063479883727e-09
1920,1.5447352552655502e-07,4.543339038320937e-09
1921,1.61299524847891e-07,2.196096815509918e-08
1922,2.1248453663247346e-07,7.377935595798135e-09
1923,2.0594939087459352e-07,5.307974060286824e-09
1924,2.6298914690414676e-07,3.867487219366694e-09
1925,2.760542656687903e-07,8.798542339150117e-09
1926,1.8056744011119008e-07,6.687683296036084e-09
1927,2.419381814888766e-07,4.4596899506643695e-09
1928,1.496811421475286e-07,0.0
1929,2.2280812572716968e-07,8.912325100141061e-09
1930,1.628058612368477e-07,8.402882833991043e-09
1931,1.5967499678026797e-07,9.124285327288817e-09
1932,2.465895647674188e-07,3.287861094491973e-09
1933,1.8582473160222435e-07,6.882397318719313e-09
1934,2.1087581103529374e-07,1.1981580172459871e-09
1935,1.8431157400300435e-07,1.196828414151696e-08
1936,1.6489612164605205e-07,2.424942913137329e-09
1937,1.5738898184736172e-07,6.295559185076627e-09
1938,1.6465821772726486e-07,1.2965214457594243e-09
1939,1.2388180437028495e-07,6.117620188206274e-09
1940,1.4453962648985907e-07,1.0143131667916805e-08
1941,1.8299316195680149e-07,2.066051862925633e-08
1942,2.123948235066564e-07,9.102635090130207e-09
1943,2.0322646321346838e-07,2.9032352077962287e-09
1944,1.9600435052780085e-07,3.2131861615880553e-09
1945,2.0260087296719576e-07,1.089252066321933e-08
1946,2.2969821600327123e-07,6.960552134671616e-09
1947,2.2649655306850036e-07,5.960435700558264e-09
1948,2.2504808327994397e-07,9.784699273041042e-09
1949,1.8848655258807412e-07,1.570721330779179e-08
1950,2.1589784182651783e-07,1.1698897850465073e-08
1951,1.9830207520499243e-07,1.3859822622919182e-08
1952,2.0456919003208895e-07,9.490323193972472e-09
1953,2.176313103063876e-07,6.464296653518886e-09
1954,2.1401854155556066e-07,5.863521668203475e-09
1955,2.1586897958059126e-07,3.754243138587299e-09
1956,2.1454007992360857e-07,5.232684952005684e-09
1957,1.7493374571131426e-07,6.184526224473075e-09
1958,1.7371711180658167e-07,8.272243334772611e-09
