year,ses_DET eaux_NOUN,ses_DET beaux_ADJ
1800,7.29131750176748e-06,2.436727378096748e-06
1801,6.350613830363727e-06,2.5907266127944695e-06
1802,9.786074770090636e-06,2.4034402201777993e-06
1803,7.477600348693159e-06,2.5510437779985295e-06
1804,9.55370396127364e-06,2.9415026432388913e-06
1805,6.604005093890919e-06,2.7774915025702285e-06
1806,6.0025169261734845e-06,2.351442006442994e-06
1807,7.222724946132075e-06,1.8448269045734378e-06
1808,6.415255626279759e-06,2.4088366785690596e-06
1809,6.250737442314858e-06,2.0173142374346753e-06
1810,6.056247940477988e-06,3.01642333511154e-06
1811,6.232593023014488e-06,2.416822063366908e-06
1812,7.428174882306848e-06,2.8832520797550387e-06
1813,6.306501518338337e-06,2.9476350960067066e-06
1814,5.210897285223837e-06,1.585925232916452e-06
1815,4.34252993386508e-06,1.3513089882621898e-06
1816,5.0037069598829476e-06,1.7219797214806931e-06
1817,4.376371066427964e-06,1.9351936302314243e-06
1818,5.666135464821309e-06,2.450994102787263e-06
1819,4.332949657737117e-06,2.225475647321673e-06
1820,5.325676738721086e-06,2.355496434347515e-06
1821,4.665470214604284e-06,2.2385577906902654e-06
1822,5.791798173504503e-06,2.358024914883572e-06
1823,4.699217583947757e-06,2.381727455258442e-06
1824,4.559190628583565e-06,2.337700948373822e-06
1825,5.242760593660023e-06,2.5421314688856e-06
1826,6.053727787502794e-06,2.1262473453020903e-06
1827,4.123807855194173e-06,1.7392994706710851e-06
1828,4.8539817782966566e-06,1.713385870516504e-06
1829,5.31022510585899e-06,2.214451313875543e-06
1830,5.133879398044883e-06,2.4787484562693862e-06
1831,5.466277002597053e-06,2.2576067593149673e-06
1832,5.0480313689149625e-06,2.779055620294457e-06
1833,7.221234170629032e-06,2.811346632825007e-06
1834,5.709932622721681e-06,2.150676010614916e-06
1835,5.971057817077963e-06,2.4814490870994632e-06
1836,5.223366983386768e-06,2.600930386620348e-06
1837,5.070911015536694e-06,2.2787092248677254e-06
1838,5.344507485460781e-06,2.7205417651998687e-06
1839,4.167618499195669e-06,2.0519978676247774e-06
1840,4.895742691246596e-06,2.2319389998415318e-06
1841,4.443019719246877e-06,2.4057795400267423e-06
1842,4.607236263609593e-06,2.272760085020309e-06
1843,4.280147635427056e-06,2.170789798583428e-06
1844,3.849127978128308e-06,2.09772801440522e-06
1845,4.2560396451563065e-06,2.0328771483946184e-06
1846,4.042533049641861e-06,2.058442596819532e-06
1847,3.7757957898065797e-06,1.7479437559586586e-06
1848,4.015369981402728e-06,1.6935191951006345e-06
1849,3.980222174959636e-06,2.1040710080910685e-06
1850,3.942370099707659e-06,1.920607033412125e-06
1851,4.119901419130656e-06,1.8174518388036631e-06
1852,4.3275595658087695e-06,1.8366249179280203e-06
1853,4.1289937087185535e-06,1.990444843613659e-06
1854,4.1461400144271465e-06,2.092294113964499e-06
1855,4.2359970109373535e-06,2.46294956696147e-06
1856,4.155729655508367e-06,2.2349925714593155e-06
1857,4.142448688071454e-06,2.6872707508118765e-06
1858,3.978558709150093e-06,2.5608606648575005e-06
1859,4.140446108635842e-06,2.6260338472638978e-06
1860,3.826067924705967e-06,2.760957272585074e-06
1861,4.2778507634011476e-06,2.51926781658085e-06
1862,4.4524755082875345e-06,2.261252149082793e-06
1863,3.770439263917069e-06,2.340479348106328e-06
1864,4.161344378417198e-06,2.4270912177826176e-06
1865,3.77018224639869e-06,2.2428113410910555e-06
1866,3.763064995609966e-06,2.2620235000658795e-06
1867,3.5808896683420244e-06,2.3487608586947317e-06
1868,3.7473885186045663e-06,2.2995113653223598e-06
1869,3.711474647616342e-06,2.390482563896512e-06
1870,3.5453623326020534e-06,2.08891404440692e-06
1871,3.5092370609390855e-06,1.9978434551148894e-06
1872,3.4149324648069523e-06,2.2514243980253923e-06
1873,3.577834775114752e-06,2.1190455754549475e-06
1874,3.416281614931904e-06,2.1018675226969208e-06
1875,3.694962131817192e-06,2.246843649800212e-06
1876,4.102220998447592e-06,2.2297703310414363e-06
1877,4.404207629704615e-06,2.3143580847317935e-06
1878,3.4531508958934864e-06,2.208494656485982e-06
1879,3.714469713145263e-06,2.2830549468721983e-06
1880,3.897558059406947e-06,2.3842298944032336e-06
1881,4.195357604430683e-06,2.2388722555888307e-06
1882,3.5526445998357303e-06,2.2874558709418125e-06
1883,3.6816469730638346e-06,2.1353045838168327e-06
1884,3.677145201663734e-06,2.256460092553425e-06
1885,3.5670148719191275e-06,2.118035887122005e-06
1886,3.4713181236156743e-06,2.1122188229583116e-06
1887,3.410710263551664e-06,2.093826040550084e-06
1888,3.1373361650821607e-06,2.1944868393575234e-06
1889,3.5454407765200813e-06,2.094435124888605e-06
1890,3.3938612631345677e-06,2.0161292937359576e-06
1891,2.7708734151588033e-06,2.185720134662006e-06
1892,3.497203081792577e-06,1.8717777905408184e-06
1893,3.103226063672082e-06,2.060606114184793e-06
1894,3.398420233224897e-06,2.1570168087237107e-06
1895,3.113429173140503e-06,2.0300785763538443e-06
1896,3.1112725480397785e-06,1.8864595716650001e-06
1897,2.7851690589386635e-06,1.9385476051070327e-06
1898,2.899906910158734e-06,2.0200326602548557e-06
1899,2.7765027112991447e-06,1.9600792739993267e-06
1900,2.951113614813039e-06,1.8625499009772284e-06
1901,2.8262253195521225e-06,1.80572159536041e-06
1902,2.4242071816615862e-06,1.6145013148616272e-06
1903,3.0840658098441054e-06,1.7043094757696053e-06
1904,2.8206032425259764e-06,1.680107807544573e-06
1905,2.8337727684402125e-06,1.7051147622737517e-06
1906,2.9260121863217137e-06,1.937299934695602e-06
1907,2.5642215888410647e-06,1.8951378066844882e-06
1908,2.8972284695782946e-06,2.0362619324032494e-06
1909,2.320314870019047e-06,2.0898236670063852e-06
1910,2.7249824228192665e-06,2.1943083083897363e-06
1911,2.569208696456826e-06,1.8812843336490914e-06
1912,2.618776001384049e-06,1.9050853623525654e-06
1913,2.3577093415383388e-06,2.0108936311658e-06
1914,2.5983365787851653e-06,1.8101298735473392e-06
1915,2.2100709529127016e-06,1.5338552046273435e-06
1916,2.2831945756252026e-06,1.7206366038635679e-06
1917,2.443319353062634e-06,1.5462658069509416e-06
1918,2.103155537724888e-06,1.7711991873170518e-06
1919,2.2982788436820556e-06,2.034013647289612e-06
1920,2.448859746095877e-06,1.930919111714502e-06
1921,2.3513379758810515e-06,2.1143111226251676e-06
1922,2.1145162705238363e-06,2.0813156993426674e-06
1923,2.1221280803729314e-06,2.235718739029835e-06
1924,2.1902869633549926e-06,2.280528470066656e-06
1925,2.725348473120448e-06,2.341512015391345e-06
1926,1.9550327365891462e-06,2.2147377336523277e-06
1927,2.1863631118890225e-06,2.7716973534097633e-06
1928,2.4554561974809985e-06,1.893295028310149e-06
1929,2.4709420358703937e-06,2.1935459315614025e-06
1930,2.214159593449949e-06,1.8528356164893012e-06
1931,2.197812243309727e-06,1.8248570654577634e-06
1932,2.552476132677839e-06,1.8269547368277017e-06
1933,1.956894983834445e-06,1.7205993358970773e-06
1934,2.2213849817376286e-06,1.609126179857867e-06
1935,2.008278102039185e-06,1.8072108787237084e-06
