year,vingt - deux ans,vingt - deux bancs
1800,1.2711195171988265e-06,0.0
1801,9.596987329274498e-07,0.0
1802,1.4534674761534916e-06,0.0
1803,1.167856370720699e-06,0.0
1804,1.2477480701988952e-06,0.0
1805,1.433105943249302e-06,0.0
1806,1.7348024812235963e-06,0.0
1807,1.5232098322659482e-06,0.0
1808,2.0469018267021966e-06,0.0
1809,1.739555308688523e-06,0.0
1810,1.4590812078552062e-06,0.0
1811,2.6737649960750787e-06,0.0
1812,2.39515176048144e-06,0.0
1813,3.2383304748861974e-06,0.0
1814,2.338777580490614e-06,0.0
1815,2.545475549453613e-06,5.9128351104220656e-09
1816,2.31529073868586e-06,0.0
1817,1.90232774066601e-06,0.0
1818,2.59752256326351e-06,0.0
1819,2.7428576423460527e-06,0.0
1820,2.2168220503715474e-06,0.0
1821,2.3404297770923677e-06,0.0
1822,2.026288019152389e-06,1.0964762431342479e-09
1823,2.1051949694594896e-06,0.0
1824,1.8733391140557387e-06,0.0
1825,2.44688532191617e-06,0.0
1826,2.2392677152538454e-06,0.0
1827,1.8561907317860005e-06,0.0
1828,2.114875849557052e-06,0.0
1829,1.9648806919292383e-06,0.0
1830,1.8810141817482418e-06,0.0
1831,2.0212204425718028e-06,0.0
1832,2.1453615666189307e-06,0.0
1833,1.7679922414970406e-06,0.0
1834,2.3137418097007867e-06,0.0
1835,1.9678363720743164e-06,0.0
1836,2.0627862014066523e-06,5.140442738138518e-09
1837,2.213531985262307e-06,0.0
1838,2.060543700110884e-06,0.0
1839,2.2522680112047055e-06,7.642578792044219e-10
1840,2.1787186703647876e-06,0.0
1841,2.2028102897309054e-06,3.5098950412759677e-09
1842,2.347266644164847e-06,0.0
1843,2.4951852672927544e-06,0.0
1844,2.357685691123379e-06,0.0
1845,2.170523895728138e-06,6.100404625897227e-10
1846,2.301252372660656e-06,0.0
1847,2.1329861290553254e-06,2.9452997818424365e-09
1848,2.111521306247255e-06,0.0
1849,1.7981453943605175e-06,0.0
1850,1.993486776541431e-06,7.430066562008619e-10
1851,1.9368713175538232e-06,0.0
1852,2.508863197192568e-06,0.0
1853,2.971739405666085e-06,3.922225211283603e-09
1854,2.7711204317881766e-06,0.0
1855,2.9036578723662387e-06,0.0
1856,2.353523179010608e-06,0.0
1857,2.579089173337934e-06,5.349697351775262e-10
1858,2.6778133381810676e-06,0.0
1859,2.489464709043432e-06,0.0
1860,2.5968057748571027e-06,0.0
1861,2.331991922233101e-06,0.0
1862,2.551789226146184e-06,0.0
1863,2.548866845586417e-06,0.0
1864,2.384340927363837e-06,0.0
1865,2.4704190515478786e-06,0.0
1866,2.2889604771592076e-06,6.941097918655714e-09
1867,2.2746597743150687e-06,0.0
1868,2.406869583637672e-06,0.0
1869,2.570438546456444e-06,5.357312371501166e-10
1870,2.502633659418052e-06,0.0
1871,1.9562080417756533e-06,0.0
1872,2.073635791077777e-06,0.0
1873,2.1944619881253402e-06,0.0
1874,2.154682430699495e-06,0.0
1875,2.3142338925197237e-06,1.2573940777471648e-09
1876,2.0659626400743036e-06,6.640831218263088e-10
1877,5.797999087064909e-06,0.0
1878,2.092424566058071e-06,0.0
1879,2.449632930279222e-06,0.0
1880,2.4063077788127885e-06,0.0
1881,2.2661274314828006e-06,2.305317714501598e-09
1882,2.6269565722714106e-06,7.327633499976116e-10
1883,2.3477473405364435e-06,0.0
1884,2.3075801145466812e-06,0.0
1885,2.0525021966477652e-06,0.0
1886,2.1881970866388656e-06,0.0
1887,2.2220095594605027e-06,2.881049621095144e-09
1888,2.3224510936614706e-06,5.591215490596824e-09
1889,2.2256366776218783e-06,4.8398436369723186e-09
1890,2.0725469624949255e-06,2.1686923368235966e-09
1891,2.036484534784222e-06,7.027207149512549e-10
1892,2.3290173736256747e-06,0.0
1893,2.308241562332114e-06,0.0
1894,2.0062249070917915e-06,0.0
1895,2.2669001573660807e-06,0.0
1896,2.120419438256249e-06,0.0
1897,2.0214498874793208e-06,0.0
1898,2.047570465180115e-06,0.0
1899,1.961281974161011e-06,0.0
1900,2.1119968707239423e-06,0.0
1901,1.8730230415542337e-06,0.0
1902,1.729207394163268e-06,0.0
1903,1.8783086872531385e-06,0.0
1904,1.6672052254307346e-06,5.93522675451652e-10
1905,1.6985428388238688e-06,1.1395792087753875e-09
1906,1.8905614282971328e-06,0.0
1907,1.863113418210105e-06,0.0
1908,1.9106372057819954e-06,5.424864446545996e-10
1909,1.9095973584626336e-06,0.0
1910,1.9039901602013742e-06,0.0
1911,1.881328039132768e-06,0.0
1912,1.949627144171018e-06,0.0
1913,2.0408638210511754e-06,0.0
1914,1.872501501409829e-06,0.0
1915,1.540388343101995e-06,0.0
1916,1.5552062464507799e-06,0.0
1917,1.6366809063583787e-06,1.206102329120995e-09
1918,1.8830167398675712e-06,0.0
1919,1.7878045142083465e-06,0.0
1920,1.6461482275076378e-06,0.0
1921,1.551051720838359e-06,0.0
1922,1.7427916958467904e-06,8.143886676137413e-10
1923,1.6001649463248668e-06,0.0
1924,1.665714659537798e-06,0.0
