year,dix_DET eaux_NOUN,dix_DET beaux_ADJ
1800,0.0,0.0
1801,0.0,9.524730337773235e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,7.801356893821776e-09
1804,7.4155526164076946e-09,7.4155526164076946e-09
1805,0.0,5.685755422035754e-09
1806,1.729001475325731e-08,3.1698359492793315e-08
1807,2.8469551160981155e-09,8.540865348294346e-09
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,2.259030518203531e-09,6.099382332536152e-08
1810,1.1700633351097167e-08,2.106114083133548e-08
1811,0.0,2.0056614147279106e-08
1812,0.0,1.3336041160272316e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.1577788444915313e-08
1816,0.0,4.6352077731626196e-09
1817,3.113746815941454e-09,3.113746815941454e-09
1818,0.0,3.5763532135746345e-09
1819,0.0,1.5526575580793178e-08
1820,1.779972080839798e-08,4.746592452420373e-09
1821,0.0,8.875339352343303e-09
1822,1.0025615893027862e-09,1.1028177482330648e-08
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,5.283265824829186e-09
1826,8.807984341885344e-10,1.145037931138404e-08
1827,0.0,1.8434546333878643e-08
1828,0.0,2.109629271274116e-08
1829,0.0,2.3147574523818548e-08
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.8941957335982806e-08,2.1647950987357945e-08
1833,6.950177322551099e-09,2.89590715851773e-08
1834,0.0,2.8003592777992026e-09
1835,0.0,1.0588323107185715e-08
1836,0.0,5.376600054063374e-09
1837,1.3915781860163179e-09,9.045258542172974e-09
1838,6.312161904276081e-10,1.1361891205652341e-08
1839,6.9914749545318955e-09,4.1948851059459e-09
1840,6.369688665408546e-10,3.821813199245128e-09
1841,0.0,2.0545755319290038e-08
1842,0.0,1.0062397581833693e-08
1843,0.0,8.860366440543999e-09
1844,2.7442805805577564e-09,1.3172547053130756e-08
1845,5.580227946389016e-10,5.022205096238963e-09
1846,0.0,1.6392603718884402e-08
1847,5.393223645455691e-10,5.3932236454556914e-09
1848,0.0,5.631655086713039e-09
1849,0.0,3.6869426622843093e-08
1850,0.0,3.394498016007219e-09
1851,1.9348316282474798e-09,6.449438760824933e-09
1852,6.510545436100301e-10,6.510545436100301e-09
1853,0.0,1.0749477752369785e-08
1854,0.0,1.2989160858012383e-08
1855,1.5920811335945473e-09,1.326734277995456e-08
1856,5.177189232874468e-10,6.73034605824796e-09
1857,9.763017949637742e-09,2.4895696171256532e-08
1858,0.0,1.1255455234504552e-08
1859,2.036869339860914e-09,1.782260738991681e-08
1860,1.8308735638683515e-09,3.2498006230508025e-08
1861,2.8295781828724387e-09,2.5937800351982787e-08
1862,1.1294965851504912e-08,1.1746764672082577e-08
1863,1.4983862484108101e-09,9.989241434027463e-09
1864,1.9178911792039344e-09,7.192091699970149e-09
