year,nos_DET arrières_NOUN,nos_DET barrières_NOUN
1800,4.7162467708972144e-08,1.5720821977538435e-08
1801,2.1430643926123594e-08,2.1430643926123594e-08
1802,3.3567602031325805e-08,2.4616241489638924e-08
1803,7.801356893821776e-09,1.755305234496518e-08
1804,4.943701892301533e-09,4.943701892301533e-09
1805,2.2743021688143017e-08,1.9900143755080535e-08
1806,2.881669125542885e-08,2.305335300434308e-08
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,6.798221985349073e-09,1.8128591960930862e-08
1809,1.581321384946932e-08,1.129515236897305e-08
1810,9.360507036149102e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,8.496028414128887e-08
1815,2.4275012222574333e-08,4.0458352890127e-08
1816,3.476405829871965e-08,3.7081662185300956e-08
1817,2.8023721676539992e-08,2.3353100786493997e-08
1818,1.0729059418679299e-08,4.768470951432846e-09
1819,1.8631890696951814e-08,4.243930362690662e-08
1820,9.493184904840746e-09,2.7292906601417144e-08
1821,8.875339574387908e-09,7.88919063410276e-09
1822,1.804610860745015e-08,2.0051231786055723e-08
1823,1.581229902569703e-08,8.894418535021487e-09
1824,1.6842225392110777e-08,3.03160057057994e-08
1825,1.7610886082763955e-09,3.522177394188475e-08
1826,2.9066348328221636e-08,2.7304751237799962e-08
1827,5.530363722527909e-09,2.3043183361437514e-08
1828,2.7516903755575584e-09,1.1006761724274838e-08
1829,5.143905745796928e-09,9.430493719264632e-09
1830,6.262101504006523e-09,9.39315203396518e-09
1831,3.1182412207897414e-09,5.456922025359745e-08
1832,2.4353944638733083e-08,3.653091895650107e-08
1833,9.266902800675325e-09,4.749287596528262e-08
1834,9.334530925997342e-09,2.3336327314993355e-08
1835,1.285724948729694e-08,1.5126175867408165e-08
1836,9.409049983588602e-09,8.064900081095061e-09
1837,3.4789454650407947e-09,2.5048407792382932e-08
1838,8.2058102535143e-09,2.2723782411304683e-08
1839,7.690622472189546e-09,1.6779539646627484e-08
1840,3.184844277193122e-09,2.5478755105723394e-08
1841,8.988768396278601e-09,3.531301828729738e-08
1842,2.683306021822318e-09,1.6770663080478698e-08
1843,5.906911182407271e-09,2.9534555467947143e-08
1844,7.135129487245706e-09,1.0428266250528395e-08
1845,3.3481367678334095e-09,1.897277446261114e-08
1846,1.1123552745573306e-08,5.210506048847208e-08
1847,5.3932236454556914e-09,4.26064685754568e-08
1848,7.240699539945439e-09,2.735375304041554e-08
1849,3.3517659758786067e-09,2.93279518448486e-08
1850,4.752297222410107e-09,2.511928620663184e-08
1851,6.4494389828695375e-09,2.773258667154721e-08
1852,1.3021090872200602e-09,2.6042182188490415e-08
1853,4.180352286553557e-09,1.19438634538227e-08
1854,1.0391328908454511e-08,2.234135632050993e-08
1855,7.960405667972736e-09,2.812676669350367e-08
1856,6.730345780692204e-09,4.659470143053568e-09
1857,2.9289055625270066e-09,1.0739319766805977e-08
1858,3.4255732694887797e-09,1.2234189661342043e-08
1859,7.1290429115578036e-09,1.6294954496842706e-08
1860,8.238931398230065e-09,1.9681890783829203e-08
1861,8.48873471515077e-09,1.6505872502126095e-08
1862,4.066187719864445e-09,3.027050965442868e-08
1863,6.493007298491449e-09,2.3474717281146695e-08
1864,9.589456118064277e-09,1.3904711160250827e-08
1865,3.765475542483188e-09,1.2237795665726026e-08
1866,4.865612801552288e-09,1.508339997347008e-08
1867,2.426405742994575e-09,2.523461972714358e-08
1868,1.0373735648272486e-08,1.3337660198509127e-08
1869,9.767038733343725e-09,1.8069020946143155e-08
1870,1.3188311775991224e-08,2.6376624440160867e-08
1871,1.0621177271019633e-09,1.274541272522356e-08
1872,6.0473394070115205e-09,1.1489944995446422e-08
1873,7.1832053083475955e-09,1.0176207432266438e-08
1874,4.182226565063729e-09,7.169530913397892e-09
1875,1.3731664694205392e-08,1.2587359599081083e-08
1876,4.232210137899983e-09,2.539326215966753e-08
1877,8.040260901509555e-09,2.4120781816350245e-08
1878,3.6234532041490297e-09,2.35524461600356e-08
1879,4.887460214320072e-09,2.8102896010295808e-08
1880,1.7969970178555172e-08,2.3746030919369332e-08
1881,1.2550513517339823e-08,6.9725074602899895e-09
1882,5.989846840748214e-09,1.4641846846075168e-08
1883,1.2006744043446815e-08,6.951272890631799e-09
1884,9.242375753615306e-09,1.9144920315739e-08
1885,1.9336907075562237e-09,1.2891271217174705e-08
1886,1.2261581083805595e-08,9.680196089156823e-09
1887,1.0446279008480275e-08,1.3710742097217121e-08
1888,7.60873763994141e-09,2.1558090423923204e-08
1889,1.3783300722991498e-08,6.891650361495749e-09
1890,2.6217545745499393e-08,1.8352282360467598e-08
1891,7.649064048820264e-09,1.529812809764053e-08
1892,1.2537024529635232e-08,2.1939793759528925e-08
1893,1.7243566574620672e-08,1.1700991287000306e-08
1894,1.449354058991048e-08,7.561847148451761e-09
1895,1.0833506536300774e-08,7.824199066419624e-09
1896,8.845543408853018e-09,1.2973463581200662e-08
1897,1.1653427445246223e-08,1.631479840114025e-08
1898,9.619203433786083e-09,4.526684027617023e-09
1899,1.9346524382513053e-08,2.5426860617017155e-08
1900,8.30568502863116e-09,1.816868544501915e-08
1901,1.956058603980182e-08,8.383108485165991e-09
1902,7.856454153909453e-09,6.38336894454028e-09
1903,1.6740681951787906e-08,8.640352433531007e-09
1904,9.674325340824907e-09,1.0211787859759625e-08
1905,1.9610884249843252e-08,1.651442893546573e-08
1906,1.4403716219746343e-08,1.1317205839134203e-08
1907,1.4399961001387851e-08,1.337139288182243e-08
1908,1.1787334219803824e-08,1.0313916831705683e-08
1909,1.8153245739949142e-08,1.1001967059609541e-08
1910,9.619471441624228e-09,5.878565634276356e-09
1911,1.8089272302290738e-08,2.606983251496331e-08
1912,1.4586379548653383e-08,7.293189607793238e-09
1913,1.856046383252874e-08,4.242391771214216e-09
1914,1.2723812781167965e-08,2.075990607197653e-08
1915,2.120537156979907e-08,4.5944972271172446e-08
1916,2.8567400889301098e-08,2.0876177231343718e-08
1917,2.7416061421092763e-08,2.7416060532914344e-08
1918,1.1830967494574907e-07,2.986458014220261e-08
1919,4.880159654163663e-08,2.9465114015359006e-08
1920,3.7861157320406846e-08,2.1959472018551196e-08
1921,3.5591912306287554e-08,1.438822039290244e-08
1922,4.205423154157728e-08,3.6889677978990676e-09
1923,4.2463792482294593e-08,1.0615948564662858e-08
1924,1.2891624212585384e-08,1.2891624212585384e-08
1925,3.1894715091240755e-08,8.798542339150117e-09
1926,2.452150482668003e-08,4.458455382660986e-09
1927,1.2264147142282411e-08,6.689534814974252e-09
1928,2.742249938236796e-08,6.8556245125250825e-09
1929,4.0105462062456354e-08,8.912325100141061e-09
1930,3.3611531891075686e-08,1.3654685049324655e-08
1931,1.596749932275543e-08,3.42160717536899e-08
1932,1.1617109074713028e-07,1.4247397928102146e-08
1933,2.523545639121494e-08,1.3764794637438627e-08
1934,1.581568582764703e-07,1.1981580172459871e-08
1935,7.659701850570855e-08,4.787313656606784e-09
1936,3.152425698260686e-08,1.6974600391961303e-08
1937,6.67329245196413e-08,1.1332006444320086e-08
1938,3.889564348380503e-08,1.1668693011834819e-08
1939,4.129393627039235e-08,6.117620188206274e-09
1940,2.2822046474857416e-08,7.607348528892999e-09
1941,8.264207496111453e-08,2.9515025978810172e-09
1942,5.158160010232393e-08,0.0
1943,9.00002921078169e-08,0.0
1944,8.996921252446555e-08,6.4263723231761105e-09
