year,ses_DET ans_NOUN,ses_DET bancs_NOUN
1800,3.0812812790159683e-07,1.351990706055517e-07
1801,1.9049460320275102e-07,2.1192525601065881e-07
1802,1.991677720525331e-07,9.622712582313397e-08
1803,2.86699872731333e-07,1.657788408770955e-07
1804,3.534746895184071e-07,7.168368010290749e-08
1805,2.3595885068061762e-07,1.2224374379421477e-07
1806,2.651135684317296e-07,1.3543845511776453e-07
1807,1.6512339584551228e-07,2.7046073469705334e-07
1808,2.3793776904312836e-07,1.0877155176558517e-07
1809,1.4683698168482806e-07,7.680703895118768e-08
1810,1.9189039335287816e-07,9.594519845279592e-08
1811,1.1281845502253418e-07,1.5293167621166504e-07
1812,1.3869482984318893e-07,1.0135391548260486e-07
1813,3.0770434955584847e-07,8.339650747757332e-08
1814,3.1152103474596515e-07,2.2026739099345605e-08
1815,1.9959454156115441e-07,4.8550024445148665e-08
1816,1.7382029149359823e-07,1.7382029682266875e-07
1817,2.0550728674351149e-07,1.6035795979973955e-07
1818,1.5855166157763279e-07,3.099506162840271e-08
1819,2.5463583597229444e-07,8.901903270075451e-08
1820,2.2190319004522507e-07,3.9159388620646496e-08
1821,2.0610510154117634e-07,7.59334568556369e-08
1822,2.0452256421776838e-07,8.020492714422289e-08
1823,3.508353771941586e-07,1.0179167198032246e-07
1824,3.309497262904415e-07,1.0105335057630782e-07
1825,2.985045226555627e-07,1.0038204933948691e-07
1826,1.7704049115607745e-07,1.3388135755576513e-07
1827,1.6683263970307394e-07,9.309445747618383e-08
1828,1.72439257539736e-07,1.0823315221841767e-07
1829,1.5431717381719778e-07,1.4917326307539724e-07
1830,1.711641122170704e-07,1.461157055349105e-07
1831,1.1225668572478753e-07,1.0134284167406804e-07
1832,1.6371262312464552e-07,1.8806657053893616e-07
1833,1.4942881421120546e-07,1.1120283061050174e-07
1834,1.3255033382009174e-07,1.5588666801846784e-07
1835,1.1495893659230205e-07,1.368918916000439e-07
1836,1.52561029753695e-07,1.1492482565600426e-07
1837,1.342872963938646e-07,1.0506415026867444e-07
1838,1.5338553316368575e-07,1.186686424681227e-07
1839,1.2864314835603352e-07,1.7618516778838966e-07
1840,9.363442332599448e-08,1.407701137878803e-07
1841,1.438202890113871e-07,1.4189412045340077e-07
1842,1.0531976091243678e-07,1.2276125138654947e-07
1843,1.0455232551942473e-07,1.287706679620193e-07
1844,9.056126382134266e-08,1.1196664928547762e-07
1845,6.417262066182872e-08,1.138366466091334e-07
1846,8.781751636988133e-08,1.0772282621474005e-07
1847,8.898818659730523e-08,1.6772925715002884e-07
1848,8.769291981458593e-08,1.9308531612471924e-07
1849,1.03066805534624e-07,1.969162486403775e-07
1850,8.622024783022653e-08,1.683671024821365e-07
1851,8.126293105092941e-08,1.6252585943732356e-07
1852,5.3386471465799445e-08,1.0156450969134312e-07
1853,8.300985521181303e-08,1.2123021697618697e-07
1854,1.080698244226852e-07,1.298916121328375e-07
1855,1.0189318899733735e-07,1.1781400743871018e-07
1856,1.2942973603990993e-07,1.2891201262021923e-07
1857,1.9818926455528185e-07,1.3814671229184228e-07
1858,1.1255455079073329e-07,1.2576746732939625e-07
1859,1.217029423905558e-07,1.3035963664087546e-07
1860,1.1580275360856263e-07,1.3868866921562528e-07
1861,8.677372975718356e-08,9.479087231811789e-08
1862,9.894390129439046e-08,1.228892263505088e-07
1863,1.0538649997116067e-07,1.3685260680240674e-07
1864,1.1699136004406085e-07,1.4240342238736048e-07
1865,8.425251252219823e-08,1.36027799468863e-07
1866,1.1093597684919132e-07,1.0898972979678234e-07
1867,9.899735431417866e-08,1.2034972485253093e-07
1868,8.842374432660449e-08,1.2942470206667167e-07
1869,8.497323022993442e-08,1.3820358635285857e-07
1870,8.601073497871425e-08,1.22135244584598e-07
1871,7.965882775629041e-08,1.656903663160847e-07
1872,7.498700549390946e-08,1.2155152218085163e-07
1873,9.098726883038921e-08,1.0714947878964765e-07
1874,7.528007572865647e-08,8.543690910300938e-08
1875,9.669380807153516e-08,1.4303818351990572e-07
1876,9.915464427301401e-08,1.2454789821703116e-07
1877,1.063788335198268e-07,1.311181012653151e-07
1878,1.0568405106603507e-07,1.5097721361989613e-07
1879,1.2951769345903585e-07,1.4906752987542404e-07
1880,8.407378460084658e-08,1.3670012011246513e-07
1881,7.181682448731408e-08,1.2620238809546436e-07
1882,6.122954476772691e-08,1.1181046799535466e-07
1883,6.066565261253487e-08,1.263867828171783e-07
1884,6.139578090369469e-08,1.2279156536010305e-07
1885,5.41433392009516e-08,1.4051486030286497e-07
1886,6.195325363833604e-08,1.3423204592299953e-07
1887,5.353718296463583e-08,1.5995864899309709e-07
1888,6.213802317134309e-08,1.6802628488576943e-07
1889,6.82899904402845e-08,1.6414658343677502e-07
1890,4.653614471550327e-08,1.2060070836428238e-07
1891,5.2268602779292905e-08,1.0708689401894844e-07
1892,4.8894397863818995e-08,1.7050353640080118e-07
1893,3.879802479289651e-08,1.5211288983962845e-07
1894,5.9234470217717217e-08,1.3296247347582835e-07
1895,2.6481904225050812e-08,1.3361323514260448e-07
1896,4.776593365285464e-08,1.633476964801872e-07
1897,3.845631113552628e-08,1.3576242263724225e-07
1898,3.791097891170381e-08,1.1712794500962076e-07
1899,5.030096339453394e-08,1.2879257837994373e-07
1900,4.568126776849368e-08,1.5313607315547983e-07
1901,7.041810740071597e-08,1.3301199097703886e-07
1902,4.9593866791042274e-08,1.158827016567443e-07
1903,5.238213796054936e-08,1.3608555615718387e-07
1904,5.4283715300584845e-08,1.1071727890055172e-07
1905,5.47040444054403e-08,1.2179391273292595e-07
1906,5.247068113334308e-08,1.265469329325697e-07
1907,5.914269740614486e-08,1.0439972353282201e-07
1908,4.71493368792153e-08,1.2573156205064606e-07
