year,véritables_ADJ bancs_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,2.2378401354217203e-08
1803,0.0
1804,0.0
1805,1.421438877713399e-08
1806,2.305335300434308e-08
1807,2.2775640928784924e-08
1808,0.0
1809,0.0
1810,0.0
1811,1.0028307073639553e-08
1812,0.0
1813,0.0
1814,4.405347908686963e-08
1815,5.394447111228828e-09
1816,4.6352077731626196e-09
1817,0.0
1818,1.1921177378582115e-09
1819,5.175524897538253e-09
1820,1.4239777357261119e-08
1821,9.86148829262845e-10
1822,3.909990198280866e-08
1823,1.680056804787e-08
1824,2.5263338088166165e-09
1825,7.044354433105582e-09
1826,6.1655889282974385e-09
1827,0.0
1828,3.668920500743411e-09
1829,0.0
1830,3.1310507520032616e-09
1831,6.236482441579483e-09
1832,0.0
1833,9.266902800675325e-09
1834,1.4001796166951408e-08
1835,1.5126175867408165e-09
1836,1.4785650037651976e-08
1837,2.0873671680021744e-09
1838,9.468243078458727e-09
1839,2.7965900706306e-09
1840,1.9109065441114126e-09
1841,6.420548537278137e-09
1842,1.609983613093391e-08
1843,1.0041748765843295e-08
1844,4.390849017710252e-09
1845,3.9061593959388574e-09
1846,3.5127007969038004e-09
1847,1.5101026207275936e-08
1848,3.137636639394259e-08
1849,9.217356655710773e-09
1850,1.3577992064028876e-09
1851,7.094382858952031e-09
1852,3.906327261660181e-09
1853,2.9859659189668264e-09
1854,9.352196350675968e-09
1855,1.963566731433275e-08
1856,2.5885946719483854e-09
1857,1.4644527368545823e-08
1858,1.468102794888182e-08
1859,1.629495471888731e-08
1860,6.408057640072684e-09
1861,1.226150558863992e-08
1862,1.2650361647104091e-08
1863,5.9935452156878455e-09
1864,4.794728170054441e-09
1865,6.589582213223366e-09
1866,1.5083399418358567e-08
1867,1.455843445796745e-09
1868,1.7289560005906424e-08
1869,1.4162205630441349e-08
1870,1.1468097582678638e-08
1871,1.0621176826930423e-08
1872,1.0885210954825197e-08
1873,2.1549615425442425e-08
1874,1.3741600746186577e-08
1875,2.0597497041308088e-08
1876,3.567148709748835e-08
1877,2.9068635498674666e-08
1878,2.717589886458427e-08
1879,2.077170613290491e-08
1880,2.1178893305773272e-08
1881,2.2312024228199334e-08
1882,2.861815673327328e-08
1883,3.4756364897248204e-08
1884,2.9047466654219534e-08
1885,2.7716232864349877e-08
1886,2.9040586824180536e-08
1887,2.0892558794116667e-08
1888,3.360525724360741e-08
1889,3.069916942877171e-08
1890,3.47382496102e-08
1891,2.1672347472190268e-08
1892,3.13425623232888e-08
1893,3.7566341148931315e-08
1894,1.1972924873759894e-08
1895,2.1065151400989635e-08
1896,1.8280790214930676e-08
1897,1.6897470089816125e-08
1898,2.6594268121016285e-08
1899,3.205995469102163e-08
1900,2.7512582434496835e-08
1901,1.900171220370339e-08
1902,1.7677022512430085e-08
1903,2.4841012802312434e-08
1904,2.6335662539622717e-08
1905,2.9416327151920996e-08
1906,3.240836221607424e-08
1907,2.8799922446864912e-08
1908,2.357466755142923e-08
1909,2.6954818821423032e-08
1910,2.672075360976578e-08
1911,2.3409645777405785e-08
1912,1.9795800554334164e-08
1913,2.704524781904638e-08
1914,3.080502253283157e-08
1915,2.0027295377644805e-08
1916,1.8678685265172135e-08
1917,7.676496771580332e-09
1918,3.101321510712296e-08
1919,8.287063479883727e-09
1920,1.3630017114962811e-08
1921,1.5902768879527684e-08
1922,2.0658220023506146e-08
1923,1.4862327368803108e-08
