year,plusieurs_DET ans_NOUN,plusieurs_DET bancs_NOUN
1800,9.432493897065797e-09,6.288328657788611e-08
1801,7.143547753329926e-09,4.7623650800687756e-08
1802,2.2378401354217203e-08,7.384872446891677e-08
1803,1.5602713787643552e-08,3.315576790896557e-08
1804,2.4718509461507665e-09,7.415553038292444e-08
1805,5.685755422035754e-09,1.194008660831969e-07
1806,2.881669125542885e-09,6.051505341275742e-08
1807,8.540865792383556e-09,1.7935817098191364e-07
1808,0.0,1.8581806315864924e-07
1809,4.518061036407062e-09,1.2198765064752592e-07
1810,1.4040760554223652e-08,9.360506680877734e-08
1811,5.0141535368197765e-09,7.019814773912003e-08
1812,1.8670458068470452e-08,5.867858021701977e-08
1813,5.751483289628823e-09,8.052076339026826e-08
1814,3.1466771410748606e-09,2.8320094713762956e-08
1815,2.697223555614414e-09,1.6183341777775695e-07
1816,2.3176038865813098e-09,1.0429217667251578e-07
1817,9.341240669868967e-09,1.214361304846534e-07
1818,1.7881766067873173e-08,7.74876554032744e-08
1819,3.1053151161586356e-09,1.0765091928988113e-07
1820,2.610625848831205e-08,3.20394981656591e-08
1821,4.2404398215012407e-08,5.9168929311681495e-08
1822,4.411270992932259e-08,1.5639960793123464e-07
1823,9.882687224127551e-09,1.0969782504588466e-07
1824,8.252690264498597e-08,1.1031657454196875e-07
1825,6.163809906922779e-09,1.1447075665138584e-07
1826,4.4039921931471326e-08,1.7880207536791204e-07
1827,3.133872894522938e-08,6.728609491801762e-08
1828,8.346794067026764e-08,9.722639049414283e-08
1829,1.2859763920403111e-08,1.3116959185488497e-07
1830,1.6698937344017395e-08,7.82762670237247e-08
1831,3.274153215215847e-08,5.456922114177587e-08
1832,1.2176972319366541e-08,1.6371263278358583e-07
1833,4.6334514003376626e-09,2.1545548811729986e-07
1834,3.547121618652227e-08,1.0548019879763615e-07
1835,2.647080776796429e-08,1.512617515686543e-07
1836,2.352262562510532e-08,9.812295154176809e-08
1837,4.0355768504696243e-08,1.175883540538436e-07
1838,2.3354999711955315e-08,1.2939932347855176e-07
1839,1.677954131196202e-08,1.1186360371340243e-07
1840,1.6561189752906103e-08,8.216898378377024e-08
1841,1.6051371787284552e-08,1.5216700433029473e-07
1842,5.366612043644636e-08,7.915752542331234e-08
1843,5.906910960362666e-09,1.0750578383067477e-07
1844,3.0735943568060975e-08,1.3831174872080965e-07
1845,1.5066614622583074e-08,9.765398734096209e-08
1846,2.2247105491146613e-08,1.2645723135307207e-07
1847,1.1325769655456952e-08,1.7581909617092606e-07
1848,3.218088684420195e-09,1.124721991097033e-06
1849,1.005529792763582e-08,1.3574652497627682e-06
1850,1.2899092460827433e-08,8.092482985944116e-07
1851,1.0319102239364497e-08,7.874764853532668e-07
1852,1.4323199959420663e-08,8.528814676722618e-08
1853,3.1651239851271384e-08,1.0749476997418128e-07
1854,2.6497887994914038e-08,1.2157854700767246e-07
1855,3.8209947206269135e-08,9.446348414599015e-08
1856,1.5531567587601103e-08,1.3616007032979383e-07
1857,3.807577053649425e-08,1.0202353761812333e-07
1858,1.761723389392955e-08,9.983099191757105e-08
1859,2.6988518975201714e-08,1.0999094701702461e-07
1860,1.7393299245327398e-08,3.240646209157205e-07
1861,8.488734437595014e-09,2.999352819443857e-07
1862,7.6805766469068e-09,3.2890940149243875e-07
1863,9.989241933627824e-09,1.3235745710549196e-07
1864,3.548098703731739e-08,6.55918756642393e-07
1865,2.3534221293974866e-08,4.4809157140335287e-07
1866,2.238181906477621e-08,4.72451009869701e-07
1867,9.220341823379385e-09,1.0069583495919687e-06
1868,1.7289560005906424e-08,1.0467593163365763e-06
1869,2.0510780074367574e-08,8.521740824107837e-07
1870,1.77755516972411e-08,1.1812140385814018e-06
1871,1.3807530230280918e-08,4.8230765452572655e-06
1872,6.652073114565837e-09,2.885185469425622e-06
1873,2.3944018323618366e-08,3.091771255014919e-06
1874,1.6131444624534197e-08,2.790739911162632e-06
