year,deux_DET ailes_NOUN,deux_DET belles_NOUN
1800,1.0375742718338188e-06,5.973912564627426e-08
1801,1.5168133558063346e-06,1.404897762569135e-07
1802,1.3292770120187924e-06,1.0517848636482086e-07
1803,2.94891282237586e-06,1.8333189077957002e-07
1804,1.0628959479230815e-06,1.483110612099381e-07
1805,1.083136410784391e-06,5.685755466444675e-08
1806,8.472107424495334e-07,1.2391176706927354e-07
1807,6.491057717994408e-07,1.395007984683616e-07
1808,8.860349289818714e-07,1.2690014017380236e-07
1809,7.951787637239249e-07,1.0617443102489688e-07
1810,6.552354747668687e-07,1.9189040045830552e-07
1811,6.117267048466601e-07,2.055802976741461e-07
1812,4.1341727730070943e-07,1.7336853197491564e-07
1813,4.428642150777762e-07,1.6966875193702435e-07
1814,4.090680283397319e-07,1.6362720778317907e-07
1815,5.93389177794279e-07,2.0229176733721488e-07
1816,1.9166584337426684e-06,1.6454987949998667e-07
1817,2.0986654121202264e-06,1.0898114144453075e-07
1818,7.987188901381614e-07,1.025221258998954e-07
1819,8.539616018765628e-07,1.0247539616869972e-07
1820,4.4261975506998397e-07,1.6019749793372284e-07
1821,6.123984395145499e-07,1.23268605989324e-07
1822,6.416394029429284e-07,8.321261191213125e-08
1823,5.682544674812107e-07,8.004976415065812e-08
1824,7.065313667453665e-07,1.24632470566155e-07
1825,8.012953003344592e-07,9.597932759675132e-08
1826,5.85730944635543e-07,1.1098060337388915e-07
1827,5.530363971217866e-07,1.0231173064312316e-07
1828,6.438955555410075e-07,1.0272977313263709e-07
1829,5.392527819836346e-07,1.423147235612987e-07
1830,7.357969238341866e-07,6.157732990175191e-08
1831,4.6305881440389385e-07,1.3408437893325242e-07
1832,7.130294026325146e-07,9.065079620285132e-08
1833,5.710729098495904e-07,1.1004447308948784e-07
1834,6.226132391873307e-07,1.0828055962974759e-07
1835,9.363103075088475e-07,1.0739584865859797e-07
1836,7.62805150600343e-07,1.962459084126067e-07
1837,6.582165070767587e-07,1.8647147381756213e-07
1838,6.791886129065006e-07,1.4644215884374034e-07
1839,6.760756576795757e-07,1.5521074736568607e-07
1840,5.809155929625831e-07,1.2102408675218612e-07
1841,6.516856601024301e-07,1.624398793254045e-07
1842,5.49406912853101e-07,1.1739464156335089e-07
1843,6.62755434532869e-07,1.2936135806995708e-07
1844,5.334881301166661e-07,1.399583151595607e-07
1845,6.182892455797173e-07,1.1885885342621805e-07
1846,6.264316283477456e-07,9.894107577679279e-08
1847,5.301538976709708e-07,8.521293093366467e-08
1848,4.3766007173928756e-07,9.65426585342044e-08
1849,6.670014300880212e-07,1.0725651122811541e-07
1850,6.028628725118779e-07,1.1744963046567136e-07
1851,6.952494793210917e-07,1.0190113330921236e-07
1852,8.17073445347205e-07,9.114764054629632e-08
1853,6.891609523052011e-07,1.1107793174147673e-07
1854,4.733250253963206e-07,9.871762318702793e-08
1855,6.920246065078572e-07,1.777823968041048e-07
1856,4.83031763920394e-07,1.144158821020369e-07
1857,6.56562951562023e-07,1.7134097252125002e-07
1858,6.038795934415475e-07,1.8351284936102275e-07
1859,5.525008148765664e-07,1.6600485786000263e-07
1860,9.479348150875921e-07,1.4738532172486885e-07
1861,6.192060340026728e-07,1.4383688995422972e-07
1862,7.825152019691473e-07,1.5180433798889226e-07
1863,5.638926836581959e-07,1.8629936349157106e-07
1864,5.322148197706156e-07,1.361702768321038e-07
1865,5.135167260306162e-07,1.3743985682879156e-07
1866,5.804675931031511e-07,1.153150286370419e-07
1867,6.682321220807808e-07,1.2132028537337192e-07
1868,5.893269587886607e-07,1.1213514028440841e-07
1869,5.718601077120411e-07,1.2501809232290384e-07
1870,6.290251377549794e-07,1.0894692792362548e-07
1871,6.415191045050506e-07,1.1258447574213903e-07
1872,5.061622916358033e-07,1.2638939139719696e-07
1873,6.051850558463912e-07,1.0774808378855028e-07
1874,6.016431424171742e-07,9.917850896101754e-08
1875,5.561324201153184e-07,1.0527609894950274e-07
1876,7.708668992023604e-07,1.6747461373256556e-07
1877,6.413654176640193e-07,1.3915836305500306e-07
1878,6.117596704768857e-07,1.0749578116531211e-07
1879,5.571704599915961e-07,1.3745981153334697e-07
1880,5.666958031724789e-07,1.1102873642698796e-07
1881,5.201490456130387e-07,1.4223914845956642e-07
1882,5.357585255438835e-07,1.217935459152386e-07
1883,6.508919021541715e-07,1.4850446028447095e-07
1884,5.644450808972579e-07,9.242376108886674e-08
1885,5.182291351601975e-07,1.1988882286928515e-07
1886,5.97590783080193e-07,1.342320494757132e-07
1887,5.079503360150284e-07,1.1229750329633248e-07
1888,5.636806417186335e-07,1.204716788549831e-07
1889,4.4858379766310463e-07,1.0838686481662307e-07
1890,5.52534798359261e-07,1.2518878378386944e-07
1891,5.277854295826501e-07,1.0772432190719883e-07
1892,5.06495782204297e-07,1.10952671050768e-07
1893,4.976000713696749e-07,7.944357438560701e-08
1894,6.84977317533253e-07,1.1216739981279034e-07
1895,4.742668266999317e-07,8.18531553647972e-08
1896,5.212973714918689e-07,1.008391965484634e-07
1897,5.884980538439777e-07,8.79833779166006e-08
1898,5.120811046310791e-07,8.996783940062869e-08
1899,5.477830455902222e-07,7.959712711169686e-08
1900,5.813979253588286e-07,8.98052188169629e-08
1901,5.650214927044317e-07,7.656572353909041e-08
1902,8.259097672436155e-07,7.905556742571207e-08
1903,4.768394639143025e-07,9.936405298560658e-08
1904,4.53080898132896e-07,9.56683265940228e-08
1905,4.5414679838984284e-07,7.48310089448978e-08
1906,4.856110269457758e-07,8.539346429969896e-08
1907,5.626270844771852e-07,8.074264279400722e-08
1908,5.991894660439812e-07,6.581261580151931e-08
1909,7.173282821071325e-07,7.151278769157443e-08
1910,6.530551868166867e-07,1.0527976979091136e-07
1911,6.113109840555353e-07,9.576673454247953e-08
1912,5.730363135114658e-07,9.220675378784904e-08
1913,6.352981500867827e-07,6.46964752881729e-08
1914,4.660933736744255e-07,9.174538639911134e-08
1915,5.042166311142182e-07,7.304072635605507e-08
1916,5.933229587640199e-07,6.372727856529536e-08
1917,4.2330398830614513e-07,5.70254080622945e-08
1918,5.903997468692523e-07,8.729645895044769e-08
1919,5.451046281024219e-07,8.747455915170121e-08
1920,5.012817538840864e-07,8.253732941554404e-08
1921,5.263059463800346e-07,6.891199966219119e-08
1922,4.7809022163392e-07,6.713921302248238e-08
1923,5.021343199018702e-07,7.537323298834053e-08
1924,5.530506737017049e-07,7.21930950575711e-08
1925,5.576076427260546e-07,8.248633776020142e-08
1926,5.361292423344821e-07,1.226075214688649e-07
1927,5.909088969247023e-07,6.243565842112275e-08
1928,5.427369735855336e-07,8.226749503847941e-08
1929,4.935200017541774e-07,8.021092900989402e-08
1930,4.957700774355089e-07,7.142450630936992e-08
1931,4.744628467889811e-07,1.0036713771199857e-07
1932,4.471490813173773e-07,7.342889762895766e-08
1933,3.7509065364815797e-07,7.914756672278145e-08
1934,4.2774241038046057e-07,6.949316500026725e-08
1935,5.062583987580638e-07,9.574627135577884e-08
1936,5.468246175865943e-07,6.304851485339213e-08
1937,4.3439356467445123e-07,6.421470377659944e-08
1938,5.082363951913749e-07,5.963998539471049e-08
1939,4.2670400546285236e-07,7.035263482890741e-08
1940,5.020850224468631e-07,1.0143131645712344e-07
1941,4.4862838777248726e-07,3.541802984230458e-08
1942,4.3085807099885187e-07,4.8547389663866625e-08
1943,6.706473172357619e-07,6.677440911317944e-08
1944,7.133273456361167e-07,4.819779064746399e-08
1945,4.858063977764004e-07,6.7533628023142e-08
1946,4.440832253038707e-07,7.23897422005848e-08
1947,4.2557510582241775e-07,3.33784391237657e-08
1948,5.468559365340298e-07,4.7836308247894976e-08
1949,4.515823945894226e-07,4.515823803785679e-08
1950,5.062432339997258e-07,4.998619784757352e-08
1951,4.360513319312531e-07,6.716683031982029e-08
1952,4.681892988855907e-07,4.5342657184477275e-08
1953,4.137149804961382e-07,5.0636989712415925e-08
1954,4.6028644007378716e-07,4.495366479062568e-08
1955,4.6177190249352407e-07,6.006788888512915e-08
1956,4.2995228355380277e-07,5.407107739330286e-08
1957,4.4881990390877036e-07,6.449577671929774e-08
1958,4.450466875027814e-07,5.873292829861043e-08
1959,3.80561719026673e-07,5.425523585955716e-08
1960,4.602354106708617e-07,4.775374895515938e-08
1961,4.300910703136651e-07,6.114379980104445e-08
1962,4.4330274917570023e-07,4.693047905846015e-08
1963,4.881870179218595e-07,4.978860967952414e-08
1964,4.6116480589830644e-07,5.7189301738702625e-08
1965,4.618404556566702e-07,6.29284970798949e-08
1966,4.514345928186003e-07,6.314545242247505e-08
1967,4.31897411168336e-07,6.508042993402796e-08
1968,3.894057503117665e-07,7.59049312293314e-08
1969,4.927807211174695e-07,5.631779842474316e-08
1970,3.706572222483828e-07,6.438215160997629e-08
1971,4.4652674091594236e-07,4.624557892185521e-08
1972,4.4888785133423426e-07,6.617889436455471e-08
1973,5.022528632991907e-07,7.663353018827479e-08
1974,3.482228958517908e-07,4.050411495093442e-08
1975,4.1122656213588016e-07,6.054168943947502e-08
1976,3.3995484827187283e-07,5.1993095606661655e-08
1977,3.455547616937338e-07,4.642657769338143e-08
1978,5.643561920010143e-07,5.64356161802948e-08
1979,3.850598488952528e-07,4.8571377031514373e-08
1980,5.366782094284872e-07,5.457744700620992e-08
1981,4.478488992987195e-07,6.578571376536502e-08
1982,3.8983114247770345e-07,5.8350521303651703e-08
1983,4.3386222259300666e-07,4.48387442730791e-08
1984,3.879536549789009e-07,4.813177145734926e-08
1985,5.462126466682093e-07,3.849957053159159e-08
1986,5.484953966572448e-07,4.076250181839214e-08
1987,4.479228881137942e-07,4.949761800432384e-08
1988,3.6758875232578703e-07,5.636760702643073e-08
1989,4.181949115888983e-07,4.7746662623637803e-08
1990,3.688736764928535e-07,5.2307049358546465e-08
1991,4.3023154816523856e-07,4.161640188016236e-08
1992,4.496114343055524e-07,4.1324580646318054e-08
