year,énormes_ADJ bancs_NOUN
1800,2.5153315874604232e-08
1801,7.619784270218588e-08
1802,5.147032311469957e-08
1803,2.9255089017965474e-08
1804,7.4155526164076946e-09
1805,1.1371510844071508e-08
1806,0.0
1807,2.8469551160981155e-09
1808,2.039466551195801e-08
1809,6.7770917766551975e-09
1810,9.360507036149102e-09
1811,4.763445815569867e-08
1812,1.226915742336132e-07
1813,0.0
1814,4.405347908686963e-08
1815,2.6972236000233352e-08
1816,4.8669683394564345e-08
1817,2.490997452753163e-08
1818,1.1921176934492905e-08
1819,1.6561680027393777e-08
1820,2.254631326081835e-08
1821,1.3806083387635226e-08
1822,5.9151133768864383e-08
1823,1.9765373338032077e-08
1824,3.3684450784221553e-08
1825,1.1447076175841175e-08
1826,1.9377566218281572e-08
1827,1.013900075008678e-08
1828,1.4675682002973645e-08
1829,3.600733933240008e-08
1830,2.817945699007396e-08
1831,1.5591206103948707e-09
1832,2.0294953273491956e-08
1833,3.1275796175123105e-08
1834,2.6136685704614138e-08
1835,3.025235173481633e-08
1836,2.083432448785061e-08
1837,5.5663127440652715e-09
1838,1.3886756633496589e-08
1839,2.6567605004856887e-08
1840,1.0828470564661075e-08
1841,2.5682194149112547e-09
1842,1.2745703159566801e-08
1843,1.8902115428431898e-08
1844,2.6893950177964143e-08
1845,3.738752596404993e-08
1846,2.3418005312692003e-08
1847,1.0786447290911383e-08
1848,1.287235473768078e-08
1849,1.8434713311421547e-08
1850,1.2899092460827433e-08
1851,7.15887722435582e-08
1852,3.580800012059626e-08
1853,2.329053394589664e-08
1854,1.3508727469968562e-08
1855,1.6451505047143655e-08
1856,7.765783571755946e-09
1857,1.122747050885664e-08
1858,2.3489644007668176e-08
1859,1.2221216039165483e-08
1860,2.6089947979812678e-08
1861,1.650587222457034e-08
1862,2.5752521892741242e-08
1863,9.989241434027463e-09
1864,2.445311331200628e-08
1865,1.5061901947888146e-08
1866,1.216403244796993e-08
1867,2.0867089389753346e-08
1868,2.1735445443482604e-08
1869,2.3929244363785074e-08
1870,9.747882501187632e-09
1871,0.0
1872,3.628403577593531e-09
1873,1.616221290134945e-08
1874,1.4936523129449597e-08
1875,2.460256709468922e-08
1876,2.0556450763820067e-08
1877,1.1132669008873108e-08
1878,1.3889904337816006e-08
1879,1.5273313280772527e-08
1880,1.6686399817444908e-08
1881,2.1614773970668466e-08
1882,1.1979693681496428e-08
1883,1.64302811356265e-08
1884,2.442627788923346e-08
1885,1.2891271161663553e-08
1886,1.936039240035825e-08
1887,9.140494583448344e-09
1888,6.340614699951175e-09
1889,2.8819629349641218e-08
1890,2.5562107097698572e-08
1891,1.5935549768641977e-08
1892,1.817868522380195e-08
1893,1.847524977449666e-08
1894,1.6384001710889606e-08
1895,2.5880042997528108e-08
1896,3.538217541176891e-08
1897,3.6708296846654775e-08
1898,1.4711722506888236e-08
1899,9.39688327150634e-09
1900,1.8168686111152965e-08
1901,2.5708198236884527e-08
1902,2.455141867585553e-08
1903,2.430099144135056e-08
1904,1.6123875568041512e-08
1905,1.857873321853276e-08
1906,1.4403716441790948e-08
1907,1.5942815068115124e-08
1908,1.4734167663732478e-08
1909,5.5009836685826485e-09
1910,1.1757131268552712e-08
1911,7.448523575703803e-09
1912,2.0837685354990754e-08
1913,1.856046338843953e-08
1914,2.343860217024485e-08
1915,8.246533234057551e-09
