year,sommes_VERB à_ADP,sommes_VERB a_ADP,sommes_VERB bas_ADV
1800,1.4714689768879907e-06,1.8864986461863964e-08,3.144164484325529e-09
1801,1.3834670653523062e-06,2.6193007984787187e-08,0.0
1802,1.351655441794719e-06,1.1189200677108602e-08,0.0
1803,1.1819055316664162e-06,1.1702034896643454e-08,0.0
1804,1.16177000109019e-06,7.4155528384522995e-09,0.0
1805,1.412910251019639e-06,2.842877711017877e-09,0.0
1806,1.0662175782272243e-06,1.729001475325731e-08,0.0
1807,1.1217002793273423e-06,1.7081731140677903e-08,0.0
1808,1.0559905376794632e-06,1.3596443526608937e-08,0.0
1809,1.301201564274379e-06,6.7770917766551975e-09,0.0
1810,1.3081308907203493e-06,1.8721014516387413e-08,0.0
1811,9.401537681696936e-07,5.0141535368197765e-09,0.0
1812,1.0428784662508406e-06,5.3344164641089264e-09,0.0
1813,7.764502356621961e-07,0.0,0.0
1814,1.1800038919318467e-06,5.349351184236184e-08,0.0
1815,1.1948700375796761e-06,1.3486117778072071e-08,0.0
1816,1.2677293170781923e-06,1.3905623319487859e-08,0.0
1817,1.3451385711960029e-06,2.490997452753163e-08,1.556873407970727e-09
1818,1.2934477808812517e-06,8.344824387052086e-09,0.0
1819,1.248336616299639e-06,1.449147024601416e-08,0.0
1820,1.495176661592268e-06,4.746592452420373e-09,0.0
1821,1.733649696689099e-06,1.0847637232913598e-08,0.0
1822,1.6321703242283547e-06,8.02049271442229e-09,0.0
1823,1.2570777698783786e-06,2.9648061450338048e-08,0.0
1824,1.4517997897200985e-06,9.263223965660927e-09,0.0
1825,1.4775533827560139e-06,7.92489873724378e-09,0.0
1826,1.4207279264155659e-06,3.5231937367541377e-09,0.0
1827,1.4489553450403037e-06,1.659109177820639e-08,0.0
1828,1.4042793736734893e-06,5.5033806956039655e-09,0.0
1829,1.399999632667459e-06,1.4574399298528107e-08,0.0
1830,1.493511263106484e-06,1.0436835617966267e-08,0.0
1831,1.6214854667850886e-06,1.4032084827420022e-08,0.0
1832,1.42876479003462e-06,9.4709785569691e-09,0.0
1833,1.6634090798106627e-06,1.9692168451435066e-08,0.0
1834,1.595271328369563e-06,2.240287466648283e-08,0.0
1835,1.8325362134419265e-06,2.647080776796429e-08,7.563087933704082e-10
1836,1.9194462765881326e-06,1.2769425294933967e-08,6.720750067579218e-10
1837,1.885588403638394e-06,1.2524203452102256e-08,0.0
1838,1.5931896086840425e-06,1.1361891427696946e-08,0.0
1839,1.6912377986955107e-06,9.088917840571753e-09,0.0
