year,nos_DET heures_NOUN
1800,9.432493364158745e-08
1801,5.9529563944948904e-08
1802,1.096541666356643e-07
1803,8.191424427650418e-08
1804,5.9324422707618396e-08
1805,4.5486043376286034e-08
1806,4.8988376022407465e-08
1807,5.97860605466849e-08
1808,1.0197332755979005e-07
1809,7.68070356205186e-08
1810,9.360507213784786e-08
1811,4.512738271955641e-08
1812,4.800974684471271e-08
1813,4.601186631703058e-08
1814,5.664018942752591e-08
1815,3.236668177919455e-08
1816,8.57513455798653e-08
1817,8.718490818182545e-08
1818,5.4837415719433125e-08
1819,9.005413570406517e-08
1820,5.22125169766241e-08
1821,1.3313008651039127e-07
1822,5.714601059025881e-08
1823,2.1445430498090445e-07
1824,1.1200079974571509e-07
1825,5.3713202774474667e-08
1826,7.134467683300727e-08
1827,6.083400155842966e-08
1828,9.447469984102952e-08
1829,4.458051439115707e-08
1830,1.1271782551780518e-07
1831,1.1849316616796557e-07
1832,1.068867558906561e-07
1833,1.8302133453218516e-07
1834,1.306834287451153e-07
1835,1.384045091867847e-07
1836,1.2769425195013895e-07
1837,7.51452237102157e-08
1838,8.521418637386091e-08
1839,8.669429307772702e-08
1840,1.0955864837569607e-07
1841,1.0658110793926312e-07
1842,1.1202802641108178e-07
1843,1.140033822899511e-07
1844,1.108689349216263e-07
1845,1.060243287054341e-07
1846,7.025401460580838e-08
1847,8.035903054093296e-08
1848,8.608387447317511e-08
1849,1.868609524890985e-07
1850,1.1744962868931452e-07
1851,1.186696703125989e-07
1852,8.007971130652436e-08
1853,1.0212003753728993e-07
1854,1.184611526650059e-07
1855,1.178140038859965e-07
1856,1.340891978562908e-07
1857,1.581608892742281e-07
1858,9.493731462084654e-08
1859,1.3799789400081863e-07
1860,1.4418129579141237e-07
1861,1.348765561459686e-07
1862,1.2560001805272947e-07
1863,1.7581064803984248e-07
1864,1.3185502290014028e-07
1865,1.3743985505243472e-07
1866,1.4791463520680281e-07
1867,9.462982575314527e-08
1868,1.0274938044840809e-07
1869,1.3234336893042098e-07
1870,8.88777544894026e-08
1871,1.2426777296070668e-07
1872,1.1368998076299874e-07
1873,1.2510749103356034e-07
1874,9.380136356540447e-08
1875,1.0985331994062264e-07
1876,7.497058351901842e-08
1877,9.648312992993624e-08
1878,9.602150763399209e-08
1879,1.0324759713853382e-07
1880,1.245062188903745e-07
1881,1.3178039104388972e-07
1882,1.3510431795538125e-07
1883,1.1880356964866223e-07
1884,1.1486952899986136e-07
1885,1.1602144323052954e-07
1886,9.68019551184085e-08
1887,9.271072876071429e-08
1888,1.2173980490359781e-07
1889,1.0274824385758663e-07
1890,1.1470176214389838e-07
1891,1.2111018143912133e-07
1892,1.1784803533032573e-07
1893,1.0715644643832789e-07
1894,1.014547814648381e-07
1895,1.3722440495023136e-07
1896,1.191199873185056e-07
1897,1.4916387236496575e-07
1898,9.95870483855299e-08
1899,9.507434484135047e-08
1900,1.1835600943754798e-07
1901,9.780293241945515e-08
1902,9.869670414275333e-08
1903,8.046328070498987e-08
