year,deux_DET oeufs_NOUN,deux_DET boeufs_NOUN
1800,1.792173778270012e-07,2.798306404372397e-07
1801,1.5239568051939045e-07,2.2383116515811707e-07
1802,1.1636768704192946e-07,1.3650824826072494e-07
1803,7.118738443168127e-07,1.287223891921485e-07
1804,1.8786066657838774e-07,6.426812149129546e-08
1805,2.5585899399160894e-08,2.2174446634437572e-07
1806,2.305335300434308e-08,2.305335300434308e-08
1807,3.701041606518629e-08,3.9857372513552036e-08
1808,3.3991110370834576e-08,9.064295625194063e-08
1809,2.710836710662079e-08,2.710836710662079e-08
1810,2.8081521108447305e-08,5.616304221689461e-08
1811,1.2535384286138651e-08,6.267691565753353e-08
1812,2.6672082320544632e-09,1.8670456736202823e-08
1813,4.3136124450171565e-08,6.326631529773863e-08
1814,1.2586708564299443e-08,4.090680150170556e-08
1815,4.0458352890127e-08,2.4275012000529728e-08
1816,1.622322720606917e-08,2.7811246638975717e-08
1817,9.029865566390072e-08,4.670620157298799e-08
1818,1.2517236314124602e-07,4.768470773797162e-08
1819,4.140420006848444e-09,1.656168058250529e-08
1820,2.3732963150280284e-08,2.3732962262101864e-08
1821,1.7750679148775816e-08,2.465371995441501e-08
1822,1.1028177482330648e-08,1.7043547018147365e-08
1823,4.644862983127496e-08,2.668325471688604e-08
1824,1.0947446504872005e-08,1.2631669044083083e-08
1825,2.905796137042671e-08,1.144707595379657e-08
1826,2.9947145208097936e-08,1.2331177856594877e-08
1827,1.3825909916942436e-08,1.6591091167583727e-08
1828,1.9261833017480967e-08,1.46756822805294e-08
1829,1.2002446148073886e-08,1.971830521085849e-08
1830,1.2524203230057651e-08,2.5048405349892278e-08
1831,2.494592976631793e-08,1.2472964883158966e-08
1832,5.411987746839486e-09,3.2471927369215337e-08
1833,1.7375443306377747e-08,4.8651238260255525e-08
1834,1.120143711119681e-08,1.5868701908061666e-08
1835,2.3445572594482655e-08,2.4958190181223472e-08
1836,1.7473950453261722e-08,1.8818099967177204e-08
1837,9.74104708006962e-09,2.7135774516295896e-08
1838,1.009945904684173e-08,2.840472923537618e-08
1839,1.5381245721535208e-08,1.5381245721535208e-08
1840,1.7198159785181133e-08,3.1848443160509277e-08
1841,1.4767261635739715e-08,1.0914932957462042e-08
1842,1.0062397581833693e-08,1.0062397137744483e-08
1843,7.088293230150811e-09,1.063243981747064e-08
1844,1.591682791124427e-08,8.781698035420504e-09
1845,6.696273757711424e-09,8.928364714222425e-09
1846,1.1123552079439492e-08,1.2294453011207906e-08
1847,7.011190739092399e-09,5.9325460100012606e-09
1848,1.0458788002321029e-08,7.24069959545659e-09
1849,1.5920887719289567e-08,5.02764896381791e-09
1850,1.5614690873633208e-08,1.2899092460827433e-08
1851,1.3543821175687754e-08,9.674158363282004e-09
1852,2.6042181744401205e-09,1.1067927241370512e-08
1853,1.4332635966951557e-08,1.6124216628554677e-08
1854,6.754363734984281e-09,2.5458756436336216e-08
1855,7.960405667972736e-09,1.326734277995456e-08
1856,8.28350277259915e-09,9.836659486950339e-09
1857,6.345961978126979e-09,8.78671624349181e-09
1858,1.1744822003834088e-08,1.0276719919488642e-08
1859,3.5645213447565993e-09,6.110608019582742e-09
1860,5.034902272882391e-09,5.95033897154984e-09
1861,5.187559992680946e-09,4.2443675241088386e-09
1862,3.6595690033891515e-08,9.487771457372673e-09
1863,1.148762801550518e-08,9.489779628779615e-09
1864,7.1920918109924514e-09,1.1507347075223606e-08
1865,6.118897832863013e-09,4.706844247692743e-09
1866,3.8924903300596725e-09,2.238181906477621e-08
1867,9.7056229719783e-10,1.94112459439566e-08
1868,9.385760613156435e-09,4.939874287401835e-09
1869,3.4184632902167778e-09,3.4184632902167778e-09
1870,5.160643912205387e-09,1.490852685748223e-08
1871,4.248470908407853e-09,1.274541272522356e-08
1872,9.071008721939222e-09,5.442605366390296e-09
1873,6.58460502789282e-09,1.2570609442263958e-08
1874,9.559374625212058e-09,1.9716210886144836e-08
1875,6.293679688518239e-09,9.154443425529735e-09
1876,5.441413541973361e-09,2.6602464453517882e-08
1877,8.658742389755503e-09,8.658742389755503e-09
1878,1.8117265465633636e-09,1.3285995192902078e-08
1879,9.163987568783227e-09,1.4051447894125602e-08
1880,6.417846032391594e-09,1.8611754359909582e-08
1881,8.367009307619355e-09,4.8807553554297556e-09
1882,3.9932310791357395e-09,7.320923423037584e-09
1883,7.583206618200222e-09,1.7062215196261832e-08
1884,5.281357573494461e-09,9.902545450302114e-09
1885,1.0957580676151935e-08,5.156508553483263e-09
1886,7.744156427236248e-09,9.034849701716752e-09
1887,3.9173548849191775e-09,1.6322312390570914e-08
1888,7.60873763994141e-09,6.974675947901687e-09
1889,8.14467782106476e-09,1.1277245803853475e-08
1890,1.245333464128251e-08,6.554386366985909e-09
1891,5.099376032546843e-09,1.2748439970344805e-08
1892,1.002961980134387e-08,7.522214851007902e-09
1893,2.0938616618337846e-08,4.926733243593162e-09
1894,1.1972924207626079e-08,8.822155450616265e-09
1895,7.22233739480771e-09,1.3240951446391591e-08
1896,6.486731873867058e-09,1.474257199651774e-08
1897,7.574727511894253e-09,4.078699600285063e-09
1898,7.921696743018458e-09,4.52668391659472e-09
1899,1.3818945987509323e-08,1.8241008703512307e-08
1900,1.3496738171525635e-08,1.038210584169974e-08
1901,6.14761275219422e-09,6.706486921359556e-09
1902,1.276673833316977e-08,8.838510812125833e-09
1903,7.560308379339631e-09,9.720396931811592e-09
1904,5.374625189347171e-09,9.674325340824907e-09
1905,1.8062656703676794e-08,1.1353670004154992e-08
1906,7.201858387428928e-09,6.6874399351490865e-09
1907,1.3371392937333582e-08,4.114274698707732e-09
1908,1.3260750053589732e-08,1.3751889627044989e-08
1909,1.3202360427122528e-08,1.705304847332556e-08
1910,1.0153886287334046e-08,1.4963622119168463e-08
1911,2.3409646110472693e-08,1.1172786140711821e-08
1912,1.458637982620914e-08,1.0418842677495377e-08
1913,1.007568034561146e-08,9.545381374209683e-09
1914,1.3393487763302403e-08,8.705766885164223e-09
1915,3.534228543156104e-08,8.246533123035249e-09
1916,4.394984820521586e-09,6.592477230782379e-09
1917,8.773139548168274e-09,7.676497326691845e-09
1918,1.1486376294556067e-08,4.594550517822427e-09
1919,1.012863304339362e-08,2.578197527691728e-08
1920,8.329454903588385e-09,7.572231730534895e-09
1921,1.287367074054302e-08,9.844571380313027e-09
1922,1.4018077698629838e-08,9.591316185719734e-09
1923,2.5478275045287546e-08,1.4862327368803108e-08
1924,2.7072411756812187e-08,1.8048273875415077e-08
1925,2.0896537389347714e-08,7.698724324711748e-09
1926,3.1209186346359274e-08,7.802296586589819e-09
1927,2.3413372574054847e-08,1.8953682623390478e-08
1928,1.3711249802206282e-08,1.5996457491951332e-08
1929,2.2280812750352652e-08,6.684243825105796e-09
1930,2.100720719599991e-08,1.2604324362008867e-08
