year,leurs_DET arts_NOUN,leurs_DET barres_NOUN
1800,6.697070524808169e-07,3.458580977167003e-08
1801,5.810085745849847e-07,1.1905912700171939e-08
1802,5.885519556159124e-07,4.475680270843441e-09
1803,4.797834440850579e-07,1.950339267864365e-08
1804,6.451530942808148e-07,0.0
1805,7.078765733581349e-07,2.55858996212055e-08
1806,5.648071566000112e-07,0.0
1807,7.430552741993779e-07,8.540865792383556e-09
1808,7.387401268488247e-07,2.945896149242344e-08
1809,4.721373887406344e-07,0.0
1810,3.9314130306777884e-07,2.3401267590372754e-09
1811,6.117267474792243e-07,1.504245972228091e-08
1812,6.107906767027771e-07,0.0
1813,5.780240712738305e-07,6.614205716459765e-08
1814,4.310947678831667e-07,3.1466771410748606e-09
1815,4.234641099998271e-07,8.091670444798638e-09
1816,4.403447402268057e-07,0.0
1817,6.04066890730337e-07,4.670620334934483e-09
1818,3.3379297725844026e-07,1.1921176934492905e-08
1819,5.247982581835231e-07,5.175524897538253e-09
1820,6.111237560446625e-07,4.746592452420373e-09
1821,4.4080853101036155e-07,9.861488514673056e-09
1822,4.661911532366503e-07,3.0076847679083585e-09
1823,3.251403942750031e-07,4.941343334508019e-09
1824,4.244240940920463e-07,5.894778887238772e-09
1825,5.820398083500322e-07,1.3208164340028361e-08
1826,5.443334156751689e-07,1.2331177856594877e-08
1827,5.281497443831995e-07,3.133872894522938e-08
1828,4.356843135155941e-07,9.172301140836225e-09
1829,6.575626281812852e-07,1.457439946506156e-08
1830,4.769634003309875e-07,6.262101504006523e-09
1831,3.788663036630169e-07,2.494592976631793e-08
1832,5.114328511801602e-07,2.0294953273491956e-08
1833,5.479056355284229e-07,1.853380560135065e-08
1834,4.6579308410343856e-07,1.8669061851994684e-09
1835,3.5697774336540533e-07,1.2100940693926532e-08
1836,3.884593628988853e-07,1.8146025126952736e-08
1837,4.606123740202861e-07,1.3915782304252389e-08
1838,3.017213447975564e-07,3.092959488526503e-08
1839,2.740658295863341e-07,1.0487212875887053e-08
1840,3.293129053894006e-07,1.0828470564661075e-08
1841,4.0706278525703965e-07,2.6966304744746594e-08
1842,2.8174712429773763e-07,2.4149754196400863e-08
1843,4.1112101367701825e-07,3.0125246297529884e-08
1844,3.8255273260290323e-07,1.4819115712327857e-08
1845,2.6952499787569195e-07,2.6785095030845696e-08
1846,3.653208899834226e-07,5.269050973311096e-09
1847,2.9932391143461246e-07,1.294373674909366e-08
1848,3.210043532653195e-07,4.103063133698015e-08
1849,2.279200925769942e-07,1.4245005175439474e-08
1850,2.769910292244049e-07,3.394498016007219e-09
1851,2.702314800817618e-07,8.384270167027807e-09
1852,2.8776610538905345e-07,1.2370036550635177e-08
1853,2.974021926505088e-07,2.508211416341055e-08
1854,2.317266301066212e-07,1.0391328686409906e-08
1855,2.589785346174267e-07,1.5920811335945473e-08
1856,2.0656985633138447e-07,1.2425253714809514e-08
1857,2.1332195121459563e-07,2.880090299584026e-08
1858,2.437050765080606e-07,3.9149408159744326e-09
1859,2.9789212807607157e-07,1.8331824946926645e-08
1860,2.0002293132925786e-07,4.119465657481669e-09
1861,2.48531297430965e-07,1.131831339762357e-08
1862,2.8553672315467793e-07,1.445755604123633e-08
1863,2.3075148247730937e-07,1.897955925755923e-08
1864,2.2535221533281913e-07,9.109982990196386e-09
1865,2.20280310436749e-07,1.694463946932956e-08
1866,1.5034743816588758e-07,1.8002767276925624e-08
1867,2.3778775926075468e-07,2.4749338578544666e-08
