year,quelques_DET eaux_NOUN,quelques_DET beaux_ADJ
1800,7.074370231840987e-07,7.105811867802458e-07
1801,4.5242469548512076e-07,6.953053173219814e-07
1802,2.215461734067503e-07,6.176439057981042e-07
1803,3.58862413563088e-07,5.363432791227751e-07
1804,1.9527622896475805e-07,8.849226418305989e-07
1805,2.4164460610265337e-07,8.78449230690137e-07
1806,1.671368039524168e-07,6.829555729837011e-07
1807,5.209927849136875e-07,5.693910338777641e-07
1808,3.8296650961555656e-07,9.109617238323153e-07
1809,2.6882463544097845e-07,6.257514297836053e-07
1810,1.8955026881428694e-07,7.745819825544231e-07
1811,1.6546706893549867e-07,7.370805952255921e-07
1812,2.827240734859515e-07,8.001624784981232e-07
1813,2.5594101771275746e-07,1.1157877395362448e-06
1814,1.2272040805783035e-07,5.601085479867152e-07
1815,1.3755840200246894e-07,6.95883656476326e-07
1816,2.827476599520651e-07,6.558819052315812e-07
1817,3.0826092256575066e-07,6.756830472909314e-07
1818,1.4663048819585356e-07,7.486499438158489e-07
1819,2.411794675083456e-07,4.854642554619204e-07
1820,1.6494408328071586e-07,5.814576002904914e-07
1821,2.2188348380858258e-07,6.498720566128213e-07
1822,9.223566621585633e-08,5.443909572022676e-07
1823,1.1661570775700625e-07,5.267472253933647e-07
1824,1.7515914407795208e-07,5.557934628086514e-07
1825,1.0654586324321258e-07,6.797802285518628e-07
1826,1.2771577084791375e-07,4.879623283216006e-07
1827,2.3135354698666788e-07,5.428974052534841e-07
1828,1.797770985412228e-07,5.29241802382785e-07
1829,1.6803425140210493e-07,7.244333701805772e-07
1830,1.5863990387998683e-07,6.648264267994364e-07
1831,1.8709446880649239e-07,7.405822977091248e-07
1832,2.597754102939831e-07,5.83141684273869e-07
1833,2.0618858442844612e-07,1.0749607497473335e-06
1834,1.54953209374753e-07,7.542301148077968e-07
1835,1.4218605315363675e-07,6.511818710919215e-07
1836,1.5726554947192994e-07,5.941142866561222e-07
1837,1.315041417981888e-07,4.995765827686682e-07
1838,8.39517539930057e-08,6.602521303022968e-07
1839,1.2514740621583087e-07,6.005677022358213e-07
1840,1.1338045879938363e-07,7.356990465723356e-07
1841,1.585875448739671e-07,6.574641524537128e-07
1842,6.708265187782558e-08,5.601401333876765e-07
1843,9.982679527453797e-08,6.019142411162193e-07
1844,1.158086453401097e-07,5.570889562989123e-07
1845,8.705155485344562e-08,6.31123768357611e-07
1846,1.042101231973902e-07,6.047699940836537e-07
1847,1.429204301572895e-07,4.918620000182727e-07
1848,1.5044565060406967e-07,5.237439175687086e-07
1849,1.080944542763973e-07,6.963293799344683e-07
1850,1.7108270089494226e-07,5.533031952609235e-07
1851,1.0706068653831835e-07,5.75934851809734e-07
1852,8.593920131083621e-08,4.915461921939368e-07
1853,1.3616004856942254e-07,6.139145867223306e-07
1854,1.3560684219982022e-07,6.499776361579279e-07
1855,9.287139945968192e-08,6.686740796624235e-07
1856,1.0561466279312981e-07,6.202272722077851e-07
1857,1.2740739041561255e-07,6.375250727330695e-07
1858,2.1091743818146824e-07,6.444971063501725e-07
1859,1.3341493776408697e-07,5.927289539187086e-07
1860,1.1122556919929139e-07,6.577413422803602e-07
1861,1.4289369998365942e-07,7.517246469745942e-07
1862,1.897554264829182e-07,7.039022769106396e-07
1863,8.940371343246767e-08,7.062393834189606e-07
1864,1.3377291452343343e-07,6.410551236513129e-07
1865,7.578019678433634e-08,6.198913915511639e-07
1866,9.244664234131506e-08,6.768067812856771e-07
1867,7.76449837758264e-08,6.226157154287648e-07
1868,1.1411109124281893e-07,6.298339663146635e-07
1869,1.0353060631018707e-07,5.923708599198108e-07
1870,1.272958884968034e-07,5.625102126316506e-07
1871,7.647247701747517e-08,4.3971673679976675e-07
1872,7.377753852289004e-08,5.382131824660519e-07
1873,1.1493128937445363e-07,5.590928182641619e-07
1874,1.0754296697612631e-07,4.946976499553557e-07
1875,9.040012827199462e-08,5.750135017024149e-07
1876,7.738899010512057e-08,7.279401614823655e-07
1877,6.555904719096617e-08,6.147707374282163e-07
1878,6.280652220524985e-08,6.371238541191815e-07
1879,6.598071577990083e-08,6.9035375815929e-07
1880,7.380522948352564e-08,6.462771260373756e-07
1881,6.554156950500101e-08,5.675621288503407e-07
1882,5.790185153564664e-08,6.735249797884535e-07
1883,8.341527646393843e-08,6.483641605825596e-07
1884,6.007544151032107e-08,5.340772766260216e-07
1885,7.541393554078013e-08,5.453008036226947e-07
1886,6.517998230037847e-08,5.575792787482214e-07
1887,8.226445036285668e-08,5.366776072435187e-07
1888,7.989174743983085e-08,5.611444215958272e-07
1889,6.515742168033967e-08,5.375487219794195e-07
1890,7.340912944187039e-08,4.5946249116468607e-07
1891,9.816298707221449e-08,5.080253302480742e-07
1892,7.647584965297938e-08,4.7264584068784643e-07
1893,7.698020798585503e-08,5.222337371435515e-07
1894,1.0334524347399565e-07,5.847828568050772e-07
1895,4.754705296150519e-08,4.899152159509867e-07
1896,3.715128193970685e-08,5.336811419454079e-07
1897,4.486569560313569e-08,6.176316560413397e-07
1898,5.658354917947861e-08,5.641379630105803e-07
1899,1.1442086922386352e-07,5.450192297473677e-07
1900,7.786579825364015e-08,5.788024388664326e-07
1901,4.470991055161022e-08,5.28694691581677e-07
1902,3.83002145554201e-08,5.013399722031409e-07
1903,7.020286130199338e-08,5.060006529333805e-07
1904,5.96583396017536e-08,4.7296701310983735e-07
1905,8.463644651790503e-08,4.618879394513442e-07
1906,1.0597020061453577e-07,4.794380110695329e-07
1907,5.3485572137912385e-08,5.055415002175323e-07
1908,6.286578191350145e-08,5.780704839253303e-07
1909,5.721023033089523e-08,5.440472961026899e-07
1910,9.459147021217973e-08,5.536539973149956e-07
1911,6.065226587637085e-08,5.288451703222563e-07
1912,7.03271836322017e-08,4.995834839149893e-07
1913,9.33326214092034e-08,5.992378326880043e-07
1914,4.2859159776753586e-08,4.761384779783384e-07
1915,3.2986132936230206e-08,4.064362784106379e-07
1916,2.966614687238689e-08,4.493871958999307e-07
1917,3.728584241358135e-08,4.474301178447604e-07
1918,8.270190932080368e-08,5.031032870306262e-07
1919,3.867296449744373e-08,4.465806497933045e-07
1920,4.694783628522714e-08,5.164261978052309e-07
1921,4.998013158896697e-08,5.72499686768424e-07
1922,4.500540740082215e-08,6.669653487278993e-07
1923,4.671017039825642e-08,6.061706514515208e-07
