year,les_DET ans_NOUN,les_DET bancs_NOUN
1800,1.693132617219817e-05,3.7446998533141596e-06
1801,1.832796260714531e-05,3.6122539057714675e-06
1802,1.82630137715023e-05,2.669743253136403e-06
1803,1.89514466910623e-05,4.2965971545072534e-06
1804,1.9670989786391146e-05,2.901953095602039e-06
1805,1.4603862837248016e-05,2.680833574686403e-06
1806,1.6134465113282204e-05,2.4868804189281946e-06
1807,1.3924457562097814e-05,3.854777162359824e-06
1808,2.0578218027367257e-05,3.27900914953716e-06
1809,2.5804905817494728e-05,2.8847819066868396e-06
1810,1.5220184650388546e-05,2.782410774671007e-06
1811,1.898358459584415e-05,3.8558839605684625e-06
1812,1.2181139936728869e-05,3.8141077993714134e-06
1813,1.2598624380188994e-05,2.9763926647774497e-06
1814,1.43394081533188e-05,2.888649689225531e-06
1815,1.360209807899082e-05,3.840846233060802e-06
1816,1.250347304448951e-05,3.5714276407361467e-06
1817,1.3660007425642107e-05,3.6477543119417533e-06
1818,1.4607018783863168e-05,3.3677325745884445e-06
1819,1.5006952708063181e-05,3.3340733125442057e-06
1820,1.4165018910716753e-05,2.7399703981245693e-06
1821,1.4544709301844705e-05,3.066922815264661e-06
1822,1.308543414779706e-05,3.5059578635809885e-06
1823,1.2178435099485796e-05,3.3709844444729242e-06
1824,1.1067026207456365e-05,3.1890754144114908e-06
1825,1.3106901860737707e-05,3.4209146804187185e-06
1826,1.3817965736961924e-05,3.26335813838341e-06
1827,1.2623977454495616e-05,3.751430227794117e-06
1828,1.181117204396287e-05,3.346055549968696e-06
1829,1.2647149560507387e-05,4.042252612634911e-06
1830,1.240835445059929e-05,3.779178172180764e-06
1831,1.045702174451435e-05,3.6452240692597115e-06
1832,1.1064808859373443e-05,4.298471139918547e-06
1833,1.223231174662942e-05,5.3690116317284264e-06
1834,1.3057141586614307e-05,4.031583841879183e-06
1835,1.317868100159103e-05,4.824493913702099e-06
1836,1.1751231795642525e-05,3.7575714486592915e-06
1837,1.2489414075389504e-05,3.893635806662132e-06
1838,1.424023685103748e-05,3.6673660588348866e-06
1839,1.132199486164609e-05,3.6852065932180267e-06
1840,1.148263800132554e-05,3.941563335274623e-06
1841,1.129374504671432e-05,3.8093115506399045e-06
1842,1.1474487109808251e-05,4.349639112888326e-06
1843,1.1633661415544339e-05,3.6764614179674027e-06
1844,1.2247724043845665e-05,4.092819963830152e-06
1845,1.1073404493799899e-05,4.003813529607214e-06
1846,1.2638697626243811e-05,4.298374847166997e-06
1847,1.2484773833421059e-05,4.750890695959242e-06
1848,1.2595599400810897e-05,5.8641620057642285e-06
1849,1.1974183507845737e-05,6.609682486669044e-06
1850,1.2649257769226097e-05,5.380279560540657e-06
1851,1.1113673281215597e-05,5.513625012554257e-06
1852,1.1776274732255843e-05,4.377690714818527e-06
1853,1.1919975804630667e-05,4.263362200163101e-06
1854,1.1197176718269475e-05,3.519543128049918e-06
1855,1.1140853530378081e-05,4.4222705923857575e-06
1856,1.0548523277975619e-05,4.786829038039286e-06
1857,1.0285827556799632e-05,5.139252920116633e-06
1858,9.45213560044067e-06,4.7272912695461855e-06
1859,9.868123015621677e-06,4.1078563128849055e-06
1860,1.0040510460385121e-05,4.259069669387827e-06
1861,9.688475984148681e-06,4.099115670896936e-06
1862,1.0097247468365822e-05,4.347658233427865e-06
1863,1.0330873919883743e-05,4.3847777249084174e-06
1864,9.519452760287095e-06,4.638419767388768e-06
1865,9.946033060259651e-06,4.509157037091427e-06
1866,9.192115612677298e-06,4.262277059297048e-06
1867,9.765797585714608e-06,4.791180600705047e-06
1868,1.0073391422338318e-05,4.653361401096845e-06
1869,9.157086424238514e-06,5.158461490850641e-06
1870,9.029407010530122e-06,4.875661858250169e-06
1871,8.709364919923246e-06,4.904859849830245e-06
1872,9.156276064459234e-06,4.537923572911495e-06
1873,8.97002792044077e-06,4.484714736463502e-06
1874,1.0045110684586689e-05,5.084989993520139e-06
1875,9.419922207598574e-06,4.7952120496574935e-06
1876,9.910022527037654e-06,5.397882205215865e-06
1877,9.389169463247526e-06,4.4858470289455e-06
1878,9.713874533190392e-06,5.2056945776257635e-06
1879,1.0815949281095527e-05,5.053633941543012e-06
1880,9.620993296266533e-06,5.270977140980904e-06
1881,9.83193331194343e-06,5.055067873627195e-06
1882,1.0076918442791793e-05,5.25109894056186e-06
1883,1.0116629709955305e-05,4.856411948139794e-06
1884,9.628574844100513e-06,5.072743817891023e-06
1885,9.615599083190318e-06,5.9364303979236865e-06
1886,9.386562851432245e-06,5.031120309695325e-06
1887,9.400998351338785e-06,5.586800853052409e-06
1888,9.421519280294888e-06,5.616516716600017e-06
1889,9.19220838113688e-06,5.634863896375464e-06
1890,9.003761078929529e-06,5.5607415561098605e-06
1891,8.952591997513082e-06,4.878828065102425e-06
1892,8.901287401386071e-06,4.920155475929278e-06
1893,8.342806722794194e-06,4.994475744979354e-06
1894,8.549928679713048e-06,5.070848715149623e-06
1895,8.554859050491359e-06,4.772761229787648e-06
1896,8.641506610729266e-06,4.6669086373185564e-06
1897,8.419600817433093e-06,4.455105198530873e-06
1898,8.237999281845987e-06,4.526683795802455e-06
1899,9.059148396772798e-06,4.396083085111968e-06
1900,8.995575626613572e-06,4.827679333629931e-06
1901,8.17911950434791e-06,4.341332612511906e-06
1902,7.427295258821687e-06,4.035762373177931e-06
1903,8.568529665353708e-06,4.49730362106493e-06
1904,8.498895113007165e-06,4.179308717766617e-06
1905,8.56840779306367e-06,4.256077971831473e-06
1906,8.298084139823914e-06,4.637996710243897e-06
1907,8.477462870359886e-06,3.952275221763557e-06
1908,8.340030035469681e-06,4.210534029880364e-06
1909,8.003380571608432e-06,4.3369756212996435e-06
1910,7.751690645818599e-06,4.688957687903894e-06
1911,7.850743713788688e-06,4.245658374202321e-06
1912,7.621904387633549e-06,4.231612933836004e-06
1913,7.231156814668793e-06,3.98042405436172e-06
1914,6.806570127082523e-06,5.011843029478769e-06
1915,6.017613031872315e-06,6.896458103256009e-06
1916,5.304746537149185e-06,6.022227978519368e-06
1917,5.152026005816879e-06,7.003158415841426e-06
1918,5.2573145694623236e-06,6.005077665349745e-06
1919,5.5311543292191345e-06,5.775162691179503e-06
1920,5.472451903187903e-06,4.335102573804761e-06
1921,5.203234650252853e-06,4.021886212512982e-06
1922,5.073068223282462e-06,4.082211660261237e-06
1923,5.827093900734326e-06,4.336614921385262e-06
1924,5.576916919380892e-06,4.729937217007318e-06
1925,5.7465481404506136e-06,5.506787715603423e-06
1926,5.318937382980948e-06,4.289034052362695e-06
1927,5.533360308618285e-06,4.732846036858973e-06
1928,5.39766188012436e-06,5.04345436525e-06
1929,5.891046839678893e-06,4.716847854524531e-06
1930,5.328477982402546e-06,4.052290222489319e-06
1931,5.560111276281532e-06,4.735504290920289e-06
1932,5.027139650337631e-06,5.177284919000158e-06
1933,4.939267000736436e-06,5.509359198185848e-06
1934,5.011895154893864e-06,4.5266410211297625e-06
1935,5.340248208085541e-06,4.027327577205142e-06
1936,4.579504548019031e-06,6.009008643559355e-06
1937,4.5453934944816865e-06,5.993372099055705e-06
1938,4.676552634919062e-06,4.58579626183564e-06
1939,4.670802809414454e-06,4.553038792209918e-06
1940,4.412262114783516e-06,4.021751664140538e-06
1941,3.825147359748371e-06,5.16512966441951e-06
1942,4.308580628276104e-06,4.32678612583004e-06
1943,4.105174411961343e-06,4.64517637510653e-06
1944,3.6662454476754647e-06,7.258587629621616e-06
1945,3.224186002626084e-06,3.9801268769679155e-06
1946,3.3104386147897458e-06,6.5721532678253425e-06
1947,3.6847411593043944e-06,5.795927279450552e-06
1948,3.527927674440434e-06,5.285911669261623e-06
1949,3.9680348891124595e-06,5.056740974396234e-06
1950,4.111630914849229e-06,6.58967007893807e-06
1951,4.114234798180405e-06,5.755024574227718e-06
1952,3.5504353945725597e-06,6.770818629320274e-06
1953,3.6727976748807123e-06,4.982895291050227e-06
1954,3.7956531286909012e-06,6.6756195451489475e-06
1955,3.6472472402238054e-06,4.995020645992554e-06
1956,4.090215497853933e-06,4.866396949410046e-06
1957,3.8370567381207366e-06,4.830998420857213e-06
1958,3.7183733638812555e-06,4.738341118581957e-06
1959,3.6630033264373196e-06,5.707650927888608e-06
1960,3.618903747337754e-06,5.253604683730373e-06
1961,3.8020327792764874e-06,4.578142267064322e-06
1962,3.980846031481633e-06,4.023971399647053e-06
1963,4.063268079335103e-06,4.187416180911896e-06
1964,4.051923042425187e-06,6.2245081551282055e-06
1965,3.946985088987276e-06,5.901598825630572e-06
1966,3.998104148195125e-06,5.415553573584475e-06
1967,4.4999173951509874e-06,5.843433683594412e-06
1968,4.706554591393797e-06,5.570254089093396e-06
1969,5.346103080228204e-06,4.40777608901044e-06
1970,4.393161816551583e-06,4.303946923300828e-06
