year,mes_DET boîtes_NOUN
1800,3.144164395507687e-08
1801,2.3811825400343878e-08
1802,0.0
1803,9.751696339321825e-09
1804,2.9662210465630778e-08
1805,3.695740957709859e-08
1806,0.0
1807,0.0
1808,0.0
1809,1.129515236897305e-08
1810,4.680253518074551e-09
1811,0.0
1812,2.1337665856435706e-08
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,4.670620334934483e-09
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,2.3732962262101864e-09
1821,1.577838126820552e-08
1822,1.0025615893027862e-09
1823,2.9648061783404955e-09
1824,4.210556348027694e-09
1825,8.805443041381977e-10
1826,1.7615968683770689e-09
1827,1.8434546111834038e-09
1828,9.172301251858528e-10
1829,2.571952872898464e-09
1830,5.218417697960831e-09
1831,1.870944643656003e-08
1832,2.705993873419743e-09
1833,1.1583628278799551e-08
1834,1.7735608537350345e-08
1835,1.3613558280667348e-08
1836,4.704525213838906e-09
1837,5.0096815584765864e-08
1838,3.787297142565649e-09
1839,1.4682098203877558e-08
1840,2.7389660650634085e-08
1841,8.988767952189392e-09
1842,2.2137275124123335e-08
1843,7.088293119128508e-09
1844,6.586273748609983e-09
1845,6.696273757711424e-09
1846,1.2879902699935997e-08
1847,9.168480197274675e-09
1848,1.850401026848303e-08
1849,1.5920887719289567e-08
1850,2.0366988096043315e-09
1851,1.6768540334055615e-08
1852,5.859490670445666e-09
1853,9.555090940693844e-09
1854,5.7152309551611324e-09
1855,1.2736649068756378e-08
1856,1.6049286344355096e-08
1857,1.025116885822186e-08
1858,1.9085335978274998e-08
1859,2.13871282905842e-08
1860,7.323494255473406e-09
1861,5.187560159214399e-09
1862,1.8071945717679228e-08
1863,1.2486552236623538e-08
1864,9.109982990196386e-09
1865,7.0602665935837194e-09
1866,1.994901249746661e-08
1867,1.0190904120577216e-08
1868,2.420538258718352e-08
1869,2.0999133099053324e-08
1870,8.601073631098188e-09
1871,1.0621176826930423e-08
1872,9.071008832961525e-09
1873,9.57760748487857e-09
1874,5.377148226681783e-09
1875,1.0870901234749653e-08
1876,2.6602464675562487e-08
1877,1.5462040536817767e-08
1878,2.0532901601200138e-08
1879,3.421222061206208e-08
1880,1.2193907439339569e-08
1881,5.5780060570498335e-09
1882,1.4641846846075168e-08
1883,2.1485751844352308e-08
1884,8.582206056928499e-09
1885,9.023890079618013e-09
1886,3.2267319927115068e-09
