year,autres_ADJ oies_NOUN,autres_ADJ bois_NOUN
1800,1.5720821977538435e-08,4.3703886376533774e-07
1801,4.7623651688866175e-09,4.881424517932942e-07
1802,4.475680270843441e-09,8.235251698351931e-07
1803,0.0,1.0102756959895487e-06
1804,4.943701892301533e-09,5.80885000545095e-07
1805,0.0,7.021907890703005e-07
1806,1.152667650217154e-08,5.878604838471801e-07
1807,0.0,7.202796723504434e-07
1808,4.5321479902327155e-09,9.245582077710424e-07
1809,0.0,9.646059879742097e-07
1810,0.0,6.599157669207045e-07
1811,0.0,6.217550185816378e-07
1812,0.0,5.921202159697714e-07
1813,0.0,5.090062984436372e-07
1814,0.0,5.664018658535497e-07
1815,1.0788894222457657e-08,3.3985017466875433e-07
1816,0.0,5.817185524392698e-07
1817,0.0,4.779601567861391e-07
1818,2.026600220972341e-08,3.194875546341791e-07
1819,0.0,3.6539205439112266e-07
1820,4.746592452420373e-09,4.046470110097289e-07
1821,2.9584463767662328e-09,5.80841685859923e-07
1822,1.0025615893027862e-09,2.2357123441452131e-07
1823,1.8777105759149038e-08,5.208175934967585e-07
1824,0.0,3.621078406013112e-07
1825,2.905796137042671e-08,4.446748844699755e-07
1826,0.0,4.826775352739787e-07
1827,0.0,5.935924036748474e-07
1828,5.503380862137419e-09,4.2009139633591985e-07
1829,8.57317605795771e-10,4.775259299094614e-07
1830,2.0873671680021744e-09,4.5087131184118334e-07
1831,1.5591206103948707e-09,3.6327509178590844e-07
1832,0.0,4.0725206951197634e-07
1833,0.0,5.224216579335916e-07
1834,5.600718555598405e-09,5.115322778692644e-07
1835,2.2689263801112247e-09,4.825249959594657e-07
1836,2.688300027031687e-09,4.6373176587621856e-07
1837,1.3915781860163179e-09,4.432176553548217e-07
1838,1.8936485712828244e-09,3.156081049837667e-07
1839,1.3982950353153e-09,4.1948850348916267e-07
1840,3.821813199245128e-09,4.025643349225838e-07
1841,6.420548537278137e-10,3.4927783154614644e-07
1842,2.683306021822318e-09,2.8107631999674254e-07
1843,0.0,3.142476823203566e-07
1844,1.2074834465636286e-08,3.8145500980135694e-07
1845,2.2878934136105755e-08,3.6606294884222734e-07
1846,1.1709002656346001e-09,3.3429202517254453e-07
1847,3.235934187273415e-09,3.3815513234003447e-07
1848,2.413566457803995e-09,3.19395297765368e-07
1849,8.379414939696517e-10,6.804085046496766e-07
1850,6.788996032014438e-10,3.231562075711736e-07
1851,6.449438760824933e-09,3.2376182623750083e-07
1852,6.510545436100301e-10,3.9519010575084224e-07
1853,1.1943863675867306e-09,3.218871276189361e-07
1854,3.63696517347023e-09,2.2757010054164084e-07
1855,2.653468555990912e-09,3.3911328856106593e-07
1856,5.177189232874468e-10,2.8215681113774593e-07
1857,9.763018171682347e-10,2.528621588226976e-07
1858,4.893676019968041e-10,2.0651312648833908e-07
1859,0.0,2.8821702269254956e-07
1860,1.3731551729012637e-09,2.801236558269693e-07
1861,3.7727710400226044e-09,2.1599113608772313e-07
1862,1.355395878865906e-09,3.058676796563464e-07
1863,6.992469381295052e-09,2.9268477419464034e-07
1864,4.794727948009836e-10,2.603537323508931e-07
