year,soixante - dix heures
1800,3.4447684704730364e-09
1801,0.0
1802,0.0
1803,0.0
1804,8.155216946192922e-09
1805,6.244470274197056e-09
1806,0.0
1807,0.0
1808,7.470443819102002e-09
1809,2.4709592150173876e-09
1810,0.0
1811,8.277909913090298e-09
1812,0.0
1813,3.1470654970888745e-09
1814,8.254509253902143e-08
1815,2.3651340441688262e-08
1816,0.0
1817,1.7061235757509507e-09
1818,1.4336551501514805e-08
1819,0.0
1820,1.812821714963775e-08
1821,0.0
1822,9.86828574411902e-09
1823,1.0795871974167426e-09
1824,9.1875387298046e-09
1825,1.1532845789474777e-08
1826,8.649531757498607e-09
1827,1.7103111815686134e-08
1828,0.0
1829,2.8096480697570314e-09
1830,3.424176275856894e-09
1831,2.9094620046521413e-08
1832,1.6308899120076603e-08
1833,1.0139023842725692e-08
1834,3.477772736459883e-08
1835,2.9878577834097086e-08
1836,7.343489816236115e-09
1837,2.5809358206174693e-08
1838,1.3764486217482386e-09
1839,1.1463868077044026e-08
1840,1.2525370962634952e-08
1841,3.5098950412759677e-09
1842,1.1736332794498594e-08
1843,2.4525878217218633e-08
1844,6.582371092633821e-09
1845,2.318153846658788e-08
1846,1.4735190845271973e-08
1847,1.0603079303450613e-08
1848,5.2854098875343425e-09
1849,3.119231806181233e-08
1850,3.046327201605692e-08
1851,1.8352278086108953e-08
1852,1.3553711042391114e-08
1853,1.3727788239492611e-08
1854,1.0798049565607926e-08
1855,1.3962690559310431e-08
1856,5.1607376150286655e-08
1857,5.028715577282128e-08
1858,8.041481258658223e-09
1859,1.6722781381872664e-08
1860,3.362048062172107e-08
1861,1.2393225112816708e-08
1862,1.2377713076716645e-08
1863,2.4123497865957688e-08
1864,1.5748619075495185e-09
1865,7.739408225404532e-09
1866,1.6551849668644536e-08
1867,1.3308329549488462e-08
1868,9.196849504178317e-09
1869,6.428774845801399e-09
1870,1.6964879279157685e-08
1871,0.0
1872,7.296862669647908e-09
1873,3.3458164239164034e-08
1874,2.032100887561228e-08
1875,4.71522766387622e-08
1876,4.316540369586619e-08
1877,2.8591752965212436e-08
1878,1.2628991186147687e-08
1879,1.2096952772822078e-08
1880,1.2720569486646127e-08
1881,6.915953321140478e-08
1882,3.150882577074299e-08
1883,2.368647145090108e-08
1884,2.1824527962621687e-08
1885,1.9175626420064873e-08
1886,2.6312411804951807e-08
1887,5.978178307941562e-08
1888,5.032093852719299e-08
1889,1.7976560684473952e-08
1890,3.3976181867956257e-08
1891,2.2487062878440156e-08
1892,2.5593596741924074e-08
1893,9.510118914590748e-09
1894,2.5051715368817895e-08
1895,1.859748088861579e-08
1896,2.9269594747916017e-08
1897,2.319062886169121e-08
1898,1.9976296172785624e-08
1899,3.111209068151766e-08
1900,8.030406561942982e-09
1901,4.872203263062147e-08
1902,2.3791471237544215e-08
1903,2.6228365368474726e-08
1904,3.85789746815135e-08
1905,1.6523898749287724e-08
1906,3.008098303780571e-08
1907,2.2734758076126127e-08
1908,2.0614484341763273e-08
1909,2.3051049291566983e-08
1910,3.8929165668832866e-08
1911,4.227703259696014e-08
1912,5.402858582748138e-08
1913,2.8085281655876315e-08
1914,2.659173681252014e-08
1915,4.675714904145423e-08
1916,2.5396058034310443e-08
1917,1.8091535380904133e-08
1918,1.7692775244881886e-08
1919,2.2296880786143447e-08
1920,2.586446673502607e-08
1921,1.5878223180720852e-08
1922,1.7102161464777055e-08
1923,1.8770263454648273e-08
1924,4.274717024799202e-09
