year,soixante - dix heures
1925,2.8025928244801435e-08
1926,1.481484446230752e-08
1927,1.4811216253463044e-08
1928,2.2772971064455305e-08
1929,2.221672801283603e-08
1930,6.975476196657837e-09
1931,1.7679964159356132e-08
1932,2.668340393086055e-08
1933,1.1419179379856814e-08
1934,2.3893516498674217e-08
1935,2.5201103870386987e-08
1936,2.0133439804226327e-08
1937,4.4632290752133486e-08
1938,2.0081756701983977e-08
1939,5.082652521082309e-08
1940,1.6887689469058387e-08
1941,1.3123854003538327e-08
1942,1.0093186730841808e-08
1943,3.2113727232996325e-09
1944,2.484615357900566e-08
1945,2.643258301127105e-08
1946,1.6937095281832626e-08
1947,1.4484610844078816e-08
1948,1.6844891703726717e-08
1949,2.055054260097222e-08
1950,1.646786973452663e-08
1951,2.2418213063701842e-08
1952,1.0512254178252078e-08
1953,1.6671565461479076e-08
1954,1.6210085718171285e-08
1955,7.271478530412878e-09
1956,1.929378257159442e-08
1957,2.1513308468001924e-08
1958,1.5553160759296247e-08
1959,2.057859660453687e-08
1960,7.653365940996082e-09
1961,2.990570280303473e-08
1962,1.4687941918278824e-08
1963,7.132183288405258e-09
1964,1.3422626565784412e-08
1965,1.3877886062552136e-08
1966,3.54413330350134e-08
1967,6.5182639286121e-09
1968,1.0870055078271434e-08
1969,1.1483303419268509e-08
1970,1.4667844161486698e-08
1971,1.4732464581612703e-08
1972,2.3742617982769332e-08
1973,1.767051660550578e-08
1974,2.1767515789861136e-08
1975,1.8315144956204676e-08
1976,2.2720925141328507e-08
1977,1.4937720393959353e-08
1978,1.4395633129993257e-08
1979,1.545946815006971e-08
1980,1.1271001021384564e-08
1981,1.8103346821618516e-08
1982,2.3183629238587855e-08
1983,3.123869163346171e-08
1984,2.292527401248634e-08
1985,1.18951446470561e-08
1986,2.3700757134648143e-08
1987,9.399151679190254e-09
1988,2.568467216690351e-08
1989,2.049454295161013e-08
1990,2.0297985514616812e-08
1991,1.350284239975963e-08
1992,2.2329632587414494e-08
1993,1.6985000073077572e-08
1994,1.6165436433901448e-08
1995,1.6007916880944606e-08
1996,1.691724271779549e-08
1997,2.6171202094360524e-08
1998,1.4046912077958496e-08
1999,1.9940572193455353e-08
2000,1.8305939597507148e-08
2001,1.3854653313494225e-08
2002,2.7685408632294184e-08
2003,1.3160003753398541e-08
2004,3.645456825296378e-08
2005,1.4714806262361435e-08
2006,1.3462255310514593e-08
2007,1.5706887207533882e-08
2008,3.068233067615722e-08
2009,2.190592707229655e-08
2010,2.4848942348221215e-08
2011,1.7624990911180305e-08
2012,3.6745737119758815e-08
2013,4.281470300515622e-08
2014,3.496926703761005e-08
2015,3.481011545680701e-08
2016,3.599206195581406e-08
2017,3.51416490906864e-08
2018,3.695841865880567e-08
2019,3.2007264172406735e-08
