year,soyons_VERB au_ADP
1800,1.5720821977538435e-08
1801,2.6193007984787187e-08
1802,3.5805442166747525e-08
1803,2.7304748684287006e-08
1804,3.213406207791536e-08
1805,4.5486043376286034e-08
1806,2.881669125542885e-09
1807,1.7081731584767113e-08
1808,4.5321479902327155e-09
1809,2.259030518203531e-09
1810,2.574139346123161e-08
1811,2.5070768572277302e-08
1812,2.1337665856435706e-08
1813,1.7254450312975678e-08
1814,3.4613449884091096e-08
1815,2.157778822287071e-08
1816,2.3176038865813098e-08
1817,4.359245375784582e-08
1818,6.91428259091964e-08
1819,3.933399139732785e-08
1820,5.577246042776096e-08
1821,4.832129185672329e-08
1822,7.118187284049782e-08
1823,3.458940478484607e-08
1824,5.894779064874456e-08
1825,3.6982861217893515e-08
1826,6.694068388490848e-08
1827,1.474763688946723e-08
1828,2.5682442839070063e-08
1829,3.429270345467472e-08
1830,5.63589133140141e-08
1831,3.1182412651986624e-08
1832,2.705993829010822e-08
1833,2.4325620628928846e-08
1834,3.267085801894609e-08
1835,3.7059130875150004e-08
1836,4.637317441158473e-08
1837,4.731365876864402e-08
1838,3.282324345654786e-08
1839,2.7266752411492234e-08
1840,3.630722672509634e-08
1841,3.531301695502975e-08
1842,5.769107813691221e-08
1843,4.3120450765599116e-08
1844,2.96382307585219e-08
1845,3.738752818449598e-08
1846,3.1028856151138484e-08
1847,4.7460368080010085e-08
1848,4.022610911036395e-08
1849,5.362825605814692e-08
1850,4.0055076588885186e-08
1851,2.5797755709433545e-08
1852,6.31522896199499e-08
1853,4.9567033588715503e-08
1854,4.468271352919828e-08
1855,5.306937111981824e-08
1856,3.675804416403139e-08
1857,3.7099468386259105e-08
1858,4.7468655617333155e-08
1859,2.3933214077231924e-08
1860,4.3940966421018857e-08
1861,3.536972875695099e-08
1862,5.1505043785482485e-08
1863,5.194405749975317e-08
1864,4.2193605054308136e-08
1865,4.7539127800977354e-08
1866,5.7900794381282594e-08
1867,5.095452237924292e-08
1868,2.371139617984852e-08
1869,3.418463268012317e-08
1870,2.752343375433952e-08
1871,3.823623773158147e-08
1872,5.079765141857706e-08
1873,4.788803664723673e-08
1874,2.808066240644891e-08
1875,3.776208057360009e-08
1876,3.990369834561136e-08
1877,4.94785271643039e-08
1878,2.7779808675632012e-08
1879,4.7652736423486886e-08
1880,3.465637132826771e-08
1881,4.2532294630692746e-08
1882,5.3243079722875564e-08
1883,3.4756364009069785e-08
1884,2.706695756415911e-08
1885,4.511944973195625e-08
1886,4.194751368480354e-08
1887,5.484296594637783e-08
1888,4.1848057463766963e-08
1889,3.195219733242993e-08
1890,2.6217545745499393e-08
