year,trois_DET arts_NOUN,trois_DET barres_NOUN
1800,3.144164395507687e-08,7.545995117652637e-08
1801,3.095537337571841e-08,9.28661236798689e-08
1802,5.594600338554301e-08,9.84649659585557e-08
1803,9.751696339321825e-09,2.9255089017965474e-08
1804,7.4155526164076946e-09,2.9662210465630778e-08
1805,2.5585899399160894e-08,2.842877711017877e-09
1806,5.76333825108577e-09,5.4751712497136396e-08
1807,2.2775641372874134e-08,5.693910232196231e-09
1808,6.798221985349073e-09,1.3596443970698147e-08
1809,2.4849335478194234e-08,6.09938268780752e-08
1810,1.8721014072298203e-08,5.8503168531842675e-08
1811,3.5099073869560016e-08,1.25353837532316e-07
1812,2.6672082320544632e-09,9.601949813031752e-08
1813,1.4378708002027452e-08,2.8757416004054903e-08
1814,1.2586708564299443e-08,3.1466772298927026e-08
1815,1.3486118000116676e-08,2.1577788444915313e-08
1816,2.7811246638975717e-08,5.0987285504788815e-08
1817,1.401186100480345e-08,2.80237220096069e-08
1818,2.384235475716423e-09,6.437435939865566e-08
1819,1.3456364911235141e-08,4.45095160728215e-08
1820,3.085285271708926e-08,4.034603406921633e-08
1821,9.86148829262845e-10,3.0570614484304315e-08
1822,9.023054303725075e-09,5.3135764233047666e-08
1823,5.929612356680991e-09,2.470671811583003e-08
1824,2.7789671008804362e-08,3.789500624407083e-08
1825,1.0566531649658373e-08,4.138558296062911e-08
1826,1.0569580766173203e-08,3.699353257058391e-08
1827,3.6869092223668076e-09,4.700809230762104e-08
1828,2.7516903755575584e-09,3.8523666034961934e-08
1829,9.430493552731178e-09,5.058173968564006e-08
1830,1.4611570398059825e-08,7.514521493945381e-08
1831,4.677361609140007e-09,3.585977381703742e-08
1832,1.0823975493678972e-08,4.870789127586761e-08
1833,2.0850531967653296e-08,3.70676112027013e-08
1834,3.640467127752345e-08,3.827157613045529e-08
1835,2.3445572594482655e-08,5.52105419160398e-08
1836,1.5457725766054864e-08,6.58633538819231e-08
1837,4.87052354003481e-09,3.2006298056330706e-08
1838,1.5780404538645598e-08,3.471689113965226e-08
1839,8.38977065598101e-09,4.6842885126352485e-08
