year,nos_DET aveux_NOUN
1800,5.345079756580162e-08
1801,4.7623651688866175e-09
1802,2.0140561218795483e-08
1803,3.900678446910888e-09
1804,9.887403784603066e-09
1805,3.1271653710973624e-08
1806,3.458002950651462e-08
1807,1.4234775136401367e-08
1808,2.945896149242344e-08
1809,4.518061036407062e-09
1810,4.680253518074551e-09
1811,1.2535384286138651e-08
1812,1.8670457180292033e-08
1813,4.026038169513413e-08
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,2.384235475716423e-09
1819,5.175524897538253e-09
1820,9.493184904840746e-09
1821,2.1695274909916407e-08
1822,1.303330066093622e-08
1823,1.087095569118901e-08
1824,1.7684335773537896e-08
1825,8.805443263426582e-09
1826,7.839106075380187e-08
1827,9.217273166939322e-09
1828,1.2841221419535032e-08
1829,1.3717081692732336e-08
1830,8.349468672008697e-09
1831,2.6505050598757407e-08
1832,9.470978667991403e-09
1833,9.266902800675325e-09
1834,1.6802155666795215e-08
1835,6.806779140333674e-09
1836,1.2769425516978572e-08
1837,1.948209416013924e-08
1838,6.943378316748294e-09
1839,2.307186797168015e-08
1840,1.46502836528839e-08
1841,1.3483152372373297e-08
1842,3.219967226186782e-08
1843,4.6073907356003474e-08
1844,1.6465683927435748e-08
1845,7.365900955846882e-08
1846,1.5221703009160592e-08
1847,1.6179670936367074e-08
1848,2.252662056889676e-08
1849,9.217356655710773e-09
1850,4.752297222410107e-09
1851,2.192809134271556e-08
1852,5.989701734598896e-08
1853,2.20961471342207e-08
1854,1.7665259477439577e-08
1855,3.02495415382964e-08
1856,1.4496129407959302e-08
1857,1.6108980149809327e-08
1858,1.4681027726837215e-08
1859,1.476730293603623e-08
1860,7.323494255473406e-09
1861,8.488735048217677e-09
1862,3.4336697041226216e-08
1863,1.148762801550518e-08
1864,1.102787461348953e-08
1865,2.7770381993974524e-08
1866,1.6056523222118813e-08
1867,1.1161466417775046e-08
1868,1.679557115608077e-08
1869,1.6115613732381462e-08
1870,1.6628741050794815e-08
1871,1.274541272522356e-08
1872,1.1489944995446422e-08
1873,2.454261860407314e-08
1874,1.2546679251101978e-08
1875,1.2587359599081083e-08
1876,6.04601479992084e-09
1877,1.793596560162314e-08
1878,2.4156354694326865e-09
1879,1.3440515367335593e-08
1880,5.134277003548959e-09
1881,1.1156012114099667e-08
1882,1.3310770263785798e-08
1883,8.847074184359371e-09
1884,3.9610181801208455e-09
1885,1.740321664556177e-08
1886,7.098810428374236e-09
1887,1.6322312390570914e-08
1888,1.014498351992188e-08
1889,3.069917065001704e-08
1890,6.5543866445416654e-09
1891,1.0836174069162041e-08
1892,1.6924984080901595e-08
1893,1.2932674486876294e-08
1894,1.2603078580752936e-08
1895,7.222337172763105e-09
1896,1.5921978790967017e-08
1897,1.5149455023788505e-08
1898,1.3580051749784161e-08
1899,1.326618814800895e-08
1900,1.453494924419374e-08
1901,1.1736351501756559e-08
1902,9.820568025453724e-09
1903,1.2420506401156217e-08
1904,1.289910045443321e-08
1905,9.28936660926638e-09
1906,1.5946971465563564e-08
1907,9.257117739025489e-09
1908,5.893666887857307e-09
1909,1.2102163715610459e-08
1910,6.947395991829808e-09
1911,9.576673676292558e-09
1912,1.6670147928721235e-08
1913,1.484837142129436e-08
1914,4.68772043404897e-09
1915,4.712304768617059e-09
1916,8.789969641043172e-09
1917,1.973956464951243e-08
1918,1.1486376294556067e-08
1919,1.8415697411455767e-08
1920,1.2115570324766622e-08
1921,9.087297137000405e-09
1922,2.0658220023506146e-08
1923,2.5478275489376756e-08
1924,1.804827443052659e-08
1925,1.759708534443405e-08
1926,1.114613823460786e-08
1927,1.3379069518926201e-08
1928,7.998228745975666e-09
1929,1.1140406375176326e-08
1930,2.520864939015155e-08
1931,2.0529642874578258e-08
1932,6.575722188983946e-09
1933,1.1470662197865522e-08
1934,2.3963160344919743e-09
1935,1.196828414151696e-08
1936,8.487299751891442e-09
1937,8.813782592653752e-09
1938,9.075650453382877e-09
1939,0.0
1940,2.5357829169792012e-09
1941,2.6563522936839945e-08
1942,1.2136847082899749e-08
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,1.3071024262956144e-08
1946,1.3921104269343232e-08
1947,8.344609447874518e-09
1948,1.0871887834440486e-08
1949,8.835307596655184e-09
1950,1.2762433998503298e-08
1951,2.4521224606388614e-08
1952,1.687168627029223e-08
1953,2.1547654771580937e-08
1954,1.3681550115052232e-08
1955,1.407841132561316e-08
1956,1.3953826538681824e-08
1957,1.501956425897788e-08
1958,1.3235589513271862e-08
1959,5.425523585955716e-09
1960,1.3149583422134015e-08
1961,1.737039800886464e-08
1962,1.1415521861124489e-08
1963,8.405868778815773e-09
1964,1.9468698653213323e-08
1965,1.751053818610515e-08
1966,1.3847687219126215e-08
1967,1.5777073869571723e-08
1968,2.2007937222623397e-08
1969,1.0446042475464878e-08
1970,9.657322774803134e-09
1971,1.9012070473500842e-08
1972,7.695220183290274e-09
1973,1.2680368866035963e-08
1974,4.500457340128605e-09
1975,9.709516746170266e-09
1976,6.8562320265641574e-09
1977,8.227494963097826e-09
1978,5.346532105932056e-09
1979,9.948355028654987e-09
1980,6.822181042309694e-09
1981,9.488324403950088e-09
1982,7.449002858983533e-09
1983,8.209910973278056e-09
1984,1.275781880138993e-08
1985,6.617113967877231e-09
1986,1.3187867686781374e-08
1987,6.721898593298192e-09
1988,7.795519785247507e-09
1989,1.3171492896368875e-08
1990,7.628111475810329e-09
1991,1.2895223555631219e-08
1992,1.377486047449139e-08
1993,7.754890063438324e-09
1994,3.164955852952289e-09
1995,9.21816667442954e-09
1996,1.014237493990322e-08
1997,1.1987236203658824e-08
1998,1.0013071261028017e-08
1999,6.855301576402795e-09
2000,6.627047466345459e-09
2001,7.88618120806106e-09
2002,6.1337101509018055e-09
2003,6.667076501987168e-09
2004,5.285749504757575e-09
2005,8.557123898356167e-09
2006,1.1118302278845249e-08
2007,6.391167151065247e-09
2008,1.0643599335224962e-08
2009,5.721831008997924e-09
2010,1.889517148301323e-08
2011,1.453109360616267e-08
2012,1.429786167239655e-08
2013,1.7850400269026068e-08
2014,2.381989668009954e-08
2015,1.706762980946408e-08
2016,1.5742184222844458e-08
2017,1.5596790803318328e-08
2018,3.4075361754482e-08
2019,2.7295569415830556e-08
