year,aux_ADP oeufs_NOUN,aux_ADP boeufs_NOUN
1800,6.917161954334006e-08,1.8550570501929542e-07
1801,6.667310969987739e-08,1.381085894536227e-07
1802,4.699464284385613e-08,1.7455153056289419e-07
1803,3.1400460898112215e-07,2.5549444693240275e-07
1804,7.662737999680758e-08,2.7190360185613827e-08
1805,7.960057502032214e-08,3.980028751016107e-08
1806,8.645007376628655e-09,5.76333825108577e-08
1807,1.4234775580490577e-08,1.4234775136401367e-08
1808,1.8128592405020072e-08,2.7192887053217873e-08
1809,4.518061036407062e-09,3.388545843918678e-08
1810,5.8503168531842675e-08,2.3401266702194334e-08
1811,5.0141537144554604e-08,6.769107230297777e-08
1812,1.3336040716183106e-08,1.0668832484128643e-08
1813,5.4639092583741444e-08,2.0130190847567064e-08
1814,1.0698702368472368e-07,3.1466772298927026e-08
1815,3.7761129112467984e-08,4.045835311217161e-08
1816,3.012885052555703e-08,1.1588019432906549e-08
1817,5.916119061311065e-08,3.580808805025981e-08
1818,3.814776827759658e-08,1.7881765845828568e-08
1819,3.726378139390363e-08,8.280840013696888e-09
1820,2.4919610375206958e-08,1.5426425470366212e-08
1821,5.916893086599373e-09,1.3806083387635226e-08
1822,1.804610860745015e-08,7.017931125119503e-09
1823,3.656594182999129e-08,1.3835761536462599e-08
1824,8.421112696055388e-09,1.431589158329416e-08
1825,2.993850611865412e-08,1.8491429720768338e-08
1826,1.673516958344834e-08,1.0569581210262413e-08
1827,9.032927417162995e-08,1.106072750056697e-08
1828,2.2013523004460467e-08,7.337841001486822e-09
1829,1.371708191477694e-08,1.0287811269549252e-08
1830,2.713577385016208e-08,2.0873671680021744e-08
1831,3.1182412207897414e-09,1.4032085715598441e-08
1832,1.2176972319366541e-08,1.2176972541411146e-08
1833,5.096796495962508e-08,2.3167257445777523e-08
1834,4.760610750054184e-08,1.8669061851994684e-08
1835,1.285724948729694e-08,1.4369867074037757e-08
1836,2.2178474501366452e-08,4.0324500405475305e-09
1837,1.669893889832963e-08,1.6003148806120748e-08
1838,2.524864739505972e-08,1.3255539776935166e-08
1839,3.705481832483315e-08,1.677954131196202e-08
1840,1.2739376997750185e-08,1.210240857529854e-08
1841,2.1829864138567245e-08,1.2841097518645483e-08
1842,1.2074877098200432e-08,1.677066219230028e-08
1843,2.067418880535854e-08,1.9492806480059244e-08
1844,3.0187086219601866e-08,1.6465684093969202e-08
1845,1.0602433431206038e-08,1.339254673826673e-08
1846,2.4588905578326603e-08,5.269051195355701e-09
1847,3.235934187273415e-08,8.089835468183537e-09
1848,4.263967390283341e-08,8.045221766561639e-09
1849,3.192557191944445e-07,3.267971937503944e-08
1850,3.1229382635444836e-08,1.6293590476834652e-08
1851,1.3543821397732358e-08,1.805842941848823e-08
1852,1.2370036106545967e-08,1.822952699903624e-08
1853,2.1498954394516545e-08,7.166318427564988e-09
1854,1.1430461910322265e-08,2.597832282624779e-09
1855,1.0083180512765466e-08,9.021793090369101e-09
1856,1.656700471253103e-08,1.6049285789243584e-08
1857,1.2691923734209354e-08,9.274867318609381e-09
1858,1.810660127388175e-08,2.4468380099840203e-09
1859,1.8841041837802663e-08,4.582956014687056e-09
1860,4.9433585891378584e-08,4.1194655464593666e-09
1861,2.4523011954435958e-08,6.6023493339173456e-09
1862,1.2198563326126788e-08,8.132375356462163e-09
1863,1.1487628237549785e-08,1.748117250954806e-08
1864,2.0137857159596706e-08,1.2945765792693464e-08
1865,1.6003270930653457e-08,3.294791106611683e-09
1866,1.800276755448138e-08,6.3252969528804215e-09
1867,1.552899675516528e-08,1.4073153309368536e-08
1868,2.1735446775750233e-08,2.2229433072062932e-08
1869,2.051078074050139e-08,6.8369268024781604e-09
1870,1.6055336615750093e-08,5.734048791339319e-09
1871,1.911811908783534e-08,1.1683294998121596e-08
1872,2.8422494247060115e-08,1.451361464344103e-08
1873,1.975381419550004e-08,7.183205141814142e-09
1874,1.852128866941527e-08,2.150859240712677e-08
1875,1.773673402594156e-08,8.010138052849669e-09
1876,1.6928840995689143e-08,7.859819239897092e-09
1877,2.3502301438327322e-08,1.2988113695655557e-08
1878,1.5701630662334765e-08,1.0266450578555464e-08
1879,1.8327975470633362e-08,1.7106110972164856e-08
1880,1.4119261759759638e-08,1.5402831010646878e-08
1881,1.6036767469529423e-08,1.1853262649186291e-08
1882,2.4624924765959122e-08,5.324308105514319e-09
1883,1.9589950550624735e-08,1.39025458922859e-08
1884,2.178559999066465e-08,9.902545450302114e-09
1885,2.7716233141905633e-08,5.801072122668671e-09
1886,1.677900607344185e-08,9.68019553404531e-09
1887,2.1545451422966266e-08,2.0892558849627818e-08
1888,1.6485597775783845e-08,7.608737861986015e-09
1889,2.7566601890072207e-08,5.6386229019267375e-09
1890,1.769684393471138e-08,1.1797895660414781e-08
1891,2.039750490734349e-08,4.461953917456185e-09
1892,2.1939793759528925e-08,1.6298132621272998e-08
1893,6.220000881018706e-08,7.390099754367441e-09
1894,2.7726772655611853e-08,1.0082462864602348e-08
1895,2.1667012406467734e-08,1.0231644642644255e-08
1896,4.304831285883992e-08,1.1204355221394735e-08
1897,2.5054868624252435e-08,6.992056045262984e-09
1898,1.923840697859447e-08,7.921696631996156e-09
1899,1.6029977345510815e-08,1.0502398950507086e-08
1900,1.8687791869531623e-08,7.786579714341713e-09
1901,1.5089594740391732e-08,8.94198237677557e-09
1902,1.964113566232939e-08,1.1784681452908785e-08
1903,2.6461078883599498e-08,8.640351989441797e-09
1904,2.579820090886642e-08,9.13686282189019e-09
1905,2.477164318115399e-08,9.28936660926638e-09
1906,4.629766126029722e-08,1.2346042854716188e-08
1907,2.9314207394826042e-08,1.0799970917574342e-08
1908,3.0941750717161653e-08,6.384805573134145e-09
