year,telles_ADJ heures_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,1.1330369531492579e-08
1809,2.4849335034105025e-08
1810,2.3401266702194334e-08
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,3.5763532135746345e-09
1819,0.0
1820,0.0
1821,0.0
1822,4.010246357211145e-09
1823,7.906149512848515e-09
1824,0.0
1825,1.7610886082763955e-09
1826,8.807984341885344e-10
1827,9.217273055917019e-10
1828,9.172301251858528e-10
1829,0.0
1830,2.0873671680021744e-09
1831,4.677361609140007e-09
1832,4.058990921151917e-09
1833,0.0
1834,8.401078055442213e-09
1835,1.5126175867408165e-09
1836,1.2097349788575684e-08
1837,1.1132625488130543e-08
1838,1.2624323808552163e-08
1839,5.5931801412612e-09
1840,1.9109065441114126e-09
1841,5.1364388298225094e-09
1842,8.049918065466954e-09
1843,5.906911071384968e-10
1844,1.5916826967554698e-08
1845,7.812318791877715e-09
1846,6.439951683034906e-09
1847,5.3932236454556914e-09
1848,4.585776380849893e-08
1849,9.217356655710773e-09
1850,1.3577992064028876e-08
1851,1.1608989325395669e-08
1852,5.208436348880241e-09
1853,8.360704129017904e-09
1854,3.117398783558656e-09
1855,4.2455496895854594e-09
1856,1.8120163147727908e-08
1857,4.881508974818871e-09
1858,9.787352261980686e-09
1859,4.073738679721828e-09
1860,9.612086238064421e-09
1861,8.488735048217677e-09
1862,9.035972858839614e-09
1863,4.495158911765884e-09
1864,6.233146443435089e-09
1865,4.706844247692743e-09
1866,2.432806400776144e-09
1867,6.79393608038481e-09
1868,3.951899252285784e-09
1869,1.0743741896135361e-08
1870,9.17447806614291e-09
1871,1.1683295220166201e-08
1872,1.1489944995446422e-08
1873,9.577607151811662e-09
1874,6.572069999322139e-09
1875,1.2015206607429718e-08
1876,4.836811839936672e-09
1877,1.2988113695655557e-08
1878,3.6234530931267273e-09
1879,9.163987790827832e-09
1880,7.059631101924424e-09
1881,9.761510710859511e-09
1882,8.652000893505374e-09
1883,7.58320695126713e-09
1884,1.1222884843675729e-08
1885,9.66845359329227e-09
1886,1.5488312854472497e-08
1887,1.1752064210668323e-08
1888,1.521747527988282e-08
1889,2.192797943223468e-08
1890,1.1797895993481688e-08
1891,8.286486163910922e-09
1892,6.8953633913793055e-09
1893,1.970693297437265e-08
1894,1.827446460822557e-08
1895,1.745398137131815e-08
1896,4.717623180994224e-09
1897,6.409385022720926e-09
1898,1.1882545614128048e-08
1899,1.6029977345510815e-08
1900,1.9206897405865675e-08
1901,1.0059729937950124e-08
1902,6.38336894454028e-09
1903,2.7001101798873606e-08
1904,1.6123875568041512e-08
1905,1.2901897328276846e-08
1906,1.388929860013377e-08
1907,2.4171363577352167e-08
1908,3.437972395659017e-08
1909,1.4852655993990993e-08
