year,mêmes_ADJ barrières_NOUN
1800,2.829747991484055e-08
1801,9.524730337773235e-09
1802,0.0
1803,3.900678446910888e-09
1804,1.730295728918918e-08
1805,2.2743021688143017e-08
1806,2.5935023018064385e-08
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,1.4040760554223652e-08
1811,0.0
1812,1.0668832928217853e-08
1813,0.0
1814,0.0
1815,1.3486118000116676e-08
1816,0.0
1817,0.0
1818,2.026600220972341e-08
1819,2.070210003424222e-09
1820,1.0679833017945839e-08
1821,1.0847637454958203e-08
1822,1.0025615893027862e-09
1823,8.894418535021487e-09
1824,8.421112696055388e-10
1825,1.7610886082763955e-09
1826,8.80798456392995e-09
1827,6.452091305675367e-09
1828,2.109629271274116e-08
1829,0.0
1830,0.0
1831,6.236482441579483e-09
1832,2.4353944638733083e-08
1833,9.266902800675325e-09
1834,1.8669061851994684e-09
1835,0.0
1836,8.736974699274924e-09
1837,4.174734336004349e-09
1838,1.8936485712828244e-09
1839,6.292327547896548e-09
1840,8.917564464638872e-09
1841,8.988767952189392e-09
1842,2.0124795163667386e-09
1843,5.906910960362666e-09
1844,9.879410178825765e-09
1845,1.4508592549589139e-08
1846,5.269050973311096e-09
1847,9.707802561820245e-09
1848,1.126331028444838e-08
1849,8.379414939696517e-10
1850,1.5614691761811628e-08
1851,4.514607354622058e-09
1852,8.463708844885787e-09
1853,4.180352064508952e-09
1854,6.234797567117312e-09
1855,1.5920811335945473e-09
1856,9.836659486950339e-09
1857,3.4170564155999728e-09
1858,6.8511463169329545e-09
1859,5.092173349652285e-10
1860,5.034902272882391e-09
1861,7.073945429425521e-09
1862,6.325180823552046e-09
1863,5.494082966350788e-09
1864,1.102787461348953e-08
1865,8.943004559114343e-09
1866,8.75810357570117e-09
1867,3.396968040192405e-09
1868,0.0
1869,3.906815315701806e-09
1870,2.2936195165357276e-09
1871,4.248470908407853e-09
1872,1.2094678591978436e-09
1873,3.591602570907071e-09
1874,6.572069999322139e-09
1875,4.005069165202713e-09
1876,1.813804439976252e-09
1877,0.0
1878,4.831270938865373e-09
1879,3.0546627449723474e-09
1880,1.2835692508872398e-09
1881,0.0
1882,4.6587693702804245e-09
1883,1.2638677882037541e-09
1884,6.601696966868076e-10
1885,1.2891271383708158e-09
1886,1.936039106809062e-09
1887,1.7628096316002484e-08
1888,1.2047167707862627e-08
1889,8.771191772893872e-09
1890,3.9326319978272295e-09
1891,5.099376032546843e-09
