year,les_DET arts_NOUN,les_DET barres_NOUN
1800,4.5247672190384947e-05,9.998443317726924e-07
1801,3.912521257376511e-05,1.1739230405538592e-06
1802,4.153655066829742e-05,8.168116210072185e-07
1803,4.048904326481306e-05,7.625826405899261e-07
1804,4.027881173840342e-05,1.275475129514092e-06
1805,4.311792697819783e-05,1.3532097709045843e-06
1806,4.534018168556031e-05,6.310855162894313e-07
1807,4.801389907527209e-05,1.1359350651218847e-06
1808,3.9787727871498646e-05,6.548953628282561e-07
1809,3.578756209066114e-05,6.5285981154517e-07
1810,3.754265478050911e-05,8.120239849418454e-07
1811,3.647796724237651e-05,6.117267346006372e-07
1812,3.812240651512866e-05,3.9287976818513926e-06
1813,3.824448761946542e-05,9.259888322787901e-07
1814,3.671857689724334e-05,2.127153726938502e-06
1815,3.341859902938893e-05,7.201586704752572e-07
1816,2.9528590809846378e-05,1.1170850626740503e-06
1817,3.207470657606848e-05,5.947256230820486e-07
1818,3.106420353304884e-05,1.0633690310513089e-06
1819,3.446175026766696e-05,8.632775800876402e-07
1820,3.125393749314753e-05,7.855610268947544e-07
1821,3.4561559809631603e-05,5.364649567907165e-07
1822,3.086786915673656e-05,5.764729280599568e-07
1823,2.9126255565614656e-05,9.082189397213725e-07
1824,2.7163984043454548e-05,9.62533190040915e-07
1825,3.2852227807467216e-05,9.007968504448627e-07
1826,2.961596720396642e-05,1.4674102111200682e-06
1827,3.0185647712954733e-05,1.058142959031727e-06
1828,2.7465538266824296e-05,1.2180816142404183e-06
1829,3.197537445842613e-05,8.658907824088402e-07
1830,2.8974743937482117e-05,1.9944792868376027e-06
1831,2.6205700084602768e-05,1.568475281210624e-06
1832,2.9242323105194146e-05,1.187931337520709e-06
1833,2.843896600168705e-05,1.2869410834781547e-06
1834,2.7117744961557833e-05,1.2489602017051737e-06
1835,2.3476582086345843e-05,1.0588323107185715e-06
1836,2.2072288142993557e-05,9.187265410659506e-07
1837,2.318299692127823e-05,1.0255931179870004e-06
1838,2.260953234767271e-05,1.016889292770884e-06
1839,2.385701067453283e-05,1.1214326010033915e-06
1840,2.2706028898866748e-05,8.108613542279208e-07
1841,2.277496923497324e-05,7.743181322794612e-07
1842,2.118336024992118e-05,9.820900208623584e-07
1843,2.33163508323031e-05,1.4430584267532964e-06
1844,2.134227001704403e-05,8.276750378399811e-07
1845,2.0550305787736534e-05,9.670535270345226e-07
1846,2.145616139870299e-05,1.080155517918513e-06
1847,2.196498213535847e-05,8.785561158575206e-07
1848,1.9405075526890414e-05,1.4231996802727132e-06
1849,1.7859885637960815e-05,8.463208998055194e-07
1850,1.9543482764561304e-05,9.674319478847337e-07
1851,1.8847195018878438e-05,1.2460315810258749e-06
1852,2.088648052200881e-05,1.1953360896654885e-06
1853,2.1364585627736687e-05,1.4314720306884965e-06
1854,1.9926931617675336e-05,1.0261437166647625e-06
1855,2.0755961188001493e-05,9.377357983453294e-07
1856,2.0478371190790767e-05,1.1705624789470903e-06
1857,1.9153577291319834e-05,1.0973632431632296e-06
1858,1.9120571487007965e-05,8.705849889878436e-07
1859,2.097771677611604e-05,1.2531838162743725e-06
1860,1.9160548887953155e-05,1.018881107928138e-06
1861,2.0510198549317238e-05,1.3275438055515565e-06
1862,1.912373269163936e-05,1.081605910613348e-06
1863,1.9033002427448764e-05,1.0578606799427348e-06
1864,1.851580022815824e-05,9.464792793956178e-07
1865,1.6150124572789082e-05,1.0642174741448684e-06
1866,1.6014678227094237e-05,1.1137387687654154e-06
1867,1.6944077479763564e-05,1.4005214179491077e-06
1868,1.7036142814674804e-05,1.1450628196740809e-06
1869,1.5496871320408445e-05,9.459376437703781e-07
1870,1.6873012150142586e-05,8.916445892737102e-07
1871,1.148255466887349e-05,1.7620532730688865e-06
1872,1.4941161154524707e-05,1.1308524250353003e-06
1873,1.4085666869334545e-05,1.1463198674732666e-06
1874,1.3083796467583397e-05,1.476923394250207e-06
1875,1.4717484404513925e-05,9.263152769278804e-07
1876,1.550681874817883e-05,1.0495881497263326e-06
1877,1.4830569810442285e-05,1.1002787747571574e-06
1878,1.5379746734822675e-05,9.529682092335179e-07
1879,1.4357524932506749e-05,1.3122830360146054e-06
1880,1.5814214819442896e-05,1.0217211574570229e-06
1881,1.3218479580245912e-05,1.0277475861464325e-06
1882,1.2680505534490294e-05,9.084600520736785e-07
1883,1.3465247192812058e-05,9.858168770193743e-07
1884,1.2563029784473656e-05,9.38761301583213e-07
1885,1.1432623679752396e-05,1.2266044997488734e-06
1886,1.1437474427111738e-05,1.7037144228737588e-06
1887,1.0470436677678663e-05,1.0877188145741457e-06
1888,1.0316180208747028e-05,1.6853353796975057e-06
1889,1.1783468764292593e-05,1.4340898086828702e-06
1890,9.752272106311466e-06,1.429511691242169e-06
1891,1.0514913597603481e-05,1.7611969713726694e-06
1892,9.610882955257694e-06,1.2656126706644955e-06
1893,9.34354917347946e-06,1.5968773983132678e-06
1894,9.87199143764883e-06,1.6075227273759651e-06
1895,9.760387314372565e-06,1.9476236214899245e-06
1896,9.159855451912335e-06,1.2737582064659136e-06
1897,9.584943903462317e-06,1.3885058329776712e-06
1898,8.932844764331094e-06,1.497200742939242e-06
1899,8.955229617413352e-06,1.6516403995581186e-06
1900,9.861443857062113e-06,1.3512311660690557e-06
1901,8.797234059443326e-06,1.6196165697479614e-06
1902,8.129957024038958e-06,7.391450079552442e-06
1903,8.98542670313418e-06,1.16158743068695e-06
1904,9.158898791383763e-06,1.3834285317315675e-06
1905,8.823349531894564e-06,1.1322705164573676e-06
1906,8.533173485147927e-06,1.3410888950460276e-06
1907,8.792204837959616e-06,1.3849676703259206e-06
1908,8.725573898971106e-06,1.1998523437029007e-06
1909,9.237801570805004e-06,1.5919846010348238e-06
1910,9.022529603441853e-06,1.6305004049144145e-06
1911,9.256918900746314e-06,1.50832607470619e-06
1912,9.151911051219486e-06,1.3122532358522676e-06
1913,9.327959091365301e-06,1.6513509928373082e-06
1914,9.098865675127854e-06,1.4190399979518986e-06
1915,6.676157671137162e-06,1.3194453476472745e-06
1916,6.649611876241579e-06,1.1558810339984404e-06
1917,7.172041335934409e-06,1.8522291300726579e-06
1918,7.347834809934284e-06,1.6172818133597389e-06
1919,8.460171187607557e-06,1.4281373319491308e-06
1920,8.923875157051953e-06,1.9930113466237742e-06
1921,8.51706920457218e-06,1.3365898721140468e-06
1922,9.132408621326249e-06,1.39147866029532e-06
1923,9.42165388551075e-06,1.1762470073506393e-06
1924,1.0295251257730342e-05,1.232439308829214e-06
1925,9.82907121738208e-06,9.183478368868236e-07
1926,9.495395516978533e-06,1.2060121532542212e-06
1927,1.0040991895721163e-05,9.409945560534538e-07
1928,9.32136433107189e-06,9.906377673729594e-07
1929,9.354599001198949e-06,9.357941497256661e-07
1930,9.857632193188692e-06,8.938566526950353e-07
1931,8.933815735190365e-06,1.1793139202964653e-06
1932,8.575837512125872e-06,1.162806786858539e-06
1933,8.592673040652699e-06,9.71565066620883e-07
1934,8.714203261206421e-06,9.525356059469914e-07
1935,9.392709472422212e-06,9.203610709107579e-07
1936,8.075059724887979e-06,1.2245961293899654e-06
1937,8.427235201224903e-06,8.927102639333384e-07
1938,8.57259976783098e-06,8.686693758752639e-07
1939,7.879494802409681e-06,9.864662331438012e-07
1940,7.721459155618504e-06,7.810211162251335e-07
1941,8.886974484312304e-06,1.2101160677957523e-06
1942,9.824778160805181e-06,7.49450322246048e-07
1943,8.933254939336166e-06,1.0538743655530425e-06
1944,8.026538850458564e-06,1.3013403687978098e-06
1945,9.822874602605225e-06,9.454707399214612e-07
1946,9.886768481237596e-06,1.1331779061762859e-06
1947,9.142116141447332e-06,8.082350460014709e-07
1948,9.121513770082856e-06,9.817314428062218e-07
1949,8.554540869454286e-06,1.221235805815013e-06
1950,8.55614837291796e-06,1.3368649578460179e-06
1951,9.28608102412909e-06,1.2815005123734124e-06
1952,7.6228390071264585e-06,1.1272395807893076e-06
1953,8.137471866120904e-06,9.728766334760053e-07
1954,8.794305330184216e-06,1.0231845344321755e-06
1955,8.75301796554595e-06,1.0802834453649268e-06
1956,8.776084627015734e-06,1.1607839365268546e-06
1957,8.289032365382809e-06,1.6786571621629776e-06
1958,8.281343028215815e-06,1.5295377853163927e-06
1959,8.078604409433865e-06,1.4757424093847504e-06
1960,8.048929387882708e-06,1.2976563001920738e-06
1961,8.60460033891286e-06,1.3000005898433642e-06
1962,8.677064656126277e-06,1.1136475337458762e-06
1963,8.478289188929011e-06,1.3248942689614296e-06
1964,8.923356503487412e-06,1.3080531990894428e-06
1965,9.607814121181946e-06,1.2317569737518852e-06
1966,9.197079535283592e-06,9.560443121614526e-07
