year,aux_ADP aveux_NOUN,aux_ADP baveux_ADJ
1800,1.3834323908668011e-07,0.0
1801,2.6193008650921e-08,0.0
1802,8.951360541686881e-09,0.0
1803,8.386458461018265e-08,0.0
1804,1.3595179737535545e-07,0.0
1805,1.336152555264647e-07,0.0
1806,1.0085842205853623e-07,0.0
1807,9.964342950752325e-08,0.0
1808,5.4385775882792586e-08,0.0
1809,8.810219043198231e-08,0.0
1810,7.488405717737123e-08,0.0
1811,5.0141533591840926e-08,0.0
1812,5.067695596494559e-08,0.0
1813,1.1790540810352468e-07,0.0
1814,9.125363931161701e-08,0.0
1815,1.1867783911156948e-07,0.0
1816,3.244645441213834e-08,0.0
1817,5.7604316872073014e-08,0.0
1818,8.70245977502293e-08,0.0
1819,1.0972112929330535e-07,0.0
1820,4.2719332071783356e-08,0.0
1821,3.9445952726424593e-08,0.0
1822,9.323822780515911e-08,0.0
1823,1.0080340739904159e-07,0.0
1824,1.2126402104684075e-07,0.0
1825,8.101007864524945e-08,0.0
1826,5.6371099788066203e-08,0.0
1827,1.1982454850567592e-07,0.0
1828,1.302466803854152e-07,0.0
1829,8.230249193275085e-08,0.0
1830,1.0436836106464398e-07,0.0
1831,5.9246584527272717e-08,0.0
1832,5.0060886991332154e-08,0.0
1833,6.255159235024621e-08,0.0
1834,7.000898261111388e-08,0.0
1835,9.15133639978194e-08,0.0
1836,7.191202255896201e-08,0.0
1837,4.5922081248761515e-08,0.0
1838,8.142689011947368e-08,0.0
1839,7.550793079680318e-08,0.0
1840,6.624476167615967e-08,0.0
1841,5.5216719196948816e-08,0.0
1842,3.219967181777861e-08,0.0
1843,7.915260558100101e-08,0.0
1844,9.934296230085238e-08,0.0
1845,6.473064217971114e-08,0.0
1846,9.425746982927308e-08,0.0
1847,8.790954186821409e-08,0.0
1848,4.424871846708811e-08,0.0
1849,6.619738002200393e-08,0.0
1850,6.924775863836885e-08,0.0
1851,8.255281791491598e-08,0.0
1852,7.356916142953196e-08,0.0
1853,6.389967088793469e-08,0.0
1854,6.338710872855202e-08,0.0
1855,9.181000848457188e-08,0.0
1856,3.9346637947801355e-08,0.0
1857,8.542640728137485e-08,0.0
1858,1.1059707627492088e-07,0.0
1859,7.79102498071893e-08,0.0
1860,6.820003761731641e-08,0.0
1861,6.272231650727988e-08,0.0
1862,5.46676339752139e-08,0.0
1863,7.741662244598047e-08,0.0
1864,7.575670224468922e-08,0.0
1865,1.0496262858872285e-07,0.0
1866,6.033360056001413e-08,0.0
1867,5.968958305402339e-08,0.0
1868,4.643481688049178e-08,0.0
1869,1.0841412301232367e-07,0.0
1870,6.422134735117879e-08,0.0
1871,6.478918379571041e-08,0.0
1872,4.112190765681589e-08,0.0
1873,4.669083608632718e-08,0.0
1874,5.0186717670541725e-08,0.0
1875,4.863298030954866e-08,0.0
1876,4.776351603119622e-08,0.0
1877,6.803297680768594e-08,0.0
1878,6.2202616391005e-08,1.2078177347163432e-09
1879,9.225081187835826e-08,0.0
1880,3.786529134686134e-08,0.0
1881,4.6715799728591634e-08,0.0
1882,6.788492612486152e-08,0.0
1883,5.118664453407362e-08,0.0
1884,5.8755102116947455e-08,0.0
1885,4.3185760745245716e-08,0.0
1886,7.7441569601433e-08,0.0
1887,6.46363540468542e-08,0.0
1888,5.7699594435689505e-08,1.268122939990235e-09
1889,6.01453109538852e-08,6.265136742733546e-10
1890,6.226667448316903e-08,0.0
1891,4.270727416155751e-08,0.0
1892,4.7013841708576365e-08,0.0
1893,6.158416709922676e-08,0.0
1894,8.822155139753818e-08,0.0
1895,5.597311392158133e-08,0.0
1896,5.425266635938897e-08,0.0
1897,4.661370667236042e-08,0.0
1898,8.317781663436108e-08,0.0
1899,9.120504351756153e-08,0.0
1900,1.8947343960462604e-07,0.0
1901,6.203499935963919e-08,0.0
1902,5.4013121086882165e-08,0.0
1903,1.015241442026138e-07,0.0
1904,4.6759239147320386e-08,0.0
1905,7.947569002908494e-08,0.0
1906,6.07013745934637e-08,0.0
