year,es_VERB à_ADP
1800,9.118077315406481e-08
1801,9.524730160137551e-08
1802,8.727576528144709e-08
1803,8.971560561121805e-08
1804,7.662737999680758e-08
1805,7.960057502032214e-08
1806,4.8988376022407465e-08
1807,9.11025637151397e-08
1808,7.251436784372345e-08
1809,8.810219043198231e-08
1810,7.722418615685456e-08
1811,5.264861258069686e-08
1812,5.601137331723294e-08
1813,7.476928232108548e-08
1814,1.4474714760126517e-07
1815,3.776112933451259e-08
1816,6.025770460382773e-08
1817,8.56280379935015e-08
1818,4.2916237674717195e-08
1819,8.384350280721264e-08
1820,6.289234733003468e-08
1821,1.015733275266939e-07
1822,1.2532019866284827e-07
1823,8.499110748516614e-08
1824,7.410579172528742e-08
1825,7.220463515977826e-08
1826,4.492072136486058e-08
1827,9.032927295038462e-08
1828,6.879226077671774e-08
1829,4.9724420136953995e-08
1830,5.218418053232199e-08
1831,5.3010101197514814e-08
1832,7.712082350508354e-08
1833,7.29768601104297e-08
1834,3.360431222176885e-08
1835,6.504255622985511e-08
1836,1.0820407680967037e-07
1837,1.1271783506572319e-07
1838,5.680945847075236e-08
1839,6.082583325905944e-08
1840,8.407989326997267e-08
1841,6.805781538332667e-08
1842,8.049917710195587e-08
1843,3.898561473647533e-08
1844,6.366730787021879e-08
1845,9.87700374821543e-08
1846,6.14722637237719e-08
1847,7.5505127483666e-08
1848,6.516629724728773e-08
1849,3.016589289472904e-08
1850,5.7706465383944305e-08
1851,5.7400004749297295e-08
1852,5.9245962802378926e-08
1853,9.793968303029033e-08
1854,5.923057599943604e-08
1855,6.42139355022664e-08
1856,6.989205303398194e-08
1857,7.468708673741276e-08
1858,8.563932851757272e-08
1859,7.892868580938739e-08
1860,8.330474798867726e-08
1861,7.121105483065548e-08
1862,6.505900529418795e-08
1863,8.840478926686046e-08
1864,6.856460998960756e-08
1865,7.719224726088214e-08
1866,9.682569412916564e-08
1867,6.842464017609018e-08
1868,6.619431047738544e-08
1869,8.301982745706482e-08
1870,4.9886224928741285e-08
1871,6.691341525311145e-08
1872,7.861540751719076e-08
1873,7.542365665358375e-08
1874,9.43988212043223e-08
1875,8.982797794487851e-08
1876,6.831997012568536e-08
1877,7.421779457672528e-08
1878,4.287753085918666e-08
1879,4.215434401544371e-08
1880,6.032775701214632e-08
1881,6.066081681410651e-08
1882,7.254369904785563e-08
1883,8.278333751832179e-08
1884,6.271611852071146e-08
1885,5.8655285073427876e-08
1886,6.388929563172496e-08
1887,9.336362438716606e-08
1888,6.404020780337305e-08
1889,5.0121094830046786e-08
1890,7.537544632896243e-08
1891,4.3344694944380535e-08
1892,8.274436424926535e-08
1893,4.557228194812524e-08
1894,6.994708456886656e-08
1895,5.8982422501685505e-08
1896,7.725108019940308e-08
1897,4.311768009301886e-08
1898,5.375436984422777e-08
1899,6.743645997175918e-08
1900,6.125442553184257e-08
1901,6.091725168744233e-08
1902,6.481574388317313e-08
1903,6.804277319361063e-08
1904,6.71828175313749e-08
1905,6.863809431933987e-08
1906,9.053764671307363e-08
1907,8.331406320394308e-08
1908,6.77771723189835e-08
1909,8.251475236420447e-08
1910,8.283433317046729e-08
1911,6.650467554436545e-08
1912,6.668059171488494e-08
1913,7.954484715355647e-08
1914,6.027069332503743e-08
1915,6.008188790929125e-08
1916,7.581348882013117e-08
