year,deux_DET heures_NOUN
1800,1.6107554699829052e-05
1801,1.3696562405129953e-05
1802,1.4049160284912432e-05
1803,1.2802027100633495e-05
1804,1.3043957494573988e-05
1805,1.3702670912607573e-05
1806,1.5978855003595527e-05
1807,1.605682703598177e-05
1808,1.1976201392371877e-05
1809,1.5478876889574167e-05
1810,1.35657149655799e-05
1811,1.350060801996733e-05
1812,1.3490739291910359e-05
1813,1.6552768556721276e-05
1814,2.266236811010458e-05
1815,1.8637815514921385e-05
1816,1.4262534136832983e-05
1817,1.5514243159486796e-05
1818,1.7846002947408124e-05
1819,1.2478190541287404e-05
1820,1.8903304408013355e-05
1821,1.5439145670370635e-05
1822,1.7077633458484343e-05
1823,2.0854445153872803e-05
1824,1.6881804981494497e-05
1825,1.7957821398795204e-05
1826,1.859629810496699e-05
1827,1.638185909769163e-05
1828,1.4965527043386828e-05
1829,1.5288544886971067e-05
1830,1.6875319715836667e-05
1831,1.623200500944222e-05
1832,1.6506561962614796e-05
1833,1.950683059703806e-05
1834,1.9818142618532875e-05
1835,1.7809558812587056e-05
1836,1.6008827401492454e-05
1837,1.6787302797638404e-05
1838,1.6327670095961366e-05
1839,1.4533878527345223e-05
1840,1.57770817850178e-05
1841,1.6832751498441212e-05
1842,1.653318929584202e-05
1843,1.4146461069231009e-05
1844,1.2907998439004587e-05
1845,1.376753846216161e-05
1846,1.6126809669003705e-05
1847,1.4196043593983632e-05
1848,1.668176776092878e-05
1849,1.756828169163782e-05
1850,1.6575334427670896e-05
1851,1.5814668586244807e-05
1852,1.5501608686463442e-05
1853,1.6080023897302453e-05
1854,1.5527762627698394e-05
1855,1.5755765559788415e-05
1856,1.5193497290511004e-05
1857,1.7757952946340083e-05
1858,1.6777478322183015e-05
1859,1.6445174367163418e-05
1860,1.830186943152512e-05
1861,1.680062126752091e-05
1862,1.738927812766633e-05
1863,1.5469839070192393e-05
1864,1.5318196460611944e-05
1865,1.539420480867193e-05
1866,1.5660461940569803e-05
1867,1.5268885647401476e-05
1868,1.8126868326362455e-05
1869,1.7193894677802746e-05
1870,1.661440586531171e-05
1871,2.461457756908203e-05
1872,2.053253120948284e-05
1873,1.8682918209833588e-05
1874,2.0490520284965896e-05
1875,1.8516578279559326e-05
1876,1.6249269322088367e-05
1877,1.6582109651608334e-05
1878,1.5807918543941923e-05
1879,1.600765449438768e-05
1880,1.591240811649186e-05
1881,1.748007707647048e-05
1882,1.682547838299797e-05
1883,1.759430352876734e-05
1884,1.802461258648691e-05
1885,1.8110303244611714e-05
1886,1.7061667904272326e-05
1887,1.7910146937083482e-05
1888,1.7513412160496955e-05
1889,1.7658915339779924e-05
1890,1.7237381314316735e-05
1891,1.7638103770423186e-05
1892,1.7339331861876417e-05
1893,1.7376588743900356e-05
1894,1.7293313987920556e-05
1895,1.7881905478134286e-05
1896,1.663610902369328e-05
1897,1.6854350747053104e-05
1898,1.615290608469877e-05
1899,1.619967395072308e-05
1900,1.545636081345947e-05
1901,1.5626672507096373e-05
1902,1.4631173144152854e-05
1903,1.565577866813328e-05
1904,1.4278766457209713e-05
1905,1.5047740873797011e-05
1906,1.4887784004713467e-05
1907,1.391036255427025e-05
1908,1.4780825097204797e-05
1909,1.4753637799458375e-05
1910,1.4705499609135586e-05
1911,1.4490039404790878e-05
1912,1.4362374486154295e-05
1913,1.4642084693150537e-05
1914,1.4048429136437335e-05
1915,1.516773068033217e-05
1916,1.3727734881285869e-05
1917,1.4953816219076543e-05
1918,1.2909537986161013e-05
1919,1.323536116615287e-05
1920,1.1983057049747003e-05
1921,1.255031429536757e-05
1922,1.2104978395655053e-05
1923,1.1106405224836635e-05
1924,1.221352471247883e-05
1925,1.2325658076406398e-05
1926,1.1678924124680634e-05
1927,1.34972514160836e-05
1928,1.187851290751496e-05
1929,1.2459430195121968e-05
1930,1.1301877293590223e-05
1931,1.0831666827471054e-05
1932,1.1303665644391003e-05
1933,1.0792745740673126e-05
1934,1.0437154173814633e-05
1935,1.0779833246488124e-05
1936,9.966515449377766e-06
1937,1.2375810342746263e-05
1938,1.0486265068720968e-05
1939,1.0718070768689358e-05
1940,9.49397161775778e-06
1941,1.007643010098036e-05
1942,1.0901923303663352e-05
1943,1.0413904476536118e-05
1944,1.0189013664785307e-05
1945,1.0689919065498543e-05
1946,1.0818089947406406e-05
1947,1.1148398243676638e-05
1948,1.018369738403635e-05
1949,9.49206548739312e-06
1950,9.612239296075131e-06
1951,1.0771213908356003e-05
1952,1.0492080321000685e-05
1953,9.74492667182858e-06
1954,9.693378672182007e-06
1955,9.780742345810722e-06
1956,1.0025824337844824e-05
1957,8.567336408304982e-06
1958,9.326127440090204e-06
1959,9.496991651758435e-06
1960,9.813741598918568e-06
1961,9.756605606980884e-06
1962,1.0502913880827691e-05
1963,9.690674005469191e-06
1964,9.382696362081333e-06
1965,8.846105515658564e-06
1966,9.938207824689016e-06
1967,9.566330106736132e-06
1968,9.981273876746855e-06
1969,9.4886405008765e-06
1970,8.459354944534425e-06
1971,8.610412521647959e-06
1972,8.619672655640898e-06
1973,8.798521662356507e-06
1974,8.163829363638797e-06
1975,7.671659972174893e-06
1976,8.067499834396585e-06
1977,7.471152571270068e-06
1978,7.699006403072417e-06
1979,7.661988774998463e-06
1980,8.035960490815341e-06
1981,8.029652576624358e-06
1982,7.309954753509373e-06
1983,7.366816362264217e-06
1984,7.257459117226972e-06
1985,7.761874428524607e-06
1986,7.801223432579718e-06
1987,7.55358047399568e-06
1988,7.640209105375106e-06
1989,8.80679004922058e-06
1990,7.758879064567736e-06
1991,7.534913720519398e-06
1992,7.477545238998573e-06
1993,8.186948718957865e-06
1994,7.555804756975704e-06
1995,7.646198071142862e-06
1996,7.004110727848456e-06
1997,7.262826585474613e-06
1998,7.84500286954426e-06
1999,7.321919269998034e-06
2000,7.564553641259408e-06
2001,7.260544180098805e-06
2002,7.952355190354865e-06
2003,7.798813101089763e-06
2004,8.258543516603822e-06
2005,8.30716572863821e-06
2006,8.762457980537874e-06
2007,9.576364618624211e-06
2008,1.0214449730483466e-05
2009,1.0519586680857174e-05
2010,1.2508603731475887e-05
2011,1.445040732050984e-05
2012,1.7723220253174077e-05
2013,1.8247292814521643e-05
2014,1.9654664129120647e-05
2015,2.045810492745659e-05
2016,2.0486795619945042e-05
2017,1.731319161990541e-05
2018,2.0209011609040317e-05
2019,2.0210456341374083e-05
