year,serez_VERB aux_ADP,serez_VERB beau_ADV
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,1.1189200677108602e-08,0.0
1803,9.751696339321825e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-08,0.0
1817,2.490997452753163e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,1.035105001712111e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,8.875339574387908e-09,0.0
1822,1.303330066093622e-08,0.0
1823,3.360113609574e-08,0.0
1824,4.210556348027694e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,6.1655889282974385e-09,0.0
1827,9.217273055917019e-10,0.0
1828,1.4675682002973645e-08,0.0
1829,9.430493719264632e-09,0.0
1830,1.7742621594152297e-08,6.262101504006523e-09
1831,1.2472964883158966e-08,0.0
1832,4.058990921151917e-09,0.0
1833,5.791814139399776e-09,0.0
1834,1.120143711119681e-08,0.0
1835,3.025235173481633e-09,0.0
1836,8.064899859050456e-09,0.0
1837,2.0873672568200163e-08,6.957890930081589e-10
1838,2.5248647617104325e-09,6.312161904276081e-10
1839,1.0487212875887053e-08,1.3982950353153e-09
1840,8.917564464638872e-09,0.0
1841,3.0818632978935057e-08,0.0
1842,9.391571076378114e-09,0.0
1843,8.269675610961258e-09,2.3627644285539873e-09
1844,1.866110821424627e-08,0.0
1845,5.022205318283568e-09,0.0
1846,1.8734404250153602e-08,1.1709002656346001e-09
1847,5.3932236454556914e-09,0.0
1848,8.04522137798358e-09,0.0
1849,9.217356655710773e-09,0.0
1850,1.0862393651223101e-08,5.431196825611551e-09
1851,7.739326512989919e-09,7.739326512989919e-09
1852,6.510545436100301e-09,1.3021090872200602e-09
1853,1.4332636411040767e-08,1.7915795513800958e-09
1854,9.871762074453727e-09,1.0391328908454511e-09
1855,7.429711956774554e-09,5.306937111981824e-10
1856,1.346069211649592e-08,1.0354378465748937e-09
1857,1.1715622250108026e-08,4.881509085841174e-10
1858,2.397901255335455e-08,2.4468380654951716e-09
1859,8.656694916453489e-09,5.092173349652285e-10
1860,8.238931314963338e-09,2.288591982591015e-09
1861,9.903524222920623e-09,1.4147891747029462e-09
1862,2.5752521892741242e-08,2.2589932147099034e-09
1863,1.1487627737949424e-08,4.994620828036034e-10
1864,2.7809422320501653e-08,1.9178911792039344e-09
1865,8.943004559114343e-09,1.882737743486018e-09
1866,2.2868380966656332e-08,0.0
1867,1.1161466417775046e-08,4.85281148598915e-10
1868,8.397785578040384e-09,0.0
1869,1.0255390314739543e-08,0.0
1870,9.747882501187632e-09,5.734048791339319e-10
1871,2.1242353653860846e-08,0.0
1872,2.237515595027162e-08,6.047339295989218e-10
