year,nos_DET ailes_NOUN,nos_DET belles_NOUN
1800,4.7162465932615305e-08,2.79830626226385e-07
1801,2.8574191901498125e-08,2.524053472896526e-07
1802,2.4616241489638924e-08,1.969299319171114e-07
1803,3.1205427131197894e-08,1.8723256345332118e-07
1804,2.7190360185613827e-08,2.125791889184825e-07
1805,7.107194477384837e-08,1.9900143710671614e-07
1806,8.645007376628655e-09,1.873084922721091e-07
1807,3.131650672116848e-08,2.8754246983453413e-07
1808,2.039466551195801e-08,2.2207525596229516e-07
1809,4.743964154840796e-08,2.078308145581076e-07
1810,2.574139479349924e-08,2.6443432510347975e-07
1811,3.760615285841595e-08,3.76061512596948e-07
1812,1.8670456736202823e-08,3.867451949801648e-07
1813,3.4508900625951355e-08,1.984261785992203e-07
1814,6.608021774212602e-08,2.202673936579913e-07
1815,3.506390555685357e-08,2.7781402600624006e-07
1816,4.4034472068688046e-08,1.413738370814599e-07
1817,7.628679554727569e-08,1.6814233116946298e-07
1818,1.668964877410417e-08,1.4543836535096943e-07
1819,1.6561680249438382e-08,1.7286253850556932e-07
1820,2.610625937649047e-08,1.6850402673185272e-07
1821,2.4653719843392707e-08,2.702047861014023e-07
1822,5.514088741165324e-08,2.2958660395033803e-07
1823,2.1050122711585573e-07,2.0259507937936405e-07
1824,6.652679207519441e-08,1.776854734458766e-07
1825,8.101007553662498e-08,2.03405740251128e-07
1826,1.76159691278599e-08,1.761596877258853e-07
1827,1.087638210606201e-07,1.401025464531358e-07
1828,1.7427371545863934e-08,1.4033620221454157e-07
1829,7.715858307832946e-08,1.9375377480201905e-07
1830,8.55820516676431e-08,1.9934356565443068e-07
1831,6.704218780129167e-08,9.042899229427803e-08
1832,2.976593194148336e-08,1.488296641483089e-07
1833,7.52935847003755e-08,2.2703912261334835e-07
1834,9.054494887195119e-08,1.8575716431712408e-07
1835,3.554651328840919e-08,1.194967893525245e-07
1836,6.787957396170441e-08,1.3643122276363329e-07
1837,4.453050017616533e-08,1.3011256250194947e-07
1838,6.880256364638626e-08,1.1361891694150472e-07
1839,5.5232654005976656e-08,1.4891842425868163e-07
1840,4.9683572367342776e-08,1.1656530141124222e-07
1841,5.906904743113728e-08,1.5280905429904124e-07
1842,7.244926081284575e-08,9.123240740649408e-08
1843,4.075768811340197e-08,8.860366412788423e-08
1844,3.2931367854871496e-08,1.0757580304332492e-07
1845,5.245414191890063e-08,1.311353554633854e-07
1846,4.27378594736183e-08,8.840297294199218e-08
1847,7.06512315318264e-08,1.2943736216186608e-07
1848,2.735375304041554e-08,8.125673645054121e-08
