year,autres_ADJ os_NOUN
1800,2.5153315164061496e-07
1801,6.691122962365625e-07
1802,1.9245425164626795e-07
1803,6.494629474218527e-07
1804,7.143649440877198e-07
1805,6.02690079176682e-07
1806,5.907421609663288e-07
1807,5.039110533289204e-07
1808,3.013878426827432e-07
1809,3.140052342587296e-07
1810,2.737948250342015e-07
1811,1.6546707115594472e-07
1812,1.416287545907835e-06
1813,6.470418725257332e-07
1814,3.5242783269495703e-07
1815,5.906919682274747e-07
1816,3.383701709935849e-07
1817,3.144884317407559e-07
1818,5.185711984267982e-07
1819,4.0162075265470776e-07
1820,3.76167463400634e-07
1821,3.6290276739237015e-07
1822,5.84493420774379e-07
1823,4.852399229093862e-07
1824,2.930547111645865e-07
1825,7.026743560345494e-07
1826,2.4750434590714576e-07
1827,2.50709831561835e-07
1828,6.558195195793814e-07
1829,5.12675910613325e-07
1830,3.037119142845768e-07
1831,2.556957667820825e-07
1832,3.0171833031999995e-07
1833,5.479056426338502e-07
1834,7.038236162770772e-07
1835,6.012654694131925e-07
1836,5.282509505377675e-07
1837,5.009681558476586e-07
1838,3.4464403597667115e-07
1839,3.104214840732311e-07
1840,2.45233024998015e-07
1841,3.39004969873713e-07
1842,1.636816620020909e-07
1843,3.3196840831806185e-07
1844,1.9155078234689427e-07
1845,3.297914759059495e-07
1846,2.3183825703654293e-07
1847,2.443130426854623e-07
1848,1.8021296455117408e-07
1849,1.9188860278518405e-07
1850,2.661286373495386e-07
1851,2.199258659629777e-07
1852,2.0508218767645303e-07
1853,2.974022095258988e-07
1854,1.9847438181841426e-07
1855,3.1947760703587846e-07
1856,1.5945742859457823e-07
1857,1.2252587566763395e-07
1858,8.270312434888183e-08
1859,1.1050016013314234e-07
1860,1.7347527148103836e-07
1861,1.6364394639367674e-07
1862,1.48641746022804e-07
1863,1.2886121680821816e-07
1864,4.1714133658388164e-07
1865,2.5652300905676384e-07
1866,1.430490215170721e-07
1867,3.0378600968106184e-07
1868,3.6308074413682334e-07
1869,2.9105774501658743e-07
1870,3.1250564802576264e-07
1871,2.8995813750043453e-07
1872,2.527787898998213e-07
1873,3.3880786531881313e-07
1874,3.46527343708658e-07
1875,2.2313956549169234e-07
1876,1.910540703420338e-07
1877,1.8183358463375043e-07
1878,2.0714074366878776e-07
1879,2.6575565925668343e-07
1880,1.918936050060438e-07
1881,1.2829413265080802e-07
1882,2.342695495372027e-07
1883,1.4092125866227434e-07
1884,1.954102231138677e-07
1885,2.681384501102002e-07
1886,2.1812708439483686e-07
1887,1.55388406142265e-07
1888,1.490044496677001e-07
1889,1.7730336310251005e-07
1890,1.5664983266105992e-07
1891,1.434199532468483e-07
1892,1.0781841552898186e-07
1893,1.558079389951672e-07
1894,1.5375755424429371e-07
1895,1.2458532694381574e-07
1896,1.2206849930862518e-07
1897,1.299357137440893e-07
1898,1.1316709702668959e-07
1899,1.1829017410036613e-07
1900,9.759180130686218e-08
1901,9.27730638977664e-08
1902,1.2177504515875626e-07
1903,1.425658098241911e-07
1904,1.289910045443321e-07
1905,1.0785986148675875e-07
1906,1.1008555134139897e-07
1907,1.1057112914159006e-07
1908,1.11488532184012e-07
1909,1.1111986708556287e-07
1910,9.40570501484217e-08
1911,8.565802289695057e-08
1912,1.0106277414934084e-07
1913,1.283323456391372e-07
1914,1.9420556895966e-07
1915,1.5197183245163615e-07
1916,5.493730981243061e-08
1917,9.760118047097421e-08
1918,9.074237539152818e-08
1919,7.918749389546065e-08
1920,1.226701584755574e-07
1921,1.0450391130234493e-07
1922,9.07486068513208e-08
1923,1.0509788950230359e-07
1924,7.477142105472012e-08
1925,1.0448268739082778e-07
1926,9.028372005559504e-08
1927,1.3825038536197098e-07
1928,6.741364444451392e-08
1929,4.790374674712439e-08
1930,6.722306267192835e-08
1931,1.243183902488454e-07
1932,7.890866271509367e-08
1933,7.570636739728798e-08
1934,1.066360653112497e-07
1935,1.1489552775856282e-07
1936,7.274828561776303e-08
1937,8.310137644684801e-08
1938,8.168085230408906e-08
1939,7.188203454688846e-08
1940,4.81798743123818e-08
1941,1.9479917057196872e-07
1942,1.0012898599143227e-07
1943,1.451617634984359e-07
1944,7.711646787811333e-08
1945,8.714016530575464e-08
1946,7.517396483081029e-08
1947,7.033313664805974e-08
1948,1.0437012321062866e-07
1949,4.319483792869505e-08
1950,1.0209947021166954e-07
1951,1.0554787621686046e-07
1952,1.6449894246761687e-07
1953,1.3144070010184805e-07
1954,8.502106396690579e-08
1955,1.3139850807419862e-07
1956,1.0727003996180429e-07
1957,7.598132611974506e-08
1958,1.3152866529253515e-07
1959,6.278105502133258e-08
1960,6.574791910907152e-08
1961,5.83645380913822e-08
1962,7.54692806026469e-08
1963,4.590897972889252e-08
1964,4.319617374903828e-08
1965,5.307882133820385e-08
1966,6.813061759203265e-08
1967,5.916402656680475e-08
1968,6.108325578679796e-08
1969,1.326193341810722e-07
1970,4.966623023960892e-08
1971,4.8300936583700604e-08
1972,4.2580218462262565e-08
1973,3.583582497412863e-08
1974,6.300640364997889e-08
1975,4.9118728639996334e-08
1976,6.856232204199841e-08
1977,5.818014159331142e-08
1978,6.059403290237242e-08
1979,4.271940667877061e-08
1980,6.196814439363152e-08
1981,5.819505588533502e-08
1982,4.6556266397601576e-08
1983,4.673333720006667e-08
1984,3.7113654371978555e-08
1985,3.9702683807263384e-08
1986,6.474044056403727e-08
1987,3.422057304192094e-08
1988,5.157036397918091e-08
1989,3.5123981945162086e-08
1990,3.0512445903241314e-08
1991,3.3996499837485317e-08
1992,3.250866953408149e-08
1993,3.822053074031828e-08
1994,2.5847139539791897e-08
1995,3.036572593373421e-08
1996,3.790045610685411e-08
1997,3.5961708277909565e-08
1998,3.5284156041370807e-08
1999,6.306877509132391e-08
2000,2.7391795498488136e-08
2001,3.7240301509200435e-08
2002,3.680225901803169e-08
2003,4.750292248445476e-08
2004,2.070251881036711e-08
2005,4.68389949048742e-08
2006,4.200247616381603e-08
2007,4.2740929018236784e-08
2008,4.0871420026178384e-08
2009,4.196009228962794e-08
2010,3.920748170571642e-08
2011,6.080115610984649e-08
2012,5.27659160809435e-08
2013,4.016339971713023e-08
2014,3.39974910446017e-08
2015,3.56868632422902e-08
2016,4.0391132216655024e-08
2017,3.270294612889302e-08
2018,2.9945013579890656e-08
2019,3.061185438468783e-08
