year,aviez_VERB eu_VERB,aviez_VERB bu_VERB
1800,2.4524482000742864e-07,0.0
1801,3.3336556271024165e-07,0.0
1802,2.528759353026544e-07,0.0
1803,1.969842600146876e-07,0.0
1804,1.3100809326260787e-07,0.0
1805,2.6723051860244595e-07,0.0
1806,2.305335300434308e-07,5.76333825108577e-09
1807,1.679703558465917e-07,0.0
1808,2.01680592226694e-07,4.5321479902327155e-09
1809,2.191259653727684e-07,2.259030518203531e-09
1810,3.603795164508483e-07,0.0
1811,1.3036799373367103e-07,0.0
1812,2.453831484672264e-07,2.6672082320544632e-09
1813,2.041776525629757e-07,0.0
1814,2.0453401816666883e-07,0.0
1815,1.5643897199879575e-07,0.0
1816,2.595716352971067e-07,0.0
1817,2.880215674849751e-07,0.0
1818,2.062363648747123e-07,3.5763532135746345e-09
1819,2.4014437371988606e-07,2.070210003424222e-09
1820,5.767109882981458e-07,0.0
1821,4.2404400346640614e-07,0.0
1822,2.2958660395033803e-07,1.0025615893027862e-09
1823,2.984571381148271e-07,0.0
1824,2.0800148092803283e-07,3.3684450784221553e-09
1825,2.2101662011664303e-07,0.0
1826,2.01702846425178e-07,8.807984341885344e-10
1827,1.769716391208931e-07,0.0
1828,2.568244212852733e-07,0.0
1829,1.4660130887023115e-07,6.001223074036943e-09
1830,2.327414421188223e-07,0.0
1831,2.5881402621052985e-07,1.5591206103948707e-09
1832,2.773643643649848e-07,4.058990921151917e-09
1833,2.1545548634094303e-07,8.108539617524002e-09
1834,1.5121939611617563e-07,9.334530925997342e-10
1835,2.3294310835808574e-07,5.294161553592858e-09
1836,1.7272327568207402e-07,7.392825018825988e-09
1837,3.179756049576099e-07,4.174734336004349e-09
1838,1.666410724965317e-07,0.0
1839,1.922655741282142e-07,4.194885327990505e-09
1840,2.2357606610512448e-07,1.9109065441114126e-09
1841,1.9004824025614653e-07,1.2841097074556274e-09
1842,2.2808100652582652e-07,4.024959032733477e-09
1843,2.0201635209105007e-07,5.906911071384968e-10
1844,2.1460274979290261e-07,2.195424508855126e-09
1845,2.3771771395786345e-07,1.1160455892778032e-09
1846,1.709514378944732e-07,6.439951683034906e-09
1847,1.6125738966366043e-07,1.0786447290911383e-09
1848,1.7860392631519062e-07,0.0
1849,1.6423653903530067e-07,1.6758829879393033e-09
1850,1.5818361021047167e-07,2.7155984128057753e-09
1851,1.9154833807988325e-07,1.2898877521649865e-09
1852,1.5560203792119864e-07,6.510545436100301e-10
1853,1.8035234461422078e-07,3.5831591027601917e-09
1854,2.0159177438472398e-07,2.5978321716024766e-09
1855,1.931725108761384e-07,0.0
1856,2.2106597441506892e-07,1.0354378465748937e-09
1857,1.6206610098379315e-07,1.4644527812635033e-09
1858,2.7551396897251834e-07,2.4468380654951716e-09
1859,1.6804172275897145e-07,4.582956236731661e-09
1860,2.0688871416041366e-07,5.034902272882391e-09
1861,1.7543385411045165e-07,6.13075279431996e-09
1862,1.9653239746730833e-07,3.6143890103090826e-09
1863,2.1227138802260015e-07,3.496234635136375e-09
1864,2.3638008883608563e-07,1.1986819536957682e-08
1865,2.2686990064357815e-07,1.4120533631256649e-09
1866,1.6494428223268187e-07,0.0
1867,1.6984840556233394e-07,9.7056229719783e-10
1868,1.9067914536208264e-07,2.4699371437009177e-09
1869,1.8264361756337166e-07,6.348574999037737e-09
1870,1.9725128197478625e-07,3.4404292748035914e-09
1871,1.8162212711558823e-07,4.248470908407853e-09
1872,1.8202491958163591e-07,1.2094678591978436e-09
1873,1.7958014097985142e-07,6.584604861359367e-09
1874,2.359970636689468e-07,4.779687312606029e-09
1875,2.1284080276018358e-07,2.2886108563824337e-09
1876,1.650562069244188e-07,6.04601479992084e-10
1877,1.9667714923343738e-07,1.8554447978047506e-09
1878,1.3406777554791915e-07,4.22736201599605e-09
1879,1.6128618085531343e-07,6.109325489944695e-09
1880,1.9510252968757413e-07,1.9253538763308597e-09
1881,1.6803743108084745e-07,2.091752326904839e-09
1882,2.1363786117944983e-07,3.9932310791357395e-09
1883,2.1991299092860572e-07,4.423537092179686e-09
1884,1.2147123129579995e-07,1.9805090900604227e-09
1885,1.3987029490181158e-07,1.2891271383708158e-09
1886,1.4068551479340385e-07,1.936039106809062e-09
1887,1.325371670191089e-07,2.6115698492645834e-09
1888,1.6866034968643362e-07,5.07249175996094e-09
1889,1.7103823779507366e-07,5.012109394186837e-09
1890,9.962667490981403e-08,1.3108772956016423e-09
1891,1.1282369172249673e-07,8.286486163910922e-09
1892,1.2662394510698505e-07,6.268512375839919e-09
1893,1.570396221950432e-07,1.2316833108982905e-09
1894,1.0964678409663975e-07,2.520615716150587e-09
1895,1.1254809351157746e-07,0.0
1896,1.0673622341528244e-07,0.0
1897,1.1420358703162492e-07,5.826713556089658e-10
1898,1.2448380459773034e-07,1.6975064687230201e-09
1899,1.4537531001224124e-07,5.527578395003729e-09
1900,1.0278284889864153e-07,4.15284251431558e-09
1901,1.1456914705831878e-07,4.470991132876634e-09
1902,8.691202424415678e-08,4.910283846193408e-10
1903,1.1556471690710168e-07,0.0
1904,1.6553845227917918e-07,0.0
1905,1.2643859292893467e-07,3.096455536422127e-09
1906,1.4455159202952927e-07,6.6874399351490865e-09
1907,1.0028544750184665e-07,3.0857059130084963e-09
1908,1.1492650742184196e-07,1.4734167219643268e-09
1909,1.0891947255231571e-07,5.5009836685826485e-09
1910,1.2184663944481144e-07,1.068830135508847e-09
1911,1.43650098038961e-07,5.3203743632934675e-09
1912,1.4065437881072285e-07,2.0837684910901544e-09
1913,1.0818099127618552e-07,4.242391771214216e-09
1914,8.571831955350717e-08,6.696743715117748e-10
1915,1.1780761610680202e-07,0.0
1916,1.3075079152713442e-07,0.0
1917,1.1295416868506436e-07,1.2063066989753679e-08
1918,8.614782132099208e-08,1.1486376294556067e-09
1919,9.760319130691641e-08,1.012863304339362e-08
1920,1.1888403861348706e-07,0.0
1921,7.421292735898533e-08,6.058197943303867e-09
1922,1.328028389480096e-07,3.6889677978990676e-09
1923,1.0828266994167279e-07,0.0
1924,1.46964524105897e-07,2.578324886925998e-09
1925,1.4737558728938893e-07,3.299453377181294e-09
1926,1.3263904463656218e-07,2.229227691330493e-09
1927,1.4605484466301277e-07,6.689535148041159e-09
1928,1.3596988424069423e-07,0.0
1929,1.4259720160225697e-07,3.342121912552898e-09
1930,1.2709359964446776e-07,3.1510811737689437e-09
1931,1.3572373802617221e-07,1.1405356659111021e-09
1932,1.2713061892100086e-07,3.287861094491973e-09
1933,1.6403046743107552e-07,1.1470662197865522e-09
1934,9.70508011732818e-08,0.0
1935,1.3643844454236387e-07,9.574627313213568e-09
1936,1.0184760412812466e-07,3.6374143697059935e-09
1937,1.2213384081860568e-07,2.5182236296217297e-09
1938,1.0242519721259669e-07,6.482607339819424e-09
1939,1.0858775567612611e-07,3.058810094103137e-09
1940,8.114505334333444e-08,2.5357829169792012e-09
1941,9.149658097840074e-08,0.0
1942,1.5777901296587515e-07,3.034211770724937e-09
1943,1.219358836124229e-07,5.806470415592457e-09
1944,1.5101974781828176e-07,3.2131861615880553e-09
1945,1.4160276862185128e-07,6.535512131478072e-09
1946,1.3642682006320683e-07,9.744772988540262e-09
1947,1.776209757053948e-07,5.960435700558264e-09
1948,1.44596114637352e-07,1.0871887834440486e-09
1949,9.718838356320703e-08,1.9634016634739737e-09
1950,1.3719616731577844e-07,3.190608444114673e-09
1951,1.6418559312114667e-07,2.1322803522849654e-09
1952,1.1072044259208269e-07,6.326882129314981e-09
1953,1.0666089167443715e-07,2.1547654771580937e-09
1954,1.4365627976076212e-07,7.818028890937967e-09
1955,1.4078412391427264e-07,1.1262729415761896e-08
1956,1.3866615233837365e-07,6.976913269340912e-09
1957,1.404770983981507e-07,7.951533653738352e-09
1958,1.5551817966752424e-07,8.272243445794913e-10
1959,1.4106360879395652e-07,6.200598257066758e-09
1960,1.3980083224396367e-07,6.920833239831836e-09
1961,1.3479429128437914e-07,4.86371165564492e-09
1962,1.420598181312016e-07,7.610347907416326e-09
1963,1.131559344003108e-07,2.5864212993553792e-09
1964,1.703511145478842e-07,6.083968440151466e-09
1965,1.2530979631719674e-07,6.0192477668863376e-09
1966,1.1465884597328113e-07,5.539074976468328e-09
1967,1.385424326372231e-07,3.944268467392931e-09
1968,1.3114934915847698e-07,4.491415683816058e-09
1969,1.1626899976135974e-07,3.1792304344691047e-09
1970,1.0485093326906281e-07,5.978342709767048e-09
1971,1.3616752880807326e-07,4.624557625731995e-09
1972,9.593374983296599e-08,0.0
1973,1.080587921364895e-07,2.205281512956958e-09
1974,9.225937702694864e-08,5.06301445213353e-09
1975,9.138368284311582e-08,1.1422960355389478e-09
1976,9.998672112487839e-08,3.9994687561772935e-09
1977,9.696690028704325e-08,4.7014254711541525e-09
1978,1.0574252939932194e-07,5.940591352171509e-10
1979,1.269878282528225e-07,2.925986564150662e-09
1980,1.193881615790815e-07,4.548120546843393e-09
